SA2_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
801011001,4,0,4,5,11,3,9,7,0,45,7,32,89,126,153,123,104,58,14,721,0,0,20,50,49,54,42,27,4,247,0,0,0,11,19,11,5,7,0,51,0,18,55,47,60,55,24,27,8,298,0,0,6,19,11,17,10,4,0,65,0,13,20,16,15,6,6,13,7,88,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,5,0,7,3,15,23,16,15,10,6,10,3,98,0,0,0,3,0,0,0,0,0,6,0,4,7,6,3,6,3,4,0,35,3,47,118,145,150,152,92,77,24,801,0,0,22,29,45,25,21,0,0,147,0,4,5,21,20,19,8,0,0,79,0,33,56,67,61,34,28,11,4,288,0,7,12,10,18,18,9,12,5,89,0,4,8,0,0,3,3,5,0,34,5,0,0,0,0,0,3,0,0,8,0,3,0,0,0,4,7,0,0,19
801011002,3,40,104,55,34,19,16,5,8,291,17,317,944,433,202,126,89,53,39,2224,0,21,448,169,63,46,23,15,10,788,0,4,58,29,16,13,9,7,4,137,0,200,561,189,75,46,36,25,16,1143,3,36,114,57,25,23,8,9,7,282,6,50,106,73,42,18,13,14,10,323,0,4,13,8,4,0,0,0,0,37,0,0,5,8,4,0,3,4,0,29,4,54,123,88,48,19,23,15,11,384,0,4,12,3,0,0,0,0,0,23,7,38,86,42,23,11,8,6,10,234,13,355,1402,576,255,158,101,80,53,2991,0,8,104,38,18,7,10,4,0,186,0,6,37,18,7,5,3,0,0,91,0,105,262,67,32,22,13,13,4,517,7,21,36,15,11,17,9,10,4,139,6,37,48,13,13,8,0,4,0,125,0,6,9,0,6,0,0,4,0,31,0,4,6,0,4,8,3,0,0,34
801011003,29,69,56,21,19,13,18,19,19,261,50,358,774,376,193,204,131,67,39,2173,0,3,246,173,94,59,56,21,3,667,0,0,31,29,18,13,16,3,0,117,0,144,365,130,78,60,52,37,13,880,0,28,68,42,28,18,19,4,5,217,8,52,86,33,28,8,13,13,0,242,7,7,0,0,0,0,0,0,0,21,0,0,7,6,0,7,6,0,0,25,18,58,99,36,25,21,21,15,0,284,0,0,7,4,0,3,7,0,0,22,7,15,43,22,10,15,11,10,14,140,24,262,865,434,247,190,177,90,46,2321,0,10,114,43,43,29,8,0,0,253,0,4,41,21,15,23,3,0,0,110,4,168,328,101,83,44,21,8,3,759,0,44,36,37,19,29,15,15,7,199,8,37,34,18,13,9,3,3,0,129,5,11,3,0,3,4,0,0,0,25,4,8,3,5,6,5,3,0,0,36
801011004,8,7,20,14,5,13,9,11,0,96,6,42,180,167,94,81,64,27,0,665,0,0,15,15,11,4,3,7,0,60,0,0,0,0,4,6,3,0,0,17,0,5,43,38,17,15,16,5,0,143,0,3,14,28,15,14,15,6,0,93,3,18,73,65,62,30,28,16,3,294,3,0,11,3,5,0,0,0,0,16,0,0,3,0,6,7,4,0,0,20,9,19,86,71,65,31,36,13,3,331,0,0,4,0,0,0,0,0,0,4,10,4,24,12,19,4,8,3,0,73,12,30,182,171,133,81,73,36,8,727,0,0,4,9,8,3,0,0,0,36,0,0,12,10,0,3,3,0,0,24,0,9,48,36,26,15,6,0,0,144,0,9,29,28,24,16,8,3,0,121,0,13,56,28,18,18,3,3,0,134,4,5,9,5,3,9,0,0,0,32,0,4,3,3,5,12,5,0,0,34
801011005,0,0,7,17,10,5,8,6,0,55,9,27,107,207,163,111,101,68,15,806,0,0,30,52,66,36,35,18,4,244,0,0,11,9,12,11,10,4,0,53,0,4,58,78,82,40,32,23,6,321,0,3,13,19,11,19,0,13,8,89,0,9,16,26,14,17,8,12,4,106,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,10,19,22,18,14,11,12,4,124,0,0,0,0,0,0,0,0,0,0,0,3,8,6,7,9,5,4,3,49,4,26,137,193,201,127,98,77,24,874,0,0,38,67,31,36,12,3,4,192,0,0,15,33,19,24,10,0,0,100,0,17,97,77,57,45,26,6,3,341,0,5,8,21,19,14,21,4,0,92,0,3,10,19,13,8,3,3,0,63,0,6,0,4,0,0,0,0,0,14,0,0,5,4,7,7,5,0,0,22
801011006,16,13,18,28,23,16,14,3,0,132,24,87,317,451,317,197,107,38,14,1550,0,0,23,61,50,40,13,3,0,192,0,0,9,20,13,13,12,7,0,79,0,23,85,112,77,38,28,5,0,375,0,8,36,82,77,52,28,6,0,284,12,45,122,132,125,70,29,12,9,555,5,6,8,13,8,0,0,0,0,42,0,0,5,4,6,10,8,0,0,39,18,52,135,148,138,80,44,18,9,638,0,0,0,3,3,6,0,0,0,16,14,6,16,21,26,17,8,8,0,112,35,93,300,448,396,241,130,45,15,1697,0,0,39,37,19,9,0,0,0,105,0,0,29,35,16,7,0,0,0,91,0,31,198,134,63,31,12,0,0,476,0,25,99,82,51,37,10,3,0,310,6,35,85,85,33,22,8,5,0,285,4,0,21,17,6,0,0,0,0,46,0,0,9,18,9,14,7,0,0,66
801011007,14,17,24,28,31,24,17,9,0,176,24,69,262,331,279,218,163,32,6,1388,0,0,41,49,56,41,19,7,0,218,0,0,6,16,16,9,9,0,0,67,0,19,92,107,79,38,42,9,4,400,0,0,27,48,38,39,39,4,0,197,7,33,106,84,83,67,37,14,3,444,7,4,6,7,3,0,0,0,0,25,0,0,8,7,3,5,10,5,0,38,11,41,119,98,95,72,43,25,3,498,0,0,3,0,0,3,5,0,0,8,7,5,14,15,16,10,5,4,0,82,26,77,308,327,307,217,167,52,6,1483,0,3,27,38,20,5,0,0,0,102,0,0,18,41,27,17,3,0,0,108,0,36,138,122,70,67,18,3,0,463,0,15,48,57,62,42,15,0,3,240,4,25,44,48,34,17,8,4,0,178,10,8,9,8,3,6,0,0,0,32,0,0,0,11,12,12,4,0,0,42
801011008,6,13,26,20,15,17,8,11,0,105,11,97,235,232,217,225,109,49,16,1191,0,3,55,63,32,34,37,3,0,234,0,0,11,14,16,13,17,10,0,76,0,28,104,78,68,66,37,19,7,401,0,9,14,28,32,36,18,8,0,143,0,26,66,51,47,38,37,21,0,297,5,3,7,0,0,3,0,0,0,27,0,0,4,3,8,6,4,8,0,23,3,36,73,52,57,50,39,25,3,342,0,0,10,0,0,0,0,0,0,7,0,4,18,17,15,11,7,6,5,84,3,73,282,251,221,208,154,76,18,1286,0,0,46,33,26,14,7,0,0,127,0,0,18,15,22,15,0,0,0,84,0,31,127,85,80,45,17,8,0,392,0,11,27,36,48,22,5,3,0,159,9,22,28,34,27,17,11,0,0,147,0,0,0,5,6,5,0,0,0,23,0,7,8,11,6,4,0,0,0,42
801011009,0,3,12,10,16,10,12,7,0,66,10,29,147,194,151,135,141,42,6,856,0,0,32,28,25,25,22,11,0,145,0,0,8,9,6,4,10,6,0,41,0,12,56,59,53,35,40,19,0,273,0,4,17,38,33,29,13,3,0,140,6,12,75,65,47,37,38,16,4,305,4,0,0,0,6,3,0,0,0,14,0,0,0,6,5,9,0,0,0,14,9,20,82,70,52,48,35,14,4,332,0,0,4,0,5,0,0,0,0,3,0,3,14,7,9,11,8,8,3,64,9,39,206,207,191,150,131,64,10,992,0,0,12,15,13,22,6,0,0,64,0,0,3,14,21,17,7,0,0,66,0,17,81,53,47,38,18,0,0,256,0,10,28,52,32,31,10,3,0,164,5,11,23,30,27,19,7,0,0,117,3,3,6,5,4,0,0,0,0,21,0,0,4,0,0,10,4,0,0,24
801011010,0,0,9,14,9,10,7,4,6,49,7,16,67,109,110,94,102,23,5,537,0,0,3,12,15,20,16,7,3,71,0,0,3,5,9,8,14,0,0,39,0,5,20,28,33,22,30,10,6,158,0,0,0,25,19,10,17,9,0,89,6,11,37,28,29,32,31,8,0,169,0,0,0,0,0,0,0,0,0,7,0,0,0,4,3,9,6,4,0,16,6,12,40,36,31,36,31,11,0,193,0,0,0,6,0,4,0,0,0,9,0,0,7,14,7,3,4,0,0,27,4,19,77,120,114,100,116,37,8,582,0,0,4,9,11,7,7,0,0,36,0,0,3,8,12,11,0,0,0,34,0,6,30,46,37,47,16,3,0,180,0,3,20,17,15,26,11,3,0,101,3,7,9,16,21,3,7,0,0,72,3,0,9,0,0,0,0,0,0,11,0,0,5,0,7,7,0,0,0,15
801011011,0,10,10,15,7,12,10,0,0,69,5,45,159,202,145,156,115,30,5,867,0,0,17,30,30,32,22,6,0,142,0,0,10,10,9,11,15,0,0,62,0,6,64,67,43,28,33,17,5,265,0,8,13,35,22,19,14,6,0,116,0,6,60,66,21,25,37,16,0,230,0,4,4,0,0,0,0,0,0,12,0,0,3,4,7,0,0,0,0,16,0,12,64,71,29,31,41,17,0,258,0,0,0,0,0,0,0,0,0,11,0,0,15,14,12,10,6,8,0,67,0,29,189,224,147,132,135,56,4,912,0,0,23,34,15,17,3,0,0,92,0,0,6,14,21,17,3,0,0,67,0,35,82,55,53,42,12,5,0,286,0,15,32,39,33,28,7,0,0,158,0,6,34,18,17,18,3,0,0,102,0,3,5,6,8,4,0,4,0,23,0,0,4,3,6,15,0,0,0,32
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,10,20,17,0,4,3,7,5,68,4,51,133,159,152,124,150,65,7,850,0,0,31,46,33,28,32,19,3,199,0,0,0,9,17,11,18,5,0,66,0,17,59,55,61,46,50,32,13,327,0,3,9,13,25,11,12,3,0,80,4,11,20,21,34,17,9,14,7,123,4,5,3,0,3,0,0,0,0,12,0,0,0,0,0,0,6,0,0,13,0,16,28,16,32,16,18,17,10,148,0,0,3,0,0,0,6,0,0,4,3,8,12,10,6,5,7,3,4,54,7,39,145,142,174,119,131,89,25,884,0,0,26,19,39,39,9,0,0,135,0,0,4,15,17,23,9,0,0,68,0,23,65,77,60,51,44,11,3,343,0,4,20,16,12,17,25,4,0,106,3,6,15,10,5,10,3,5,0,61,0,0,0,3,0,0,0,0,0,12,0,3,0,9,6,8,7,0,0,30
801011014,7,3,18,10,9,8,18,11,0,82,9,38,163,178,148,103,104,48,4,801,0,0,25,31,20,19,13,11,0,121,0,0,3,8,11,14,6,4,0,39,0,8,51,55,43,28,17,22,5,234,0,0,25,32,33,15,10,4,0,117,5,16,65,50,54,46,27,27,10,291,5,3,4,5,0,0,0,0,0,19,0,0,3,0,4,0,6,0,0,12,12,18,70,57,54,50,34,25,10,324,0,0,0,3,0,0,0,0,0,6,3,0,10,14,8,3,5,3,0,58,15,29,182,200,173,128,80,75,10,894,0,0,13,27,11,7,8,0,0,63,0,0,7,12,13,6,6,0,0,52,0,5,84,63,39,32,14,0,0,238,0,5,28,25,24,21,16,0,0,118,0,9,27,35,22,10,0,0,0,108,3,0,4,0,3,7,0,0,0,16,0,3,9,6,7,9,3,0,0,36
801011015,0,13,20,20,14,17,14,12,13,118,12,56,256,246,168,142,135,62,33,1113,0,0,56,62,26,18,15,10,0,186,0,0,3,9,10,6,8,4,0,45,0,21,124,106,58,19,41,16,4,391,0,3,40,51,27,28,22,9,0,180,5,25,109,84,84,49,47,27,8,434,7,3,5,7,3,0,0,0,0,24,0,0,6,7,6,7,5,3,0,27,10,31,118,97,89,58,52,27,8,488,0,0,4,9,0,0,0,3,0,21,3,13,22,26,21,3,8,15,3,102,15,67,361,352,232,135,144,88,16,1406,0,0,27,27,18,11,4,0,0,90,0,0,26,22,11,12,10,3,0,78,0,27,130,87,42,42,27,9,0,362,0,24,47,44,35,36,23,9,0,221,9,19,53,40,26,17,9,10,3,180,6,0,15,3,8,0,5,0,0,39,3,0,12,8,10,9,5,0,0,44
801011016,16,7,30,18,38,21,34,14,0,173,16,128,385,393,352,339,267,77,21,1982,0,6,80,99,75,68,49,18,0,397,0,0,14,32,22,21,32,5,0,128,0,55,148,155,110,82,83,37,0,675,0,15,46,53,57,38,43,13,0,261,8,16,91,93,79,63,79,40,6,486,7,11,10,0,5,0,0,5,0,30,0,3,3,5,0,5,16,3,0,45,16,34,105,100,83,69,99,51,7,563,0,0,7,9,3,0,3,0,0,25,8,11,31,20,22,24,23,11,0,155,25,113,435,463,370,305,327,138,19,2200,0,5,47,58,53,35,7,0,0,204,0,0,24,30,40,35,3,0,0,132,0,70,178,122,114,118,29,5,8,632,4,25,56,58,68,65,21,4,4,303,6,21,47,34,50,31,4,0,0,200,7,9,0,5,11,7,0,0,0,39,0,5,8,14,8,14,7,0,0,50
801011017,11,8,15,18,9,17,8,6,0,89,17,38,182,219,157,136,93,42,10,898,0,0,18,37,29,15,11,9,0,114,0,0,7,9,15,4,5,0,0,41,0,6,42,62,45,20,17,25,4,217,0,3,25,15,26,33,18,8,0,133,5,17,67,79,63,42,36,6,5,326,0,0,3,0,0,0,0,0,0,10,0,0,0,4,5,0,3,3,0,20,8,18,69,89,69,41,37,10,5,350,0,0,0,0,0,0,0,0,0,0,5,6,27,15,10,7,0,4,3,82,9,35,196,225,190,124,88,55,13,937,0,0,16,24,9,12,0,3,0,65,0,0,15,13,10,12,9,0,0,64,0,18,71,62,41,28,17,10,0,252,0,5,37,35,38,41,12,7,0,167,4,9,33,26,28,17,5,0,0,126,3,3,4,6,0,5,0,0,0,24,0,0,7,6,13,13,0,0,0,40
801011018,4,0,0,0,0,0,0,0,0,4,4,11,11,14,6,4,0,0,0,48,0,8,157,73,23,11,3,0,0,281,0,3,17,12,9,4,0,0,0,43,0,64,179,62,26,15,9,0,0,354,0,13,31,14,7,4,0,0,0,68,0,25,46,16,10,3,6,0,0,106,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,30,50,20,10,3,6,0,0,119,0,5,4,0,0,0,0,0,0,6,6,19,39,27,3,0,3,0,0,92,11,133,475,202,75,41,20,6,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,3,4,36,26,12,12,19,7,0,115,20,87,508,466,226,168,124,42,13,1655,0,0,46,87,46,35,16,6,0,244,0,0,4,20,15,12,10,4,0,63,0,10,122,135,80,34,31,15,3,431,0,8,56,104,62,25,19,3,0,276,4,26,133,156,86,55,46,24,7,534,9,5,10,12,3,0,4,0,0,40,0,8,6,14,9,0,10,0,0,37,12,35,147,179,101,61,60,24,7,615,3,0,5,0,0,5,4,0,0,20,5,8,15,28,19,10,10,7,3,106,16,69,397,557,320,180,146,59,12,1755,0,6,60,25,18,7,3,0,0,115,0,0,27,21,15,8,3,0,0,71,0,46,212,88,45,35,22,0,0,461,0,16,93,55,33,38,14,0,0,249,8,38,92,52,30,14,3,3,0,248,0,3,8,11,4,0,3,0,0,33,0,4,10,10,10,6,0,0,0,46
801011020,0,0,17,10,6,13,5,11,0,70,0,41,183,165,133,93,80,56,9,764,0,5,56,52,35,32,18,9,3,208,0,0,11,6,8,16,9,5,0,55,0,24,68,61,49,33,31,24,3,282,0,4,18,12,14,16,7,4,3,87,0,14,45,32,25,21,25,12,7,174,3,0,3,0,0,0,0,0,0,11,0,0,5,0,0,4,0,4,0,11,4,16,46,38,25,20,25,14,9,193,0,0,0,4,0,0,0,3,0,6,4,16,26,13,10,18,8,13,0,106,9,67,219,183,145,129,93,76,17,935,0,0,23,38,18,6,10,0,0,96,0,0,15,8,16,19,9,0,0,62,0,28,82,73,42,22,10,7,0,264,0,10,12,22,17,9,13,5,0,96,0,11,13,17,9,7,7,0,0,69,0,4,3,0,0,0,0,0,0,7,0,0,5,3,9,7,0,0,0,30
801011021,9,10,13,10,4,11,10,0,0,77,12,56,99,133,141,133,97,19,6,703,0,0,20,33,19,26,32,6,0,137,0,0,0,6,3,15,9,5,0,43,0,11,52,43,39,37,35,11,3,222,0,3,7,22,20,15,16,3,0,82,0,21,40,18,36,33,25,6,5,174,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,5,4,0,0,8,0,22,44,17,33,32,31,6,5,200,0,0,0,0,0,0,0,0,0,3,0,7,12,7,5,6,3,4,0,51,4,37,137,133,137,132,125,33,6,742,0,0,9,14,10,21,4,0,0,54,0,0,8,17,20,16,0,0,0,52,0,15,60,61,59,45,16,0,0,260,0,12,16,15,27,19,8,4,0,98,3,14,12,15,13,13,4,0,0,81,0,5,7,4,5,3,0,0,0,22,0,0,0,0,3,12,3,0,0,28
801011022,7,5,6,15,6,12,13,12,0,84,17,39,124,170,139,132,130,60,9,829,0,0,16,37,34,19,23,8,0,145,0,0,0,14,6,12,3,6,0,41,0,17,41,56,44,27,35,28,3,254,0,4,18,25,26,14,17,13,3,121,0,21,52,51,55,29,23,13,5,255,0,0,3,0,0,0,0,0,0,6,0,3,0,0,5,5,0,0,0,21,11,23,58,57,52,37,25,18,5,283,0,0,0,0,4,0,0,0,0,11,4,8,8,10,5,9,8,6,0,55,19,56,144,198,172,121,121,82,10,916,0,0,12,28,13,15,0,3,0,68,0,0,11,11,13,18,8,0,0,65,0,23,73,60,48,45,24,6,0,280,0,5,31,26,26,25,17,6,0,142,7,12,24,22,26,3,4,0,0,100,0,8,0,3,3,0,0,0,0,21,0,3,0,5,8,14,6,0,0,41
801011023,11,5,9,11,3,5,19,34,18,115,10,47,175,160,103,70,80,86,63,794,0,5,55,44,25,19,6,4,7,157,0,0,4,7,8,7,7,0,0,35,0,15,78,68,30,18,16,21,11,260,0,3,21,20,13,15,11,8,5,87,3,7,36,27,26,19,14,19,13,161,0,4,7,4,0,0,0,0,0,15,0,0,0,4,3,0,5,0,3,19,3,10,43,35,27,21,21,20,17,198,0,4,3,0,0,0,0,0,0,8,3,8,20,12,10,8,10,18,23,108,8,45,216,187,109,82,71,74,64,860,0,0,31,26,16,12,3,0,0,87,0,3,15,8,9,7,5,0,0,49,0,30,79,46,34,19,13,7,9,238,0,10,24,23,23,13,8,13,9,122,7,11,32,12,9,7,4,3,0,85,0,4,7,4,0,0,0,0,0,13,0,0,0,9,4,5,10,0,3,34
801011024,4,14,20,10,23,8,5,11,0,94,7,58,200,185,144,84,75,39,12,798,0,0,27,54,28,12,9,5,0,141,0,0,5,8,14,6,9,3,0,36,0,6,64,74,39,22,8,15,3,236,0,4,15,26,17,9,19,10,0,102,4,22,48,31,36,35,22,8,3,211,3,0,4,0,0,0,0,0,0,7,0,0,0,3,5,0,0,0,0,11,3,22,53,36,43,36,18,15,3,232,0,0,4,0,0,0,3,0,0,7,3,10,21,4,14,8,4,3,4,74,6,40,199,209,148,95,72,50,9,831,0,0,26,29,12,7,0,0,0,74,0,0,10,16,18,4,0,0,0,57,0,27,87,62,23,23,18,5,0,248,0,10,15,21,17,14,16,5,0,98,3,7,31,15,15,13,3,0,0,91,0,0,3,0,0,0,4,0,0,20,0,0,5,0,0,8,4,3,0,17
801011025,6,5,8,8,4,6,3,4,0,44,14,26,122,146,83,95,96,36,7,625,0,0,10,16,24,11,14,4,0,73,0,0,9,4,3,3,6,3,0,34,0,6,21,41,28,23,29,20,0,162,0,3,14,32,17,18,13,3,0,101,4,16,46,57,40,23,22,5,0,218,0,4,3,0,0,0,0,0,0,7,0,0,3,4,5,3,0,4,0,16,6,15,52,63,45,28,22,7,0,237,0,0,0,0,5,0,0,0,0,10,8,5,7,7,11,4,4,3,0,54,12,27,110,160,127,88,94,47,5,672,0,0,8,7,10,18,0,0,0,54,0,0,9,14,15,12,0,0,0,40,0,8,59,57,27,30,9,3,0,186,0,5,25,21,22,29,14,3,0,122,3,11,14,22,14,9,0,0,0,84,6,3,4,4,5,4,0,0,0,27,0,0,0,3,5,5,0,0,0,22
801011026,0,9,4,0,5,0,7,13,6,46,10,38,69,134,181,128,111,71,23,765,0,0,30,37,57,33,31,36,14,232,0,0,8,12,23,15,11,8,0,68,0,13,54,57,59,37,38,26,6,290,0,5,8,9,13,18,7,10,5,87,0,11,17,28,21,19,3,6,0,114,0,0,0,0,0,0,0,0,0,10,0,3,3,0,0,0,0,0,0,10,6,14,22,32,21,21,3,15,4,125,0,0,3,0,0,0,0,4,3,5,0,3,6,8,3,0,10,6,3,45,6,41,130,151,177,124,101,91,29,856,0,0,9,31,40,14,11,5,0,113,0,0,5,17,22,23,10,4,0,79,0,19,51,73,52,49,39,10,0,290,0,4,15,25,21,17,18,5,3,101,0,9,7,11,3,10,0,0,0,42,0,0,4,0,0,0,0,0,0,12,0,0,0,7,4,8,5,0,0,21
