SA2_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
801011001,16,121,102,678,28,951,0,0,0,8,0,8,76,3,6,0,0,89,11,3,3,0,6,26,18,5,8,6,0,46,214,100,93,467,15,886,7,0,0,0,0,14,11,4,0,12,0,22,39,3,10,43,4,93,10,0,0,8,0,17,17,0,0,0,0,15,33,0,0,0,0,34,42,32,25,221,4,320,36,21,5,15,0,76,8,0,0,0,0,8,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,4,15,5,7,0,0,21,24,0,6,8,0,39,11,0,0,3,0,10,0,0,0,0,0,0,54,28,28,147,3,263,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,6,12,0,0,0,0,12,3,0,0,0,0,6,5,0,3,3,0,12,138,25,21,22,10,214,8,4,7,20,171,210,669,210,189,1185,225,2479,11,97
801011002,31,123,98,809,27,1085,0,0,0,5,0,5,397,4,3,3,3,417,14,5,0,0,0,19,34,13,11,19,0,68,241,91,96,649,27,1102,79,0,11,0,0,88,11,3,0,8,0,26,40,16,8,88,0,160,11,3,0,9,0,26,5,0,0,7,0,12,183,0,0,0,3,193,59,16,28,307,7,429,36,9,7,28,0,82,51,0,0,0,0,52,5,0,0,0,0,10,5,0,0,4,0,15,7,7,0,3,0,9,0,0,0,0,0,5,16,4,0,3,0,17,32,10,0,9,0,60,15,3,4,0,0,24,11,0,0,0,0,11,63,21,25,220,5,335,15,0,0,0,0,20,9,0,4,0,0,12,29,0,0,6,0,38,28,0,0,0,0,33,83,0,5,0,3,92,6,4,5,9,0,18,548,39,26,33,11,651,12,0,4,15,558,588,1862,220,192,1542,621,4436,34,166
801011003,32,195,163,1281,12,1686,0,0,0,8,0,3,760,14,9,11,4,793,51,9,3,11,0,69,31,13,14,34,0,86,244,177,124,944,21,1511,43,5,10,0,0,58,11,0,3,8,0,32,48,19,9,108,3,193,29,11,0,18,0,62,5,0,4,3,0,10,232,5,0,0,0,243,63,32,31,437,4,560,67,36,12,78,3,194,98,0,0,0,3,96,7,5,0,3,0,17,12,0,0,4,0,14,5,3,3,3,0,12,15,0,0,0,0,17,21,7,5,0,0,31,31,8,7,13,0,57,12,0,0,3,0,20,4,0,0,0,0,9,65,43,31,352,0,490,16,5,0,3,0,28,17,4,0,0,0,20,13,0,0,7,0,20,46,0,0,0,0,50,108,0,3,0,0,113,11,8,0,16,0,33,584,40,33,39,8,713,25,0,3,26,896,947,2424,370,264,2377,948,6390,47,182
801011004,16,146,82,914,33,1194,0,0,0,4,0,9,46,0,0,3,3,61,20,5,0,0,0,25,28,12,12,6,0,53,180,110,75,688,20,1073,66,0,8,4,0,79,10,5,0,9,0,20,33,13,6,69,0,124,14,9,0,9,0,24,9,0,0,0,0,12,20,3,0,0,0,24,26,22,23,284,8,362,39,8,4,24,5,85,5,0,0,0,0,3,14,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,3,5,10,4,4,0,23,15,0,0,4,0,21,8,8,0,0,0,12,0,3,0,0,0,6,44,34,13,207,0,295,14,0,0,0,0,13,7,0,0,0,0,7,14,0,0,0,0,19,11,3,4,0,0,16,14,0,0,0,8,20,7,10,0,7,0,20,194,30,23,52,5,299,20,8,3,39,168,234,757,261,147,1665,236,3066,21,129
801011005,15,144,113,733,13,1017,0,0,0,6,0,8,93,4,3,4,3,114,12,0,0,3,0,18,24,9,3,9,0,53,225,114,82,612,17,1048,8,0,7,0,0,15,14,0,4,8,0,28,51,18,9,59,0,131,23,5,5,17,0,40,10,5,0,0,0,24,49,0,0,0,0,54,53,26,23,317,0,424,38,9,0,33,0,76,3,0,0,6,0,9,3,4,0,3,0,12,0,0,0,0,0,0,0,0,0,3,0,3,8,4,0,0,0,10,9,8,0,3,0,23,26,3,9,4,0,42,23,0,0,0,0,32,0,0,0,0,0,0,53,19,23,237,3,344,8,0,0,5,0,9,6,0,3,0,0,13,14,0,0,0,0,14,22,0,0,0,0,25,11,0,0,0,0,13,12,3,0,10,0,33,214,31,34,30,9,317,14,7,0,20,87,122,889,251,188,1446,127,2901,15,132
801011006,62,277,253,2239,37,2861,0,0,0,13,0,13,150,7,9,13,10,191,37,4,8,19,0,68,46,21,4,53,0,131,411,226,169,1512,35,2361,81,6,6,0,0,95,9,0,4,12,0,20,76,32,28,183,5,319,32,15,0,26,7,75,19,5,3,3,0,27,138,10,3,0,0,149,61,51,33,524,15,682,83,31,10,101,0,226,5,0,0,0,0,11,14,4,0,4,0,21,16,0,0,7,0,15,10,4,5,16,7,38,5,10,8,7,0,27,25,9,8,6,3,56,40,8,7,22,3,78,19,3,4,9,0,31,13,0,0,0,0,11,100,68,56,415,9,641,16,0,0,4,0,22,20,3,0,5,0,24,26,9,0,7,0,43,25,0,0,0,0,25,108,0,0,0,5,116,20,4,0,14,0,45,604,62,56,70,22,809,56,6,0,67,142,277,2007,515,410,3906,264,7108,62,277
801011007,33,226,168,1684,28,2142,0,0,0,6,0,6,145,7,15,17,0,178,71,5,0,6,0,85,34,21,8,28,0,100,279,161,146,1217,31,1829,29,0,7,0,0,33,11,3,3,17,0,26,76,17,30,138,0,255,52,4,0,24,0,87,21,8,4,4,0,36,58,3,0,4,4,70,50,41,38,615,14,748,93,29,13,72,5,210,23,0,0,0,0,24,9,3,0,8,0,16,5,0,0,0,0,10,6,0,0,4,0,19,4,0,6,0,0,17,15,10,0,7,0,29,39,5,3,13,0,58,10,0,0,3,3,17,11,0,4,0,0,9,81,57,35,335,6,503,13,0,0,0,0,20,5,0,0,0,0,12,31,0,0,6,0,43,20,7,0,0,0,24,45,0,4,0,0,56,17,4,3,21,0,44,350,49,43,59,5,517,26,10,3,65,87,192,1406,412,312,3120,168,5417,33,225
801011008,28,172,149,1338,36,1714,0,0,0,3,0,3,307,4,8,5,12,335,60,8,0,13,7,82,33,9,20,31,0,99,262,135,131,873,32,1430,76,0,12,7,0,93,8,0,0,3,0,17,46,26,11,85,4,175,19,11,0,11,3,45,25,5,3,0,0,35,124,0,3,0,0,139,50,50,19,430,9,555,78,17,4,53,5,157,12,0,0,7,0,13,9,0,0,0,4,10,17,4,0,0,0,19,4,0,0,0,0,6,5,0,0,0,0,9,13,4,0,6,0,21,36,5,3,6,0,49,23,0,0,0,0,19,9,0,0,0,0,11,57,40,26,243,6,372,22,0,0,5,0,30,15,7,0,0,0,16,18,3,0,3,0,25,30,0,0,0,0,30,182,0,0,4,18,203,8,4,0,12,0,27,439,39,32,55,13,582,52,0,3,40,164,260,1866,321,264,2308,279,5039,43,178
801011009,18,147,96,1113,8,1374,0,0,0,7,0,7,54,4,0,0,0,57,32,0,0,6,0,39,31,11,4,25,0,74,188,131,97,785,11,1208,16,0,4,0,0,19,7,0,0,15,0,19,44,22,11,72,0,148,30,6,0,14,0,46,15,3,0,3,0,19,26,0,0,0,0,27,48,37,21,377,6,490,52,12,4,19,0,93,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,15,11,0,0,0,0,8,5,4,0,0,0,8,13,4,0,0,0,19,23,8,3,3,0,43,13,0,0,3,0,12,6,0,0,0,0,6,45,32,23,232,3,339,8,0,0,0,0,11,15,0,0,0,0,15,13,0,3,0,0,20,5,0,0,0,0,9,15,0,6,0,0,19,15,4,4,13,0,38,212,37,29,28,0,312,5,4,0,36,262,309,806,275,194,1998,283,3554,18,167
801011010,16,91,95,772,13,979,0,0,0,0,0,0,22,0,3,4,0,33,7,0,0,0,0,16,19,5,0,13,0,44,162,83,54,570,5,879,0,0,0,6,0,12,0,3,0,5,0,6,36,3,10,49,0,105,0,3,3,3,0,8,0,0,0,0,0,4,6,0,0,0,0,6,27,26,10,265,6,333,10,4,0,17,0,33,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,3,0,4,0,15,9,3,0,5,0,12,4,0,0,0,0,4,8,7,0,0,0,17,35,18,24,165,5,238,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,7,0,16,96,18,16,26,0,158,0,0,5,22,26,58,410,174,128,1362,52,2124,13,104
801011011,18,151,125,937,25,1252,0,0,0,5,0,10,134,0,0,13,3,153,34,0,3,0,0,45,28,6,6,16,0,52,195,116,94,623,23,1052,18,0,0,3,0,24,14,0,3,8,0,21,46,14,12,78,0,145,49,5,7,19,0,81,11,4,0,0,0,16,48,0,0,0,0,50,23,29,21,306,6,390,84,16,11,50,0,160,19,0,0,0,4,20,10,0,0,3,0,13,7,0,0,4,0,15,5,3,0,11,0,15,0,3,0,0,0,3,21,7,3,3,0,32,24,4,3,7,0,44,5,4,0,0,0,5,3,0,0,0,0,6,44,41,27,229,0,337,3,0,0,0,0,7,5,3,0,3,0,14,3,0,3,4,0,8,5,0,3,0,0,4,31,3,3,0,0,40,10,4,0,10,0,25,188,45,41,39,5,315,5,0,0,24,106,138,961,276,214,1695,156,3301,17,131
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,0
801011013,28,122,92,808,26,1071,0,0,0,0,0,0,100,8,6,4,0,118,20,7,0,0,0,25,12,8,0,5,0,31,190,85,81,596,14,960,7,0,0,0,0,11,10,0,0,3,0,15,37,16,8,83,9,146,36,5,3,15,5,65,6,0,0,0,0,13,78,0,0,6,0,78,35,18,23,278,7,356,37,9,4,44,0,97,11,0,0,0,0,12,3,0,0,0,0,8,0,0,0,0,0,0,6,0,3,4,0,9,0,3,0,0,0,3,14,0,9,0,0,20,12,0,0,9,0,16,3,0,0,3,0,7,0,0,0,0,0,0,75,38,31,175,6,324,3,0,0,0,0,5,11,0,0,0,0,17,12,0,0,0,0,16,28,0,0,0,0,28,32,0,0,0,0,35,12,3,0,9,0,27,253,25,20,22,5,328,5,0,5,14,104,127,903,201,162,1455,153,2877,45,109
