SA2_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
801011001,68,0,0,0,0,0,0,5,68,81,3,0,0,0,0,0,6,89,51,3,0,0,0,0,0,3,57,29,17,14,6,0,0,0,4,67,19,18,34,13,0,0,0,4,79,15,15,33,14,4,0,0,6,81,15,17,41,14,0,0,0,8,86,18,17,43,16,4,0,0,8,111,5,11,33,15,3,0,0,4,70,17,10,30,16,7,0,0,0,80,8,6,33,19,0,0,0,8,88,5,5,12,15,8,0,0,3,52,0,4,7,11,6,3,0,3,34,3,6,8,11,3,0,3,8,41,0,3,3,6,5,3,3,25,48,318,129,291,154,47,14,4,103,1057,58,0,0,0,0,0,0,8,69,62,0,0,0,0,0,0,0,59,43,3,6,0,0,0,0,0,50,25,11,17,0,0,0,0,6,55,7,22,42,9,0,0,0,0,86,11,14,44,15,9,0,0,0,92,11,11
801011002,109,8,0,0,0,0,0,19,137,325,16,7,0,0,0,0,49,396,316,44,11,3,0,0,0,46,412,160,43,21,4,0,0,0,29,262,69,24,21,5,0,0,0,15,136,36,21,24,6,0,0,0,6,93,31,14,18,5,0,0,0,8,80,27,7,21,6,0,0,0,8,68,17,5,21,12,0,4,0,4,63,9,13,19,16,6,0,0,0,71,7,8,15,14,9,0,0,8,57,3,7,4,18,5,0,5,6,48,7,0,17,8,3,5,0,3,56,10,3,14,12,4,0,0,16,53,3,3,8,8,9,3,0,34,65,1116,220,221,113,49,21,9,251,2005,129,0,0,0,0,0,0,8,139,589,12,0,0,0,0,0,70,679,497,55,20,3,6,0,0,63,642,269,110,28,4,0,0,0,46,466,128,49,44,4,0,0,0,19,249,67,28,22,7,0,5,0,12,145,49,27
801011003,255,0,0,0,0,0,0,88,339,658,8,0,0,0,0,0,205,873,379,35,14,4,0,0,0,50,488,135,42,28,6,0,0,0,26,240,60,37,43,12,0,0,0,9,168,25,19,40,8,6,0,0,6,109,31,23,41,14,3,0,0,5,121,28,16,47,21,3,0,0,3,132,15,18,47,20,4,0,0,9,113,11,18,24,19,13,0,5,9,94,12,3,20,13,3,0,0,4,62,6,4,17,12,9,4,0,8,52,5,3,5,12,4,3,0,8,38,7,5,7,7,4,5,3,15,50,6,3,7,5,7,9,0,40,73,1629,235,345,171,56,19,13,488,2953,229,0,0,0,0,0,0,45,269,725,7,4,3,0,0,0,91,832,457,39,6,0,0,0,0,38,539,217,69,35,6,0,0,0,25,354,90,47,47,20,3,0,0,4,214,46,21,56,14,0,0,0,9,154,30,24
801011004,67,0,4,0,0,0,0,10,86,75,14,5,0,0,0,0,6,98,61,20,30,3,5,0,0,10,128,54,23,41,21,5,0,0,7,160,35,30,33,20,6,5,0,18,151,19,20,29,18,6,3,3,5,97,21,8,37,17,3,0,0,9,94,11,13,44,21,10,6,0,10,105,9,16,27,25,7,5,0,6,93,5,11,31,20,5,5,0,0,77,3,8,11,12,13,3,0,0,52,5,7,6,10,3,0,3,0,35,0,0,6,4,4,0,6,3,22,0,5,0,4,5,0,0,0,13,0,0,3,5,0,0,4,0,17,374,166,312,186,72,28,15,78,1225,75,4,0,0,0,0,0,6,85,69,3,8,0,0,0,0,4,89,52,12,19,6,8,0,0,6,109,55,28,44,9,0,0,0,6,142,30,27,44,20,6,0,0,10,133,21,15,39,19,11,6,3,4,111,14,9
801011005,55,0,0,0,0,0,0,0,63,83,0,6,0,0,0,0,5,86,68,14,0,0,0,0,0,3,90,79,16,14,3,0,5,0,3,125,41,26,54,4,0,0,0,3,134,37,22,50,14,0,0,0,0,118,23,14,37,13,3,3,0,0,89,28,16,33,11,5,0,0,0,95,25,11,31,25,9,0,0,4,101,17,12,32,21,7,0,0,0,85,10,4,39,16,8,4,4,0,83,14,4,14,13,12,3,0,0,65,10,3,16,15,9,3,0,5,53,0,0,8,4,6,4,5,0,21,0,9,7,4,4,0,0,0,27,488,153,335,148,62,20,9,41,1252,52,0,0,0,0,0,0,4,55,51,3,0,0,0,0,0,6,63,73,3,0,0,0,0,0,3,83,49,26,25,0,0,3,0,8,102,40,24,26,12,0,0,0,7,113,34,11,46,15,0,5,0,5,116,35,22
801011006,213,0,0,0,0,0,0,11,224,170,22,8,0,0,0,0,6,210,194,67,47,11,4,0,0,4,325,111,96,124,41,11,4,0,8,388,61,59,143,71,26,3,4,7,381,54,44,116,55,24,0,9,5,305,40,29,78,56,15,0,0,7,228,29,19,63,56,19,0,4,5,193,13,16,59,41,14,0,3,4,150,9,17,40,32,19,3,7,0,130,3,3,22,18,14,0,0,0,61,7,5,20,11,8,3,5,3,52,6,0,7,9,4,3,4,0,30,5,0,6,3,0,4,3,3,20,0,0,0,4,3,3,0,0,14,908,368,731,404,151,34,42,75,2711,207,0,0,0,0,0,0,10,224,160,16,11,0,0,0,0,18,206,126,40,36,9,3,0,0,8,221,100,80,96,27,6,3,0,13,320,57,59,135,62,18,5,0,20,347,46,45,134,66,24,6,0,14,348,51,32
801011007,168,0,0,0,0,0,0,5,174,157,7,7,0,0,0,0,5,184,144,28,24,3,3,0,0,3,200,83,32,59,19,4,0,0,5,199,45,42,93,32,10,0,0,3,232,33,26,93,44,8,6,0,3,212,23,24,71,41,12,0,3,5,176,20,23,78,47,21,9,5,8,204,17,17,75,52,16,5,0,3,184,14,21,71,60,19,0,4,4,200,11,4,35,21,9,4,0,4,84,0,4,9,15,6,0,3,0,52,3,0,7,9,5,6,0,3,34,0,6,7,7,7,7,4,4,30,0,4,6,3,0,4,4,3,23,726,239,618,357,114,44,28,62,2186,143,0,0,0,0,0,0,23,165,141,7,3,0,0,0,0,18,178,97,23,16,5,0,0,0,10,151,74,40,47,17,3,0,0,10,199,38,38,70,35,9,5,5,13,198,38,28,97,31,7,3,0,26,236,23,17
801011008,164,0,0,0,0,0,0,7,178,173,10,0,0,0,0,0,6,195,142,26,15,4,0,0,0,11,196,67,37,44,20,3,0,0,9,174,24,34,70,36,7,7,0,6,180,31,25,71,29,8,0,0,11,178,25,28,78,49,15,5,0,8,212,27,21,84,48,15,5,5,5,211,20,25,60,47,14,3,0,3,183,14,18,51,38,14,6,5,4,144,4,10,29,23,12,0,0,5,84,0,6,17,18,10,0,4,4,60,0,7,9,10,6,5,4,0,52,0,0,3,6,3,6,5,9,33,3,3,4,8,0,0,8,0,32,704,265,543,331,111,36,36,87,2110,128,0,0,0,0,0,0,15,143,128,8,0,0,0,0,0,21,152,104,24,19,3,0,0,0,14,162,71,43,42,7,0,0,0,9,169,45,31,56,29,10,0,0,10,172,25,26,68,33,3,4,0,4,169,26,23
801011009,95,0,0,0,0,0,0,18,110,91,6,0,0,0,0,0,7,104,79,15,11,0,0,0,0,10,111,53,20,30,12,5,0,0,9,118,28,18,47,30,10,3,4,6,143,13,13,59,18,11,0,0,6,126,21,11,42,30,9,3,0,14,115,9,9,49,38,15,4,3,18,146,8,13,62,36,9,0,0,9,139,4,15,63,32,10,0,0,11,136,3,12,27,20,10,3,0,8,84,4,8,15,6,7,5,0,3,40,0,0,9,5,4,4,0,0,23,3,3,3,0,0,5,0,0,13,0,0,0,7,0,3,0,0,14,399,148,417,242,86,31,7,108,1441,91,3,0,0,0,0,0,6,100,73,0,0,0,0,0,0,9,83,62,12,9,3,0,0,0,4,92,31,20,35,9,0,0,0,4,115,20,14,54,18,8,0,0,6,128,12,22,51,17,8,3,5,4,128,16,21
801011010,70,0,0,0,0,0,0,3,74,59,3,3,0,0,0,0,0,64,37,6,9,0,0,0,0,0,57,20,18,25,7,0,0,0,0,78,13,9,28,15,11,0,0,0,77,12,10,25,15,0,0,0,3,69,5,3,35,17,7,3,0,0,65,12,8,24,24,4,0,0,0,69,13,8,35,32,11,4,0,0,108,9,3,33,39,3,0,0,0,97,0,5,16,17,3,0,0,0,36,5,0,10,9,3,0,0,0,23,0,3,0,3,3,0,0,0,9,0,0,0,6,0,0,0,0,11,0,0,4,0,0,0,0,0,5,248,86,251,176,54,10,3,11,834,59,0,0,0,0,0,0,9,62,43,0,0,0,0,0,0,9,57,32,9,7,4,0,0,0,0,46,14,9,20,3,3,0,0,0,56,9,10,29,14,0,0,0,4,70,7,11,33,20,9,4,0,0,77,11,9
801011011,77,0,0,0,0,0,0,4,80,131,8,5,0,0,0,0,7,146,77,10,13,9,0,0,0,6,111,62,35,30,9,0,0,0,8,136,26,17,43,22,9,0,0,3,125,26,16,37,28,4,0,0,0,107,17,11,44,22,10,3,0,0,104,16,15,52,33,10,0,0,10,130,7,15,60,43,16,6,0,0,150,14,12,53,32,9,0,4,3,126,4,8,18,17,3,0,0,0,58,0,8,10,4,3,0,0,0,29,0,4,4,3,4,0,0,3,22,0,0,4,4,5,5,0,0,19,0,0,7,8,0,0,0,4,17,456,164,379,217,75,20,14,40,1364,57,0,0,0,0,0,0,11,65,93,0,5,0,0,0,0,9,104,81,17,11,8,0,0,0,8,130,43,29,26,9,0,4,0,5,120,36,24,53,16,9,0,0,3,142,18,8,54,19,9,5,0,6,119,19,14
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,75,0,0,0,0,0,0,5,84,85,3,0,0,0,0,0,0,86,60,20,8,0,0,0,0,7,91,43,16,19,3,0,0,0,3,84,30,13,35,12,3,0,0,3,91,14,16,45,20,8,0,0,0,100,16,14,42,21,4,0,0,0,93,16,12,35,21,6,0,0,10,98,3,7,33,24,3,0,0,3,79,13,12,57,35,13,0,0,0,134,10,4,32,31,12,4,0,5,99,5,8,26,18,6,4,3,0,66,0,4,9,16,7,0,0,0,42,0,0,3,9,0,0,0,0,23,5,0,6,5,5,0,0,0,26,372,125,341,203,77,19,12,40,1189,79,0,0,0,0,0,0,8,84,53,3,0,0,0,0,0,7,73,53,7,4,4,0,0,0,12,79,44,21,21,8,3,0,0,4,105,14,15,28,6,0,0,0,4,74,22,14,44,17,4,0,0,0,107,14,13
801011014,84,0,0,0,0,0,0,12,104,57,3,3,0,0,0,0,6,72,82,25,15,4,0,0,0,0,124,33,33,30,12,7,0,0,0,115,34,25,58,24,8,0,0,0,147,19,20,39,16,9,0,0,0,107,13,13,37,20,6,0,0,6,95,14,7,40,16,8,0,0,4,85,21,4,27,12,8,3,0,3,79,8,0,47,24,9,0,3,0,96,5,7,28,28,10,3,8,4,98,4,3,15,15,6,3,0,4,50,5,0,10,12,8,8,3,0,41,0,4,3,3,0,3,7,0,20,0,0,5,3,0,0,0,0,11,369,152,343,195,94,26,16,42,1237,79,0,0,0,0,0,0,14,93,84,10,3,0,0,0,0,3,100,69,16,5,6,0,0,0,3,103,36,30,31,15,0,0,0,7,125,19,15,43,16,8,0,0,0,103,23,20,39,24,10,0,0,6,129,9,16
801011015,121,9,0,0,0,0,0,14,143,124,18,9,0,0,0,0,9,157,118,39,30,6,9,0,0,3,196,80,73,53,18,3,0,0,15,247,59,40,61,27,3,0,0,6,207,32,36,42,26,13,9,0,0,150,19,25,42,27,3,3,0,9,129,27,18,35,22,10,0,0,0,113,19,16,39,32,3,3,0,4,122,34,13,61,45,24,5,0,8,192,17,8,59,24,17,4,4,5,141,8,8,25,13,6,8,3,5,71,7,4,18,12,10,0,0,3,61,4,6,13,16,7,0,4,10,67,0,18,19,22,11,3,8,6,85,661,328,506,295,116,49,26,108,2083,107,0,0,0,0,0,0,18,125,99,8,3,4,0,0,0,16,130,92,39,15,6,3,4,0,11,174,73,50,41,20,0,0,0,15,199,32,34,56,31,3,3,0,9,178,58,29,59,21,8,0,0,7,187,34,29
801011016,199,0,0,0,0,0,0,19,217,305,7,4,0,0,0,0,10,327,182,29,12,5,0,0,0,13,238,102,62,55,27,0,0,0,6,248,54,37,76,41,15,0,0,3,230,25,33,101,54,10,7,0,3,234,49,36,90,61,14,3,3,0,258,35,34,111,78,24,13,4,7,296,32,24,145,92,33,9,0,4,327,28,33,89,63,22,9,3,6,250,10,14,47,37,5,8,4,0,128,9,6,32,30,4,3,6,4,95,7,8,23,9,13,3,0,3,66,0,7,5,5,6,8,7,0,43,0,0,10,20,4,4,5,0,38,1034,329,806,502,155,55,34,95,3010,184,0,0,0,0,0,0,16,204,220,7,4,0,0,0,0,24,254,175,12,12,4,0,0,0,12,221,94,60,58,12,8,0,0,9,243,59,48,102,31,9,0,0,13,271,25,35,102,34,11,0,0,7,220,31,37
801011017,102,0,0,0,0,0,0,3,107,101,9,10,0,0,0,0,5,122,73,18,17,0,0,3,0,0,121,54,29,32,3,3,0,0,3,132,24,32,58,26,10,0,0,3,157,15,13,38,27,7,5,0,3,114,21,17,49,21,9,0,0,0,125,11,5,49,28,11,0,5,5,123,15,10,62,19,14,5,0,0,120,17,8,58,30,17,3,0,3,141,3,4,25,25,10,6,0,3,88,4,0,12,13,10,6,0,6,58,0,4,9,8,12,0,3,5,38,3,3,7,0,0,4,0,0,17,0,0,4,0,0,0,0,0,13,453,169,438,216,98,26,18,54,1475,88,0,0,0,0,0,0,10,96,68,11,4,0,0,0,0,3,90,87,13,11,3,7,0,0,18,139,48,34,45,7,3,0,0,8,152,39,24,47,14,3,0,0,9,136,17,25,63,25,5,3,4,9,161,15,11
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,6,0,0,7,0,0,0,0,0,4,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,0,0
801011019,136,0,0,0,0,0,0,9,144,201,11,5,0,0,0,0,8,226,234,62,42,10,4,0,0,8,364,133,84,75,21,8,4,0,11,332,56,40,75,34,17,3,0,5,227,28,29,60,23,0,3,6,8,159,16,17,56,27,11,6,0,3,136,22,14,49,43,19,0,5,4,149,17,8,42,29,12,8,3,0,129,9,7,55,53,14,10,0,5,146,4,9,36,22,12,3,3,0,90,3,5,13,9,9,4,4,0,46,0,0,6,6,0,0,0,0,17,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,8,850,296,513,286,111,35,27,67,2189,136,0,0,0,0,0,0,16,149,176,21,8,0,0,0,0,13,216,195,65,46,7,3,0,0,18,338,143,103,127,21,7,0,0,13,416,90,69,124,53,10,4,0,14,364,43,43,97,33,8,7,0,0,239,31,24
801011020,65,4,0,0,0,0,0,3,75,107,8,4,0,0,0,0,0,125,87,14,11,4,0,0,0,6,123,49,22,13,9,4,0,0,8,92,32,18,17,9,5,0,0,3,90,19,21,44,10,5,0,0,3,109,19,15,28,12,5,0,0,0,79,17,10,31,15,10,0,0,0,90,8,16,24,10,0,0,0,9,63,10,7,22,10,5,0,0,0,57,7,8,27,17,10,0,0,3,72,3,4,14,8,0,5,3,8,48,0,4,6,8,0,8,0,0,28,5,3,3,5,3,4,0,5,29,0,4,7,7,7,0,3,0,21,433,140,262,117,64,22,14,48,1095,63,0,0,0,0,0,0,5,70,82,3,4,0,0,0,0,0,94,69,15,8,0,0,0,0,10,105,43,26,22,7,5,0,0,4,110,33,27,34,15,0,0,0,10,118,26,15,20,15,3,0,0,5,88,16,14
801011021,97,0,0,0,0,0,0,4,105,88,8,3,0,0,0,0,3,103,43,13,3,0,0,0,0,4,67,27,25,27,10,0,0,0,4,90,16,5,39,15,4,0,0,0,77,15,17,48,22,11,0,0,0,109,18,4,37,27,8,0,4,0,101,8,12,61,29,9,0,0,6,131,8,18,47,35,15,0,0,3,132,11,4,48,20,12,6,0,3,105,8,9,22,8,7,0,0,4,51,7,0,15,9,6,0,0,0,43,4,0,11,5,0,0,0,5,27,0,0,4,0,0,0,0,4,11,0,0,3,3,3,0,0,0,9,339,120,371,196,75,15,12,40,1168,74,0,0,0,0,0,0,8,84,76,7,3,0,0,0,0,13,94,37,9,4,0,0,0,0,0,64,19,19,23,3,0,0,0,7,69,19,11,33,20,3,4,5,3,96,19,13,33,19,4,0,0,7,97,18,22
801011022,90,0,0,0,0,0,0,10,97,96,5,3,0,0,0,0,4,102,75,15,16,0,0,0,0,0,109,35,21,37,6,0,0,0,0,110,28,23,48,21,10,0,0,7,135,17,25,25,22,10,4,0,4,103,16,7,35,19,7,0,0,4,94,15,14,40,36,9,7,0,3,124,10,21,41,28,9,3,0,0,106,9,19,42,28,17,0,0,3,116,9,4,32,29,7,5,0,4,96,3,3,25,19,8,0,0,8,71,0,0,8,6,0,3,0,0,25,3,0,3,3,4,0,6,0,20,0,4,8,3,3,0,0,0,17,402,162,371,220,82,23,10,58,1331,90,0,0,0,0,0,0,0,92,56,3,0,0,0,0,0,3,62,71,17,7,5,0,0,0,0,97,44,26,31,11,0,0,0,3,121,21,14,35,18,7,0,0,3,98,15,12,54,18,7,0,0,6,130,25,17
801011023,61,0,0,0,0,0,0,6,67,98,4,0,0,0,0,0,7,109,84,21,9,3,0,0,0,3,118,48,27,27,15,0,0,0,3,119,37,21,32,21,3,0,0,6,109,27,16,26,12,9,0,4,6,90,17,14,28,11,0,0,0,6,71,16,12,19,8,7,3,0,3,71,12,4,23,15,3,0,0,6,71,7,3,23,10,13,0,4,4,77,8,0,24,17,4,3,3,0,64,0,3,15,18,6,0,6,6,63,3,5,15,19,13,5,4,9,68,3,8,19,27,21,10,6,20,105,10,20,34,28,13,7,8,38,156,436,155,304,203,91,30,32,111,1365,44,0,0,0,0,0,0,0,46,101,0,0,0,0,0,0,13,123,88,23,10,0,0,0,0,10,126,48,29,34,3,3,0,0,11,135,26,25,25,19,5,0,0,5,110,19,16,30,10,0,0,6,4,87,15,14
801011024,80,4,0,0,0,0,0,13,92,91,6,0,0,0,0,0,9,112,80,18,3,8,0,0,0,0,108,55,31,21,13,3,0,0,3,121,26,23,39,8,3,0,0,6,99,21,23,34,18,0,4,0,7,108,23,11,26,21,7,4,0,5,92,12,12,21,16,8,0,5,5,73,11,5,25,12,8,0,0,0,65,10,9,34,26,9,0,0,6,94,5,8,21,19,11,0,0,0,67,0,0,15,13,3,3,0,3,45,0,5,8,14,6,0,0,0,27,0,4,3,3,6,0,4,0,19,0,0,6,8,6,0,4,0,19,420,159,248,172,68,22,13,54,1157,54,0,0,0,0,0,0,6,60,83,11,3,0,0,0,0,12,110,62,20,13,0,0,0,0,8,105,51,35,21,10,0,0,0,7,135,26,24,33,17,3,4,0,4,117,19,23,34,12,4,3,0,5,106,18,9
801011025,78,3,0,0,0,0,0,7,92,69,4,4,0,0,0,0,3,78,45,19,11,7,0,0,0,0,87,30,25,22,7,0,0,0,0,96,19,8,31,19,9,0,0,7,99,18,9,31,17,5,0,0,0,86,17,12,27,20,9,4,4,6,91,3,8,23,19,7,0,3,0,71,6,18,33,27,14,8,3,0,115,9,11,36,27,6,0,0,8,98,4,9,19,13,10,0,0,3,56,4,0,9,13,3,0,0,0,31,0,0,10,5,3,0,3,0,31,0,0,3,3,0,0,0,0,7,0,0,0,0,3,0,4,0,11,296,126,276,175,82,22,17,46,1050,72,0,0,0,0,0,0,13,80,67,6,0,0,0,0,0,11,81,53,8,3,0,0,0,0,9,77,38,23,32,15,0,0,0,5,112,21,7,41,14,0,6,0,3,93,17,3,36,20,15,5,0,3,94,12,5
801011026,80,0,0,0,0,0,0,6,82,65,0,0,0,0,0,0,4,75,49,0,0,3,0,0,0,5,63,25,10,15,6,0,0,0,3,61,17,7,46,30,3,0,0,0,106,10,6,42,22,5,0,0,4,91,13,8,38,21,9,3,0,0,83,11,9,40,27,10,0,0,0,93,9,9,33,17,8,0,0,5,83,8,12,35,25,10,4,0,3,89,4,11,31,27,13,0,0,0,86,0,4,23,19,7,4,0,4,61,3,3,11,11,12,3,0,0,44,3,4,4,6,3,0,3,0,31,3,4,3,0,0,5,0,0,18,297,89,315,204,82,15,0,34,1048,84,0,0,0,0,0,0,9,92,57,0,0,0,0,0,0,5,62,42,4,3,0,0,0,0,0,47,24,10,15,0,0,0,0,0,54,12,12,39,14,0,0,0,0,81,11,12,50,30,3,0,0,5,103,14,6
