SA2_CODE_2021,C11_CFNC_MR_0_299,C11_CFNC_MR_300_449,C11_CFNC_MR_450_599,C11_CFNC_MR_600_799,C11_CFNC_MR_800_999,C11_CFNC_MR_1000_1399,C11_CFNC_MR_1400_1799,C11_CFNC_MR_1800_2399,C11_CFNC_MR_2400_2999,C11_CFNC_MR_3000_3999,C11_CFNC_MR_4000over,C11_CFNC_MR_NS,C11_CFNC_Tot,C11_CF_Cu15DS_MR_0_299,C11_CF_Cu15DS_MR_300_449,C11_CF_Cu15DS_MR_450_599,C11_CF_Cu15DS_MR_600_799,C11_CF_Cu15DS_MR_800_999,C11_CF_Cu15DS_MR_1000_1399,C11_CF_Cu15DS_MR_1400_1799,C11_CF_Cu15DS_MR_1800_2399,C11_CF_Cu15DS_MR_2400_2999,C11_CF_Cu15DS_MR_3000_3999,C11_CF_Cu15DS_MR_4000over,C11_CF_Cu15DS_MR_NS,C11_CF_Cu15DS_Tot,C11_CF_Cu15NDS_MR_0_299,C11_CF_Cu15NDS_MR_300_449,C11_CF_Cu15NDS_MR_450_599,C11_CF_Cu15NDS_MR_600_799,C11_CF_Cu15NDS_MR_800_999,C11_CF_Cu15NDS_MR_1000_1399,C11_CF_Cu15NDS_MR_1400_1799,C11_CF_Cu15NDS_MR_1800_2399,C11_CF_Cu15NDS_MR_2400_2999,C11_CF_Cu15NDS_MR_3000_3999,C11_CF_Cu15NDS_MR_4000over,C11_CF_Cu15NDS_MR_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_MR_0_299,C11_CF_NCu15DS_MR_300_449,C11_CF_NCu15DS_MR_450_599,C11_CF_NCu15DS_MR_600_799,C11_CF_NCu15DS_MR_800_999,C11_CF_NCu15DS_MR_1000_1399,C11_CF_NCu15DS_MR_1400_1799,C11_CF_NCu15DS_MR_1800_2399,C11_CF_NCu15DS_MR_2400_2999,C11_CF_NCu15DS_MR_3000_3999,C11_CF_NCu15DS_MR_4000over,C11_CF_NCu15DS_MR_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_MR_0_299,C11_CF_NDCO_MR_300_449,C11_CF_NDCO_MR_450_599,C11_CF_NDCO_MR_600_799,C11_CF_NDCO_MR_800_999,C11_CF_NDCO_MR_1000_1399,C11_CF_NDCO_MR_1400_1799,C11_CF_NDCO_MR_1800_2399,C11_CF_NDCO_MR_2400_2999,C11_CF_NDCO_MR_3000_3999,C11_CF_NDCO_MR_4000over,C11_CF_NDCO_MR_NS,C11_CF_NDCO_Tot,C11_CF_Tot_MR_0_299,C11_CF_Tot_MR_300_449,C11_CF_Tot_MR_450_599,C11_CF_Tot_MR_600_799,C11_CF_Tot_MR_800_999,C11_CF_Tot_MR_1000_1399,C11_CF_Tot_MR_1400_1799,C11_CF_Tot_MR_1800_2399,C11_CF_Tot_MR_2400_2999,C11_CF_Tot_MR_3000_3999,C11_CF_Tot_MR_4000over,C11_CF_Tot_MR_NS,C11_CF_Tot_Tot,C11_1PF_Cu15DS_MR_0_299,C11_1PF_Cu15DS_MR_300_449,C11_1PF_Cu15DS_MR_450_599,C11_1PF_Cu15DS_MR_600_799,C11_1PF_Cu15DS_MR_800_999,C11_1PF_Cu15DS_MR_1000_1399,C11_1PF_Cu15DS_MR_1400_1799,C11_1PF_Cu15DS_MR_1800_2399,C11_1PF_Cu15DS_MR_2400_2999,C11_1PF_Cu15DS_MR_3000_3999,C11_1PF_Cu15DS_MR_4000over,C11_1PF_Cu15DS_MR_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_MR_0_299,C11_1PF_CU15_NDS_MR_300_449,C11_1PF_CU15_NDS_MR_450_599,C11_1PF_CU15_NDS_MR_600_799,C11_1PF_CU15_NDS_MR_800_999,C11_1PF_CU15_NDS_MR_1000_1399,C11_1PF_CU15_NDS_MR_1400_1799,C11_1PF_CU15_NDS_MR_1800_2399,C11_1PF_CU15_NDS_MR_2400_2999,C11_1PF_CU15_NDS_MR_3000_3999,C11_1PF_CU15_NDS_MR_4000over,C11_1PF_CU15_NDS_MR_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_MR_0_299,C11_1PF_NCu15DS_MR_300_449,C11_1PF_NCu15DS_MR_450_599,C11_1PF_NCu15DS_MR_600_799,C11_1PF_NCu15DS_MR_800_999,C11_1PF_NCu15DS_MR_1000_1399,C11_1PF_NCu15DS_MR_1400_1799,C11_1PF_NCu15DS_MR_1800_2399,C11_1PF_NCu15DS_MR_2400_2999,C11_1PF_NCu15DS_MR_3000_3999,C11_1PF_NCu15DS_MR_4000over,C11_1PF_NCu15DS_MR_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_MR_0_299,C11_1PF_NDCO_MR_300_449,C11_1PF_NDCO_MR_450_599,C11_1PF_NDCO_MR_600_799,C11_1PF_NDCO_MR_800_999,C11_1PF_NDCO_MR_1000_1399,C11_1PF_NDCO_MR_1400_1799,C11_1PF_NDCO_MR_1800_2399,C11_1PF_NDCO_MR_2400_2999,C11_1PF_NDCO_MR_3000_3999,C11_1PF_NDCO_MR_4000over,C11_1PF_NDCO_MR_NS,C11_1PF_NDCO_Tot,C11_1PF_Tot_MR_0_299,C11_1PF_Tot_MR_300_449,C11_1PF_Tot_MR_450_599,C11_1PF_Tot_MR_600_799,C11_1PF_Tot_MR_800_999,C11_1PF_Tot_MR_1000_1399,C11_1PF_Tot_MR_1400_1799,C11_1PF_Tot_MR_1800_2399,C11_1PF_Tot_MR_2400_2999,C11_1PF_Tot_MR_3000_3999,C11_1PF_Tot_MR_4000over,C11_1PF_Tot_MR_NS,C11_1PF_Tot_Tot,C11_Tot_MR_0_299,C11_Tot_MR_300_449,C11_Tot_MR_450_599,C11_Tot_MR_600_799,C11_Tot_MR_800_999,C11_Tot_MR_1000_1399,C11_Tot_MR_1400_1799,C11_Tot_MR_1800_2399,C11_Tot_MR_2400_2999,C11_Tot_MR_3000_3999,C11_Tot_MR_4000over,C11_Tot_MR_NS,C11_Tot_Tot,C16_CFNC_MR_0_299,C16_CFNC_MR_300_449,C16_CFNC_MR_450_599,C16_CFNC_MR_600_799,C16_CFNC_MR_800_999,C16_CFNC_MR_1000_1399,C16_CFNC_MR_1400_1799,C16_CFNC_MR_1800_2399,C16_CFNC_MR_2400_2999,C16_CFNC_MR_3000_3999,C16_CFNC_MR_4000over,C16_CFNC_MR_NS,C16_CFNC_Tot,C16_CF_Cu15DS_MR_0_299,C16_CF_Cu15DS_MR_300_449,C16_CF_Cu15DS_MR_450_599,C16_CF_Cu15DS_MR_600_799,C16_CF_Cu15DS_MR_800_999,C16_CF_Cu15DS_MR_1000_1399,C16_CF_Cu15DS_MR_1400_1799,C16_CF_Cu15DS_MR_1800_2399,C16_CF_Cu15DS_MR_2400_2999,C16_CF_Cu15DS_MR_3000_3999,C16_CF_Cu15DS_MR_4000over,C16_CF_Cu15DS_MR_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_MR_0_299,C16_CF_Cu15NDS_MR_300_449,C16_CF_Cu15NDS_MR_450_599,C16_CF_Cu15NDS_MR_600_799,C16_CF_Cu15NDS_MR_800_999,C16_CF_Cu15NDS_MR_1000_1399,C16_CF_Cu15NDS_MR_1400_1799,C16_CF_Cu15NDS_MR_1800_2399,C16_CF_Cu15NDS_MR_2400_2999,C16_CF_Cu15NDS_MR_3000_3999,C16_CF_Cu15NDS_MR_4000over,C16_CF_Cu15NDS_MR_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_MR_0_299,C16_CF_NCu15DS_MR_300_449,C16_CF_NCu15DS_MR_450_599,C16_CF_NCu15DS_MR_600_799,C16_CF_NCu15DS_MR_800_999
801011001,7,0,5,0,5,6,9,3,10,7,8,0,50,4,0,3,0,0,0,0,6,6,0,0,0,27,13,0,0,3,6,9,10,18,19,26,18,0,118,0,0,0,5,0,8,3,0,9,3,0,0,25,0,0,0,0,0,0,0,3,0,4,0,0,9,17,0,4,3,6,14,16,32,33,36,17,0,184,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,3,0,9,0,0,0,3,0,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,6,7,0,0,6,0,25,17,5,9,11,6,22,23,42,50,46,28,3,260,8,0,0,0,7,5,13,14,5,11,6,0,58,0,0,0,0,4,0,0,9,0,3,5,0,22,6,0,3,0,0,4,9,29,23,36,17,3,124,0,0,0,0,6
801011002,3,5,0,3,0,5,13,48,25,12,6,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,11,6,0,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,14,16,11,6,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,3,0,0,0,6,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,3,3,4,6,7,3,0,0,0,24,5,5,0,7,3,9,25,72,34,19,14,6,197,7,0,0,0,8,17,32,62,15,10,5,0,158,0,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,4,0,14,21,27,5,7,0,0,89,0,0,0,0,0
801011003,12,4,0,4,4,9,12,38,26,29,21,3,158,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,3,0,4,13,27,20,20,14,0,98,0,0,0,0,0,0,0,0,0,6,11,0,28,0,0,0,0,5,6,0,0,3,3,5,0,19,0,0,0,6,5,12,14,33,25,34,27,3,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,3,14,4,0,3,0,25,12,7,0,8,9,15,33,82,56,61,52,8,339,12,5,6,3,9,10,28,29,17,18,16,0,150,0,0,0,0,0,0,0,3,0,0,0,5,10,5,0,3,0,3,9,10,30,23,18,13,5,122,7,0,0,0,0
801011004,6,0,0,3,3,18,21,35,28,9,4,7,136,0,0,0,0,0,4,3,4,0,0,0,0,18,0,0,0,0,6,14,17,50,26,8,0,7,130,0,0,0,0,0,3,5,4,0,4,0,0,21,0,0,0,3,0,3,7,8,0,0,4,0,26,0,0,0,4,7,23,30,66,33,12,6,3,190,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,3,6,9,3,0,0,0,28,0,0,0,0,5,4,6,4,0,0,0,0,14,0,0,0,0,4,0,6,7,6,0,0,5,23,3,4,0,5,13,8,13,22,3,0,0,4,73,8,5,6,15,24,52,68,121,69,15,4,16,394,3,0,0,5,0,17,17,39,10,10,4,4,116,0,0,0,0,0,3,7,10,5,0,0,0,23,0,0,0,3,0,8,28,63,20,7,0,0,139,0,0,0,0,0
801011005,3,0,0,4,5,6,7,20,13,13,3,0,83,0,0,0,0,0,0,0,3,0,4,0,0,7,4,0,0,4,6,5,14,27,22,18,3,4,119,0,0,0,4,0,0,4,3,3,5,0,0,15,0,0,0,0,0,0,4,0,0,0,0,0,12,8,5,0,8,6,9,24,35,29,25,3,4,157,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,5,0,0,3,0,4,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,5,0,0,8,8,3,3,0,0,37,18,5,0,17,11,16,34,63,48,45,15,5,275,4,0,0,4,4,6,12,26,14,8,8,0,95,3,0,0,0,0,0,4,6,3,0,3,0,21,3,3,0,9,5,10,23,36,23,20,11,3,145,0,0,4,0,0
801011006,13,3,3,4,11,28,35,92,82,65,20,14,374,0,0,0,0,0,12,15,23,17,14,9,0,91,0,0,0,13,9,33,64,168,151,96,29,12,579,0,0,0,0,4,8,9,20,12,10,5,0,71,3,0,0,0,6,6,3,22,8,13,4,4,71,9,5,0,10,24,60,90,229,184,130,44,26,816,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,6,0,8,9,22,18,10,0,3,75,0,0,0,0,0,0,3,7,4,0,0,0,23,3,0,0,0,9,9,5,15,4,4,0,5,43,4,0,4,0,7,13,21,46,23,8,0,5,151,27,8,5,19,40,106,139,368,292,208,70,36,1338,7,3,4,5,10,21,52,101,40,30,15,6,296,6,0,0,4,0,12,12,24,13,10,5,0,84,15,4,6,7,16,38,65,171,119,70,25,14,553,3,0,0,4,5
801011007,10,4,0,5,6,18,27,49,45,31,6,0,197,0,0,0,0,3,7,5,18,6,18,3,4,53,6,0,4,6,9,19,39,80,52,43,6,15,279,3,0,4,0,4,9,4,16,3,4,0,5,56,5,5,0,5,7,13,10,14,6,0,0,0,55,9,5,6,16,16,40,56,125,71,71,17,19,448,0,0,0,0,0,4,0,0,3,0,0,0,9,0,0,0,0,0,0,6,7,7,6,0,0,27,0,0,0,0,0,8,0,4,3,3,0,0,25,4,0,0,0,0,0,3,6,0,0,0,0,20,4,5,4,5,4,11,14,22,12,4,0,0,83,22,17,9,17,26,74,94,192,124,103,26,25,734,13,6,0,4,7,19,22,42,25,19,8,6,184,0,0,0,0,0,8,0,18,6,3,4,6,44,8,0,0,8,6,27,47,82,42,41,12,15,291,0,6,0,6,4
801011008,3,3,4,10,5,17,10,19,21,17,6,3,121,5,0,6,4,3,0,11,5,3,0,3,0,37,8,0,0,3,5,9,17,45,34,31,12,0,160,6,0,0,0,0,6,7,8,3,0,0,5,46,4,0,0,5,0,10,10,7,6,8,0,0,46,18,7,6,12,16,29,37,69,49,33,14,4,294,0,0,0,0,0,0,4,3,0,0,0,0,10,0,0,0,0,0,0,4,0,3,0,0,0,19,0,0,0,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,6,13,10,8,3,0,0,51,28,9,13,22,28,52,62,91,72,53,21,13,468,0,6,3,5,4,9,19,31,11,17,5,4,112,0,0,0,6,3,3,4,8,4,0,0,0,26,4,0,0,3,4,16,18,49,37,22,10,0,161,7,0,0,0,0
801011009,8,0,0,6,12,16,21,32,17,20,9,4,142,0,0,0,0,3,0,8,12,8,4,0,0,39,7,5,0,3,4,20,27,58,35,26,4,3,193,6,0,0,0,0,3,6,9,3,9,0,3,39,0,5,0,5,3,3,8,5,4,9,0,0,42,12,11,5,9,11,32,48,86,52,46,8,7,313,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,8,3,4,0,0,0,22,0,0,0,0,0,4,3,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,5,13,8,15,8,4,0,0,52,17,13,6,15,21,56,81,126,77,66,15,9,505,8,0,8,8,5,11,13,34,19,9,7,0,125,5,0,0,0,0,0,8,6,9,0,0,0,24,0,0,0,3,3,18,19,67,46,35,3,7,200,0,0,0,0,0
801011010,0,0,0,0,0,12,8,12,12,6,7,9,69,4,0,0,4,0,0,0,6,8,0,0,0,31,0,0,0,3,3,13,13,44,36,14,6,0,133,0,0,0,0,4,5,3,8,0,7,0,3,26,5,0,0,0,0,6,4,4,0,3,0,0,28,5,3,3,8,10,25,25,65,47,25,3,0,218,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,17,0,0,0,0,4,11,9,7,0,3,0,6,37,13,6,0,12,18,45,39,78,60,31,14,12,328,4,4,0,0,4,4,7,21,14,8,0,0,73,0,0,0,0,0,6,0,11,8,0,0,0,29,0,0,0,0,0,10,13,35,25,25,5,5,120,0,0,4,0,0
801011011,6,0,0,6,0,10,17,21,19,7,11,0,105,0,0,0,0,0,5,3,3,8,0,0,0,23,9,3,0,9,7,7,23,45,36,22,9,6,169,0,0,0,0,4,0,3,12,4,8,0,5,45,8,0,4,0,0,6,8,3,8,0,0,0,41,14,11,3,9,13,24,39,61,47,34,10,10,282,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,5,3,0,18,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,0,0,0,15,5,0,0,4,0,4,6,11,3,7,3,0,39,26,6,6,17,18,36,65,97,68,45,22,16,434,6,3,0,5,3,10,12,18,22,8,5,5,102,0,0,0,0,0,5,0,6,7,0,0,0,17,9,0,6,3,9,12,17,64,36,17,9,3,183,0,0,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,7,0,0,3,7,4,14,15,13,9,11,0,89,0,0,0,0,0,4,6,3,0,3,6,0,25,4,0,0,0,3,9,7,21,17,31,13,5,114,0,0,0,3,0,0,0,5,6,6,9,0,25,0,0,0,0,0,3,0,8,0,4,0,0,13,12,0,0,0,5,12,10,38,21,44,30,4,175,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,0,0,0,0,13,0,0,0,0,0,0,0,4,4,0,0,0,7,0,0,0,0,0,0,5,4,0,0,0,0,5,0,0,0,0,0,0,3,4,0,4,0,0,28,22,0,5,8,9,19,28,56,39,58,39,3,292,4,0,0,3,5,9,14,8,3,11,8,0,60,6,0,0,0,4,0,0,7,5,7,7,0,32,3,0,0,0,9,9,12,24,16,31,24,5,127,0,3,4,0,0
801011014,7,0,0,9,5,11,6,15,30,10,3,7,121,0,0,0,0,0,3,4,11,0,0,0,0,23,0,0,4,6,0,16,31,57,35,18,4,7,182,0,0,0,0,0,6,3,0,4,5,0,3,24,3,0,0,0,0,0,4,8,0,3,0,0,20,5,0,4,8,7,22,40,69,47,22,10,14,250,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,6,8,0,4,0,0,26,0,0,0,3,0,0,0,3,0,0,0,5,9,0,0,0,0,4,0,4,6,0,0,0,4,20,0,0,3,0,4,4,6,22,6,4,0,3,57,10,6,9,23,20,37,52,109,87,40,14,24,427,6,0,5,0,9,11,12,34,20,10,4,3,111,0,0,0,0,0,3,0,13,0,0,4,0,26,6,0,0,4,3,13,29,58,36,15,9,5,175,0,0,0,0,0
801011015,13,0,4,3,11,18,20,65,38,17,6,7,197,0,0,0,0,0,0,8,11,0,0,0,0,30,3,0,0,3,0,19,37,80,52,11,8,7,223,0,0,0,0,4,5,6,4,7,3,0,0,36,3,0,0,0,0,7,8,6,0,0,0,0,31,6,0,0,4,12,28,57,102,60,23,5,7,312,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,7,5,6,3,0,0,4,35,0,0,0,0,0,8,5,0,0,0,0,0,12,0,0,0,5,0,0,0,11,0,0,0,0,22,0,0,3,5,3,13,12,16,10,0,0,4,75,17,6,11,20,19,62,88,188,106,38,15,13,586,3,3,0,9,7,16,33,47,13,10,4,3,141,3,0,0,0,6,3,4,9,9,6,0,0,33,3,0,3,4,0,16,45,70,35,17,6,3,207,0,0,0,0,0
801011016,14,0,3,9,8,17,23,28,35,28,7,3,189,0,4,0,3,3,10,7,16,14,5,0,0,68,3,3,0,5,3,32,41,65,67,51,18,11,307,11,7,3,0,4,16,6,14,4,3,0,0,68,3,4,0,0,3,18,12,16,10,4,3,3,74,19,11,9,17,19,69,73,107,93,62,19,21,514,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,6,3,5,0,0,0,35,0,0,3,5,3,5,0,3,0,0,5,0,17,5,0,0,0,3,9,3,8,0,4,0,0,33,6,0,8,8,4,16,10,19,11,4,3,3,89,42,17,17,26,38,106,101,155,135,95,34,28,793,11,6,0,5,12,17,20,34,25,18,7,5,183,5,0,0,0,0,3,6,8,8,11,0,0,49,3,0,3,5,10,15,44,94,63,47,15,17,319,4,0,4,0,3
801011017,6,3,3,4,8,22,12,32,33,19,3,3,145,0,0,0,0,0,4,3,8,3,5,3,0,24,5,0,0,0,10,24,26,37,46,23,3,3,176,0,4,3,3,0,5,3,8,8,6,0,3,39,0,0,4,4,3,4,3,9,9,5,0,0,41,5,0,7,10,14,36,33,67,60,31,5,7,278,5,0,0,0,0,0,0,0,0,0,0,0,10,0,4,3,0,0,6,0,10,5,0,0,0,34,0,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,5,4,7,0,0,0,0,22,3,4,4,0,3,15,14,16,8,0,0,0,74,14,10,13,20,25,73,55,115,103,52,11,15,503,6,0,4,10,8,14,14,46,25,13,9,0,140,0,0,0,0,4,8,0,9,11,5,0,0,33,0,6,0,6,8,12,26,80,42,17,7,3,204,0,0,3,0,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,0,11,0,0,0,0,0
801011019,9,4,6,7,8,22,28,127,83,56,7,6,361,0,0,0,0,0,5,9,17,11,13,0,0,47,6,0,0,8,5,20,40,145,99,46,8,4,378,4,0,0,0,3,0,7,12,5,8,5,0,47,0,3,0,5,3,6,6,13,0,4,3,0,55,7,3,6,10,11,38,61,174,114,68,12,12,529,0,0,0,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,8,12,11,6,4,0,0,52,0,0,0,0,4,3,3,3,0,0,0,0,15,0,0,0,0,0,11,0,6,3,0,0,3,29,0,0,4,0,4,18,19,28,18,5,0,3,107,20,9,11,19,22,80,110,329,214,131,22,19,991,11,7,4,11,17,27,53,102,67,19,12,9,326,0,0,0,0,0,7,10,21,14,5,0,5,64,6,4,0,0,11,36,85,220,109,37,18,5,532,6,0,0,0,0
801011020,5,0,5,6,4,9,8,14,15,13,5,0,64,4,0,0,0,0,0,0,4,0,0,0,0,13,3,0,0,3,4,12,11,25,23,17,3,0,93,0,0,0,0,0,0,5,0,3,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,16,6,0,0,3,4,10,19,28,21,22,4,5,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,3,3,0,0,0,11,0,0,0,5,0,0,7,5,0,0,0,0,27,11,0,3,7,9,28,32,49,34,33,9,3,234,8,0,0,0,5,5,10,13,8,3,0,0,54,0,0,0,0,0,0,0,4,0,0,0,0,10,3,0,0,0,3,13,13,28,21,15,3,6,108,4,0,0,0,0
801011021,9,0,0,3,9,13,6,14,10,22,12,0,99,0,4,0,0,0,3,6,0,3,3,0,0,28,5,0,0,0,0,10,8,30,23,22,11,7,110,4,0,0,0,5,3,3,9,0,5,3,6,38,0,0,0,0,0,3,3,6,0,8,4,0,21,3,0,0,3,4,23,21,43,31,37,13,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,3,3,0,13,0,0,0,0,6,5,6,3,3,6,6,0,31,11,3,0,12,14,38,39,63,42,59,34,16,330,4,3,0,6,3,9,9,25,13,13,3,4,87,0,0,0,0,0,3,0,5,0,5,0,0,21,5,0,0,0,0,8,12,19,28,16,11,3,108,0,0,0,0,0
801011022,5,5,5,3,3,9,17,26,18,6,0,7,96,0,0,0,0,0,5,0,4,0,4,0,3,19,3,0,0,0,3,14,20,53,41,23,9,7,178,0,0,0,0,0,10,4,6,3,7,6,0,39,4,0,0,4,4,4,0,5,0,4,0,0,29,13,3,0,3,5,37,23,65,49,38,18,8,268,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,5,0,4,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,4,0,0,8,7,0,0,0,0,8,4,10,4,5,0,0,43,23,8,4,8,11,53,46,96,70,53,20,15,417,7,6,0,0,0,8,14,22,21,12,11,5,108,3,0,0,0,0,9,5,11,4,4,0,0,27,3,5,0,0,3,11,22,43,40,26,12,0,176,0,0,0,4,0
801011023,3,0,6,3,0,6,6,12,16,10,0,0,63,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,4,6,3,9,11,23,21,6,5,4,88,0,4,0,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,13,0,3,6,5,4,16,16,27,24,8,5,10,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,3,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,6,3,0,0,24,4,3,6,7,7,20,25,42,45,24,3,10,203,0,0,4,3,6,0,10,17,13,6,0,0,64,0,0,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,4,10,12,37,24,9,7,6,110,0,0,0,0,0
801011024,5,8,4,6,0,8,13,18,11,17,3,5,94,3,0,0,0,0,7,3,4,3,0,0,0,23,3,0,5,0,5,9,9,34,24,21,4,4,113,0,0,0,6,4,0,0,6,0,0,0,0,13,0,3,0,0,5,5,3,3,3,0,0,0,19,5,9,4,3,12,21,15,42,30,18,5,4,171,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,4,5,5,3,4,9,4,0,0,6,35,16,15,11,10,18,34,32,68,45,40,8,10,299,4,0,0,6,0,11,10,18,14,6,7,0,85,0,0,0,0,0,0,0,8,0,0,0,0,13,3,3,0,0,0,11,17,49,34,8,5,0,148,0,0,0,0,0
801011025,0,3,3,4,0,6,8,16,19,11,3,6,87,0,0,0,0,0,0,0,5,5,7,0,0,21,0,0,5,0,0,15,16,37,33,24,3,4,148,3,0,0,0,0,0,4,7,5,3,0,0,28,0,0,3,0,0,3,5,0,5,0,0,0,21,4,3,6,4,6,23,26,45,50,35,9,4,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,12,0,0,0,3,3,0,4,12,3,0,0,0,31,7,4,11,13,14,38,43,72,77,43,9,9,340,6,3,3,0,3,12,9,22,19,14,5,4,96,0,0,0,0,0,0,5,10,0,0,0,0,27,4,0,0,0,0,12,15,53,28,9,5,6,139,3,0,0,3,0
