SA2_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
801011001,15,61,5,76,0,6,0,0,9,0,0,0,9,65,0,72,0,5,0,0,5,0,0,0,5,83,7,95,313,214,31,3,565,7,11,15,582,369,27,979,6,39,0,0,43,0,3,3,46,31,0,82,24,26,4,0,51,0,8,8,57,9,4,70,25,14,0,0,48,0,6,7,52,7,0,63,29,22,3,0,57,0,0,0,57,0,0,63,38,26,9,0,75,0,5,5,74,8,0,89,52,37,3,0,88,0,0,0,88,8,4,104,55,18,3,0,76,0,0,0,76,11,0,88,49,26,0,0,75,0,0,3,78,6,3,85,43,18,4,0,64,0,0,3,66,17,0,87,26,16,0,0,46,0,0,4,45,40,3,91,8,11,0,0,14,0,0,0,14,46,4,68,0,5,0,0,5,0,0,0,5,63,5,72,0,0,0,0,0,0,0,0,0,132,6,139,353,265,34,0
801011002,18,49,9,74,0,5,0,0,5,0,0,0,5,62,12,76,0,0,0,0,0,0,0,0,0,152,65,218,1019,581,67,22,1689,68,86,153,1847,935,290,3071,8,56,8,0,66,0,3,4,78,35,0,116,219,258,18,5,498,12,23,37,539,135,37,709,493,234,24,13,767,34,17,47,815,117,38,967,298,164,16,11,488,18,3,20,510,87,35,629,177,69,12,0,265,3,11,16,272,52,13,344,109,47,8,0,169,0,0,0,171,26,8,208,72,33,8,0,109,7,4,14,120,21,12,147,54,16,5,0,79,4,0,5,86,28,5,125,45,27,0,0,73,3,0,0,78,31,3,114,18,16,0,0,38,0,0,0,39,47,4,91,12,14,4,0,25,0,0,0,25,73,3,101,0,3,0,0,5,0,0,0,5,75,3,87,0,0,0,0,5,0,0,0,5,267,11,283,1514,939,108,33
801011003,22,63,12,97,0,7,0,0,8,0,0,0,9,61,3,71,0,0,0,0,0,0,0,0,0,113,71,182,1043,683,95,57,1880,43,78,118,2000,916,268,3182,18,171,11,0,197,0,33,30,231,79,8,321,168,383,36,10,596,11,34,49,646,97,27,768,300,141,10,10,452,9,9,17,469,52,18,534,206,104,24,4,338,4,10,14,354,49,17,415,160,66,8,0,235,3,11,12,243,27,3,282,113,50,11,0,174,0,3,9,174,21,8,206,107,30,3,0,147,0,0,0,146,17,7,164,69,23,7,0,100,4,0,5,105,13,0,125,61,19,6,3,89,0,0,0,89,34,0,124,32,18,3,0,56,0,0,0,56,68,6,136,15,15,5,0,28,0,0,0,35,86,4,118,11,7,0,0,11,0,0,0,11,99,4,110,0,6,0,0,6,0,0,0,6,221,4,232,1263,1023,118,30
801011004,11,59,7,72,0,0,0,0,4,0,0,0,4,41,4,47,0,0,0,0,0,0,0,0,0,64,10,75,376,245,36,12,666,16,21,33,706,427,76,1210,12,21,0,0,27,6,10,11,43,34,0,78,31,29,0,0,61,0,4,3,71,7,5,81,49,24,7,5,81,0,0,0,87,18,9,108,52,34,9,3,103,0,0,0,108,21,3,136,70,41,9,0,112,0,0,0,117,24,7,149,58,35,8,0,97,0,4,4,102,19,0,119,59,27,4,4,91,0,3,4,99,16,10,122,29,20,11,0,55,0,0,4,57,21,4,75,31,8,0,0,39,0,0,0,45,25,0,72,23,15,0,0,44,0,0,4,45,54,0,98,5,11,3,0,14,0,0,0,16,48,6,71,0,0,0,0,0,0,0,0,0,57,0,64,0,0,0,0,0,0,0,0,0,71,3,80,413,268,43,14
801011005,12,70,4,90,5,7,0,0,11,0,0,0,11,66,6,82,0,3,0,0,0,0,0,0,5,117,3,123,392,285,33,12,721,10,24,33,750,421,40,1212,3,27,4,3,35,0,9,11,44,29,0,78,22,24,4,0,47,0,0,0,52,6,0,56,55,21,3,0,80,0,0,4,82,6,0,95,59,33,7,0,99,0,0,5,99,11,10,122,45,53,5,0,100,0,0,0,107,11,4,120,60,35,6,0,98,0,6,6,104,5,5,114,58,40,0,0,103,0,0,0,109,8,0,115,62,23,9,0,87,0,0,0,93,7,5,105,38,19,3,0,68,4,3,6,74,26,0,97,17,21,5,0,47,0,0,0,45,38,0,86,12,13,0,0,34,0,0,0,30,53,4,94,0,3,0,0,5,0,0,0,5,77,4,91,0,10,0,0,10,0,0,0,10,147,3,162,435,323,46,7
801011006,22,98,5,119,0,3,0,0,5,0,0,0,5,58,3,67,0,0,0,0,0,0,0,0,0,98,6,103,1119,662,116,24,1917,31,44,72,1988,707,96,2790,19,101,6,0,123,8,19,22,146,88,8,240,66,64,3,3,144,3,6,9,150,31,4,181,88,47,8,0,147,4,3,8,156,24,7,185,107,71,32,7,213,5,0,4,217,30,4,251,156,93,14,5,271,9,3,12,280,42,3,326,160,97,7,6,266,0,4,3,270,29,8,309,203,72,7,0,285,0,3,4,289,32,11,338,148,66,10,0,219,0,0,4,221,32,5,257,85,48,22,0,153,0,0,0,152,56,4,211,41,39,6,0,94,3,0,4,97,75,10,178,14,19,0,0,35,0,0,0,38,89,0,133,3,3,0,0,11,0,0,0,11,94,4,107,0,0,0,0,0,0,0,0,0,103,5,111,1091,729,115,18
801011007,43,127,13,184,3,6,0,0,6,0,0,0,6,67,7,77,0,3,0,0,3,0,0,0,3,90,3,93,713,521,74,18,1326,21,23,50,1372,647,143,2160,10,88,3,0,103,0,8,8,113,47,7,161,54,62,0,0,116,0,3,3,117,12,0,138,98,43,10,5,153,0,3,9,161,14,3,180,73,62,20,0,162,0,0,0,156,25,0,183,72,72,24,0,179,0,3,9,180,15,4,208,95,64,7,0,163,5,6,4,169,15,5,191,118,54,4,0,184,0,0,0,182,19,0,201,88,47,11,0,147,3,0,3,149,21,4,170,59,48,0,0,100,0,0,0,105,35,8,149,45,35,0,0,74,0,0,0,80,80,3,162,10,23,0,0,36,0,0,0,36,106,0,141,4,10,0,0,20,0,0,0,20,135,0,152,0,0,0,0,3,0,0,0,3,122,6,130,731,607,90,10
801011008,23,110,3,141,4,3,0,0,8,0,0,0,8,70,8,81,0,0,0,0,0,0,0,0,0,112,7,122,608,472,54,14,1147,20,39,57,1207,715,92,2014,4,59,7,0,70,0,5,5,73,46,0,121,56,63,0,0,124,4,7,4,134,13,0,143,81,32,5,3,119,12,9,18,137,23,9,167,65,58,8,0,134,4,0,3,136,28,3,169,66,62,13,0,142,0,0,4,140,25,5,178,88,43,8,0,141,0,0,0,143,28,6,171,62,49,6,0,114,0,0,0,124,22,6,143,75,33,4,0,109,0,0,0,109,29,9,145,83,42,0,0,127,3,0,3,127,36,7,172,51,31,6,0,89,0,0,0,85,95,7,189,8,9,0,0,23,0,0,0,23,127,0,155,3,7,0,0,9,0,0,0,9,112,3,125,0,0,0,0,3,0,0,0,4,143,5,151,650,499,49,10
801011009,24,88,3,113,3,4,0,0,5,0,0,0,5,67,5,84,0,0,0,0,3,0,0,0,3,58,4,71,444,328,43,7,824,15,18,35,855,436,54,1344,9,51,0,0,61,0,12,16,77,34,3,114,45,37,3,7,87,0,6,0,90,13,3,103,50,13,5,3,68,6,0,4,71,9,4,88,63,32,16,0,103,3,0,3,112,11,4,120,56,44,11,0,112,0,3,3,114,18,3,136,58,43,5,0,106,0,0,3,114,9,6,125,65,36,3,0,111,0,0,0,111,13,3,125,70,20,0,0,90,0,0,0,90,17,6,112,47,22,6,0,73,0,0,0,73,23,0,99,23,22,9,0,51,0,0,0,52,52,4,107,3,10,0,0,10,0,0,0,14,72,3,84,4,12,0,0,17,0,0,0,17,95,0,107,0,0,0,0,0,0,0,0,0,95,6,101,486,346,65,8
801011010,9,55,6,72,0,3,0,0,3,0,0,0,5,28,0,32,0,0,0,0,0,0,0,0,0,40,3,45,259,212,24,5,498,8,10,19,520,268,42,826,0,25,0,0,31,0,4,4,34,26,0,61,23,14,4,0,39,0,0,0,42,10,0,51,26,7,4,0,32,0,0,0,34,8,6,46,20,14,9,0,42,0,0,0,39,8,0,45,33,24,5,0,60,0,0,3,61,8,3,74,29,32,6,0,67,0,0,0,65,12,0,80,40,27,6,0,75,0,0,0,73,12,0,84,31,24,0,0,54,0,0,0,54,3,4,61,29,13,0,4,45,0,0,0,45,20,0,61,11,8,5,0,26,0,0,0,27,32,5,59,4,11,0,0,16,0,0,0,22,63,0,84,7,0,0,0,9,0,0,0,9,58,0,63,0,0,0,0,0,0,0,0,0,55,3,59,253,208,31,4
801011011,29,77,7,111,0,0,0,0,0,0,0,0,0,52,0,55,0,0,0,0,0,0,0,0,0,52,4,49,441,330,55,14,836,16,19,33,874,417,45,1336,6,39,3,3,48,0,6,6,54,28,0,82,17,25,4,0,54,3,0,8,59,13,5,72,53,33,3,0,82,0,0,0,84,11,0,103,51,42,11,0,105,0,0,4,107,20,5,134,57,49,14,0,115,3,0,4,122,9,7,143,60,47,5,0,114,0,0,0,113,15,0,130,61,22,0,0,90,3,0,3,96,15,0,105,48,24,3,0,78,0,0,0,76,14,3,93,37,20,5,0,63,0,0,0,66,22,0,88,20,20,5,0,46,0,0,0,46,41,0,97,3,17,0,0,22,0,0,0,25,97,0,125,3,9,3,0,15,0,0,0,15,87,3,103,0,0,0,0,0,0,0,0,0,74,3,77,425,338,56,8
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,25,86,4,110,3,9,0,4,15,0,0,0,13,70,0,86,0,5,0,0,4,0,0,0,4,104,7,119,358,257,36,6,660,8,21,24,684,461,41,1187,7,36,6,0,43,0,7,10,53,37,0,92,28,34,3,0,66,0,4,4,68,11,3,82,51,30,3,5,86,0,0,0,91,7,9,106,32,23,3,0,66,0,0,0,66,23,5,91,49,33,3,0,84,0,0,6,89,6,7,98,42,21,0,0,62,0,0,0,63,11,0,77,67,24,4,0,92,0,0,0,98,8,0,107,56,15,7,0,84,0,0,0,86,12,0,91,47,23,3,0,73,0,0,0,73,21,0,98,14,23,0,0,37,0,0,0,40,53,0,94,9,13,0,0,17,0,0,0,17,57,0,76,3,7,0,0,15,0,0,0,15,81,0,98,0,3,0,0,5,0,0,0,5,160,8,177,408,283,36,5
