SA2_CODE_2021,C11_PI_S_R225_274,C11_PI_S_R275_349,C11_PI_S_R350_449,C11_PI_S_R450_549,C11_PI_S_R550_649,C11_PI_S_R650more,C11_PI_S_R_NS,C11_PI_S_R_Tot,C11_AI_NS_R1_74,C11_AI_NS_R75_99,C11_AI_NS_R100_149,C11_AI_NS_R150_199,C11_AI_NS_R200_224,C11_AI_NS_R225_274,C11_AI_NS_R275_349,C11_AI_NS_R350_449,C11_AI_NS_R450_549,C11_AI_NS_R550_649,C11_AI_NS_R650more,C11_AI_NS_R_NS,C11_AI_NS_R_Tot,C11_Tot_R1_74,C11_Tot_R75_99,C11_Tot_R100_149,C11_Tot_R150_199,C11_Tot_R200_224,C11_Tot_R225_274,C11_Tot_R275_349,C11_Tot_R350_449,C11_Tot_R450_549,C11_Tot_R550_649,C11_Tot_R650more,C11_Tot_R_NS,C11_Tot_R_Tot,C16_Neg_Ni_inc_R1_74,C16_Neg_Ni_inc_R75_99,C16_Neg_Ni_inc_R100_149,C16_Neg_Ni_inc_R150_199,C16_Neg_Ni_inc_R200_224,C16_Neg_Ni_inc_R225_274,C16_Neg_Ni_inc_R275_349,C16_Neg_Ni_inc_R350_449,C16_Neg_Ni_inc_R450_549,C16_Neg_Ni_inc_R550_649,C16_Neg_Ni_inc_R650more,C16_Neg_Ni_inc_R_NS,C16_Neg_Ni_inc_R_Tot,C16_1_149_R1_74,C16_1_149_R75_99,C16_1_149_R100_149,C16_1_149_R150_199,C16_1_149_R200_224,C16_1_149_R225_274,C16_1_149_R275_349,C16_1_149_R350_449,C16_1_149_R450_549,C16_1_149_R550_649,C16_1_149_R650more,C16_1_149_R_NS,C16_1_149_R_Tot,C16_150_299_R1_74,C16_150_299_R75_99,C16_150_299_R100_149,C16_150_299_R150_199,C16_150_299_R200_224,C16_150_299_R225_274,C16_150_299_R275_349,C16_150_299_R350_449,C16_150_299_R450_549,C16_150_299_R550_649,C16_150_299_R650more,C16_150_299_R_NS,C16_150_299_R_Tot,C16_300_399_R1_74,C16_300_399_R75_99,C16_300_399_R100_149,C16_300_399_R150_199,C16_300_399_R200_224,C16_300_399_R225_274,C16_300_399_R275_349,C16_300_399_R350_449,C16_300_399_R450_549,C16_300_399_R550_649,C16_300_399_R650more,C16_300_399_R_NS,C16_300_399_R_Tot,C16_400_499_R1_74,C16_400_499_R75_99,C16_400_499_R100_149,C16_400_499_R150_199,C16_400_499_R200_224,C16_400_499_R225_274,C16_400_499_R275_349,C16_400_499_R350_449,C16_400_499_R450_549,C16_400_499_R550_649,C16_400_499_R650more,C16_400_499_R_NS,C16_400_499_R_Tot,C16_500_649_R1_74,C16_500_649_R75_99,C16_500_649_R100_149,C16_500_649_R150_199,C16_500_649_R200_224,C16_500_649_R225_274,C16_500_649_R275_349,C16_500_649_R350_449,C16_500_649_R450_549,C16_500_649_R550_649,C16_500_649_R650more,C16_500_649_R_NS,C16_500_649_R_Tot,C16_650_799_R1_74,C16_650_799_R75_99,C16_650_799_R100_149,C16_650_799_R150_199,C16_650_799_R200_224,C16_650_799_R225_274,C16_650_799_R275_349,C16_650_799_R350_449,C16_650_799_R450_549,C16_650_799_R550_649,C16_650_799_R650more,C16_650_799_R_NS,C16_650_799_R_Tot,C16_800_999_R1_74,C16_800_999_R75_99,C16_800_999_R100_149,C16_800_999_R150_199,C16_800_999_R200_224,C16_800_999_R225_274,C16_800_999_R275_349,C16_800_999_R350_449,C16_800_999_R450_549,C16_800_999_R550_649,C16_800_999_R650more,C16_800_999_R_NS,C16_800_999_R_Tot,C16_1000_1249_R1_74,C16_1000_1249_R75_99,C16_1000_1249_R100_149,C16_1000_1249_R150_199,C16_1000_1249_R200_224,C16_1000_1249_R225_274,C16_1000_1249_R275_349,C16_1000_1249_R350_449,C16_1000_1249_R450_549,C16_1000_1249_R550_649,C16_1000_1249_R650more,C16_1000_1249_R_NS,C16_1000_1249_R_Tot,C16_1250_1499_R1_74,C16_1250_1499_R75_99,C16_1250_1499_R100_149,C16_1250_1499_R150_199,C16_1250_1499_R200_224,C16_1250_1499_R225_274,C16_1250_1499_R275_349,C16_1250_1499_R350_449,C16_1250_1499_R450_549,C16_1250_1499_R550_649,C16_1250_1499_R650more,C16_1250_1499_R_NS,C16_1250_1499_R_Tot,C16_1500_1999_R1_74,C16_1500_1999_R75_99,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650more,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R1_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650more,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R1_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649
801011001,0,0,7,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,4,4,5,7,20,57,35,18,11,4,170,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,0,0,0,0,13,0,0,0,0,0,0,6,7,0,0,0,0,8,0,0,0,0,0,0,3,4,7,0,0,0,13,0,0,0,0,0,0,4,0,8,3,0,0,24,0,0,0,0,0,0,3,0,7,0
801011002,3,8,29,19,6,3,4,78,3,0,0,5,0,0,0,3,4,0,0,4,18,52,71,62,44,18,31,133,529,154,35,18,30,1181,0,0,4,7,0,0,9,30,14,6,3,4,75,0,0,0,4,0,0,3,0,0,0,0,0,19,10,0,14,4,0,0,5,4,0,4,0,4,44,3,4,21,3,0,0,7,6,0,0,0,4,60,4,11,17,11,4,0,10,11,3,0,0,6,75,4,0,12,7,5,0,9,12,3,0,0,0,61,0,4,3,7,7,3,20,18,9,4,0,6,79,0,5,0,6,6,0,35,37,9,6,0,0,100,0,0,0,8,3,6,66,83,11,4,0,0,175,0,0,0,0,3,4,64,94,13,4,0,0,186,0,0,0,5,9,3,87,169,21,8,5,5,310,0,0,0,0,3,0,69,149,27,3,5,7,255,0,0,0,0,0,0,19,78,18,9
801011003,0,0,18,41,15,9,7,91,0,0,0,0,0,0,0,0,7,0,0,4,15,0,6,6,13,16,32,69,361,279,85,39,26,927,0,0,0,5,0,0,7,0,5,8,4,0,28,0,0,0,0,0,0,6,7,0,0,0,0,10,0,0,0,0,0,0,5,7,0,0,0,0,13,0,0,0,0,0,0,3,3,0,0,0,0,12,0,0,5,0,0,8,4,8,8,0,3,0,33,0,0,0,0,0,0,8,9,0,0,0,0,27,0,0,0,3,4,6,32,15,3,0,0,0,70,0,0,0,0,0,10,28,21,7,7,3,5,76,0,0,0,5,0,8,57,40,15,0,0,3,138,0,0,0,3,0,3,57,58,18,9,3,0,146,0,0,4,4,0,5,72,74,27,6,4,0,194,0,0,0,6,0,4,51,82,27,15,9,3,190,0,0,0,0,0,8,10,51,33,10
801011004,0,9,12,0,0,0,3,26,0,0,0,0,0,0,0,4,0,0,0,3,6,10,39,52,20,13,14,53,141,9,0,0,17,374,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,0,0,0,11,0,5,12,0,0,0,0,0,0,0,0,4,26,0,3,7,4,0,0,3,3,0,0,0,0,30,0,0,9,3,0,0,0,6,0,0,0,3,24,0,0,11,13,4,3,0,4,0,0,0,0,34,0,0,7,4,0,3,3,6,0,0,0,0,26,0,0,6,4,0,5,9,21,0,0,0,0,42,6,0,3,0,0,0,4,14,0,0,0,0,31,0,0,0,0,0,0,9,30,7,0,0,4,38,0,0,0,0,0,0,0,18,3,0,0,5,29,0,0,0,0,0,0,0,3,4,0
801011005,0,0,7,9,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,3,8,16,15,15,14,14,30,161,47,9,3,8,344,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,11,0,11,5,0,0,0,0,0,0,0,0,0,16,0,4,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,4,0,3,6,3,0,0,0,0,18,0,0,0,0,0,0,5,6,0,0,0,0,16,0,0,0,0,0,0,3,16,0,0,0,0,23,0,0,0,0,0,0,6,25,10,0,0,0,41,0,0,0,0,0,0,3,23,4,0,0,0,38,0,0,0,0,0,0,0,16,6,3
801011006,3,0,6,9,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,8,12,22,40,25,25,21,34,127,122,19,3,13,447,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,8,0,0,3,0,0,0,0,0,0,0,14,0,0,6,5,0,0,0,0,0,0,0,0,24,0,5,3,3,3,3,0,0,0,0,0,4,24,0,0,3,6,0,0,0,4,0,0,0,0,18,0,0,0,0,5,0,5,3,4,0,0,0,20,0,0,0,4,0,6,0,4,6,0,0,0,24,0,0,0,0,0,8,3,21,5,0,0,0,39,0,0,0,4,0,6,4,23,20,0,0,0,61,0,0,0,0,0,0,0,28,26,5,0,0,62,0,0,0,0,0,0,4,17,23,0
801011007,0,4,15,8,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,4,8,13,11,28,19,13,16,38,152,69,13,9,12,390,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,0,0,3,0,0,0,0,0,14,0,3,9,0,0,0,0,3,0,0,0,5,15,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,4,4,0,0,0,7,0,0,0,3,24,0,0,4,7,0,4,3,4,0,0,0,0,30,0,0,3,3,0,0,5,14,4,0,0,0,30,0,0,5,3,0,0,5,16,3,0,0,0,39,0,0,0,0,0,0,4,27,7,0,0,0,45,0,0,0,0,0,0,9,33,9,5,0,0,55,0,0,0,0,0,0,0,15,9,3
801011008,4,4,18,5,7,0,0,41,0,0,0,0,0,0,0,0,0,0,0,3,9,19,57,73,47,13,19,61,256,53,20,4,34,666,0,0,0,0,3,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,10,4,3,0,0,0,0,0,0,3,29,0,10,20,0,0,0,0,0,0,0,0,0,33,0,8,21,10,0,0,0,8,0,0,0,3,56,4,3,10,16,0,0,0,3,0,0,0,3,41,0,0,5,11,0,0,8,7,5,0,0,0,41,0,0,3,4,0,3,3,24,0,0,0,0,46,0,0,0,6,0,3,12,28,4,0,0,6,59,0,0,0,6,0,0,4,23,0,5,0,0,42,0,0,0,6,0,0,11,44,14,0,0,0,77,0,0,0,0,0,0,6,48,13,0,0,0,68,0,0,0,0,0,0,0,20,11,0
801011009,0,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,16,6,12,6,8,61,43,9,3,11,174,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,4,3,0,0,0,0,13,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,0,0,3,0,0,9,3,0,5,3,24,0,0,0,0,0,0,0,6,7,0,0,0,20,0,0,0,0,0,0,0,10,8,0
801011010,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,5,3,6,13,19,24,0,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,0,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,7,0,4
801011011,0,0,10,7,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,15,3,13,16,16,91,57,14,8,9,243,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,8,0,4,0,4,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,3,5,7,7,0,0,0,21,0,0,0,0,0,0,4,13,4,0,0,0,26,0,0,3,3,0,0,8,18,3,9,0,0,43,0,0,0,0,0,0,0,13,10,5,4,0,30,0,0,0,0,0,0,0,4,3,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,6,9,10,12,15,8,3,17,82,64,31,6,6,14,268,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,3,0,0,0,0,0,14,0,0,0,0,0,0,4,4,0,0,0,0,8,0,0,7,0,0,0,3,0,0,0,0,0,20,0,0,6,0,0,0,9,0,0,0,0,0,15,0,0,4,0,3,0,4,0,0,0,0,0,16,0,0,0,0,0,5,7,9,0,0,0,0,17,0,0,0,0,0,3,12,0,0,0,0,0,20,0,0,0,0,0,0,10,11,5,0,0,0,26,0,0,0,0,0,9,19,11,4,0,0,0,44,0,0,0,0,0,0,9,14,0,4,0,0,34,0,0,0,0,0,0,0,9,3,0
801011014,0,0,9,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,7,17,24,18,8,14,39,98,31,3,0,6,270,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,4,0,0,0,3,0,0,0,0,0,0,8,0,3,3,0,5,0,0,0,0,0,0,4,13,0,5,16,0,0,0,0,0,0,0,0,0,23,0,0,6,3,0,0,4,0,0,0,0,0,18,0,0,5,3,0,4,0,0,0,0,0,0,18,0,0,0,0,4,3,5,7,0,0,0,0,20,0,0,0,3,0,0,0,12,4,0,0,0,23,0,0,0,0,0,4,3,10,0,0,0,0,18,0,0,0,0,0,3,6,15,8,0,0,0,34,0,0,0,0,0,0,0,8,5,0,0,0,17,0,0,0,0,0,0,0,4,9,0
801011015,0,3,13,0,0,0,4,34,0,0,0,0,0,0,0,0,0,0,0,0,0,13,41,41,42,17,28,81,218,27,3,0,10,534,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,5,3,5,0,3,0,0,3,0,0,0,0,15,0,7,11,3,0,0,5,6,0,0,0,0,32,0,3,16,6,0,3,0,3,0,0,0,0,40,0,0,3,0,3,6,9,4,0,0,0,0,32,0,0,9,4,8,8,5,9,0,0,0,3,48,0,0,0,8,5,5,10,13,4,0,0,4,41,0,0,5,0,0,5,20,23,4,0,0,3,65,0,0,0,4,0,3,17,31,3,0,0,0,58,3,0,0,0,0,3,18,33,10,0,0,0,62,0,0,0,3,0,4,19,31,11,0,0,0,64,0,0,0,0,0,0,3,15,4,0
801011016,0,3,20,15,8,4,6,54,4,0,0,0,0,0,0,4,0,0,0,4,14,14,49,30,16,10,6,39,199,125,30,22,26,570,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,6,4,0,0,0,3,0,0,0,0,18,0,6,17,4,0,0,0,0,0,0,0,0,31,3,8,12,0,3,0,0,4,0,0,3,4,31,0,0,6,6,3,0,0,6,0,0,0,0,19,0,4,0,0,0,0,7,5,7,0,0,3,28,0,0,3,0,0,0,3,6,8,0,0,0,27,0,0,6,0,0,5,4,9,9,0,3,4,33,0,0,0,0,0,0,0,15,12,4,0,0,42,0,0,4,0,0,0,5,26,22,4,3,0,57,0,0,0,0,0,3,0,24,27,7,0,0,68,0,0,0,0,0,0,0,16,22,4
801011017,0,5,9,3,0,0,0,27,0,0,0,0,0,0,0,4,0,0,0,0,5,6,20,27,8,10,12,28,112,30,0,0,8,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,9,0,0,3,0,0,0,0,0,0,15,0,0,3,4,0,0,0,4,0,0,0,0,13,0,0,9,10,0,0,0,3,0,0,0,0,17,0,0,0,0,4,0,0,8,0,0,0,0,15,0,0,0,0,0,5,0,9,0,0,0,0,15,0,0,4,0,0,0,0,15,3,0,0,0,28,0,0,0,0,0,5,0,12,3,0,0,0,25,0,0,0,0,0,5,0,23,4,5,0,0,31,0,0,0,0,0,0,5,8,5,0,0,0,24,0,0,0,0,0,4,0,3,4,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,0,0,4,11,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,4,10,11,10,14,14,6,16,21,154,63,15,4,10,336,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,12,0,0,0,4,4,3,0,8,0,0,0,0,20,0,0,0,9,0,3,4,13,5,0,0,0,34,0,0,0,0,0,0,3,19,0,0,0,0,25,0,0,0,3,0,3,4,27,5,0,0,4,50,0,0,0,0,3,3,3,22,7,0,0,3,53,0,0,0,0,0,3,3,68,17,0,0,0,104,0,0,0,0,3,0,4,38,12,0,0,0,67,0,0,0,0,0,0,3,21,14,0
801011020,0,3,14,7,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,0,0,17,32,30,23,14,17,43,121,62,11,3,17,397,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,4,0,0,0,0,0,0,0,0,0,21,3,5,10,5,0,0,0,0,0,0,0,0,25,3,6,13,4,0,0,4,5,0,0,0,0,35,0,0,5,6,0,0,5,3,4,0,0,0,19,0,0,3,7,0,6,12,0,0,0,0,0,25,0,0,0,4,5,4,3,4,4,0,0,0,21,0,0,0,0,3,3,11,13,0,0,0,0,30,0,0,0,0,0,0,13,10,4,0,0,0,35,0,5,0,0,0,3,13,18,8,0,4,0,50,0,0,0,4,0,0,9,30,13,3,0,0,58,0,0,0,0,0,0,4,9,16,0
801011021,0,0,7,4,5,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,6,11,16,15,11,4,10,8,62,28,17,9,11,203,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,4,11,0,0,8,3,0,0,0,0,0,0,0,0,14,0,3,5,0,0,0,4,0,0,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,8,3,0,0,0,25,0,0,0,0,0,0,0,10,6,3,0,0,25,0,0,0,0,0,0,0,6,6,0
801011022,3,0,13,5,0,0,0,28,0,0,3,0,0,0,0,0,0,0,0,0,8,4,23,22,8,12,8,19,88,28,10,5,6,231,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,6,3,0,0,0,3,0,0,0,0,0,16,0,6,9,5,0,0,0,0,0,0,0,6,32,0,0,3,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,4,4,4,0,0,0,18,0,0,0,0,0,0,0,4,5,0,0,0,8,0,0,0,0,0,3,6,8,3,0,0,0,24,0,0,0,0,0,0,4,8,4,0,0,0,15,0,0,0,0,0,0,4,10,3,0,0,0,27,0,0,0,0,0,0,0,14,12,0,0,0,30,0,0,0,0,0,0,0,5,3,3
801011023,0,4,15,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,5,9,6,19,19,22,12,20,47,182,52,3,10,14,397,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,4,8,0,0,3,4,0,0,0,0,0,0,0,0,16,0,3,0,3,0,0,0,3,0,0,0,4,20,0,0,3,0,0,0,5,5,0,0,0,0,21,0,0,4,4,5,6,0,9,0,0,0,0,21,0,0,4,0,0,5,0,4,0,0,0,9,27,0,0,0,5,0,5,11,15,0,0,0,0,33,0,0,6,0,0,3,11,9,4,0,0,0,34,0,0,0,6,0,3,10,29,5,0,0,0,50,0,0,0,0,0,4,7,41,8,0,0,0,63,0,0,0,0,0,0,3,27,6,0
801011024,0,0,14,5,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,6,9,37,25,23,10,26,56,119,26,3,5,10,351,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,0,4,0,0,0,0,0,0,0,0,12,4,0,9,3,0,4,0,0,0,0,0,4,25,0,7,11,0,0,0,0,0,0,0,0,0,16,0,0,3,3,4,0,6,5,0,0,0,0,23,0,0,8,5,3,3,4,8,0,0,0,0,31,0,0,0,8,0,5,6,11,0,0,0,0,30,0,0,0,0,0,6,9,11,0,0,0,0,32,0,0,0,0,0,3,6,16,0,0,0,0,31,0,0,0,0,0,0,13,26,0,0,0,0,46,0,0,0,0,0,0,9,20,6,0,0,0,38,0,0,0,0,0,0,0,12,8,0
801011025,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,25,20,4,11,6,48,23,5,0,12,181,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,0,0,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,13,0,0,3,3,0,0,0,0,0,0,0,0,15,0,0,6,3,4,0,0,7,0,0,0,0,17,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,3,0,3,0,4,0,0,0,0,16,0,0,0,0,0,0,5,0,9,0,0,0,13,0,0,0,0,0,0,0,20,5,0,0,0,25,0,0,0,0,0,0,0,12,3,0,0,0,19,0,0,0,0,0,0,0,5,8,3
801011026,0,0,0,4,6,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,12,28,34,24,3,3,118,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,3,0,5,0,0,0,0,0,12,0,0,0,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,3,5,4
801011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
