SA2_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
801011001,78,0,0,0,80,0,4,82,62,12,0,0,72,0,0,0,72,3,4,82,64,8,3,0,77,0,0,0,77,0,0,83,58,9,4,0,69,0,0,0,69,11,0,76,26,10,4,0,38,0,0,0,38,39,4,85,9,0,0,0,12,0,0,0,13,33,0,45,4,4,0,0,6,0,0,0,6,39,7,55,3,8,0,0,9,0,0,0,9,110,0,120,466,157,20,5,649,3,13,17,665,306,33,1003,0,27,0,0,28,0,5,5,37,30,5,68,28,34,4,4,66,0,3,4,71,10,6,89,31,14,5,0,47,0,0,0,47,4,0,57,26,22,6,0,55,0,0,0,54,10,4,67,27,28,11,0,66,0,0,0,66,10,4,79,27,30,6,0,64,0,4,4,67,6,6,81,46,22,4,0,71,0,0,0,71,12,8,86,62,29,3,3,95,0,0,0,95,7,6,111
801011002,195,9,3,7,209,20,12,238,105,19,11,5,132,3,4,3,140,30,12,183,82,21,3,0,105,6,0,8,108,21,4,139,59,16,5,0,80,0,5,4,84,21,8,114,40,12,3,0,54,3,3,8,64,30,3,97,18,10,0,0,27,0,0,0,28,36,3,63,6,9,0,0,11,0,0,0,11,58,4,73,0,4,0,0,4,0,0,0,4,160,4,172,1922,727,84,42,2775,101,68,171,2941,699,199,3844,18,43,4,4,67,5,4,11,78,40,21,137,147,102,11,0,254,8,9,14,268,78,45,396,221,60,10,0,296,5,5,10,304,68,40,412,129,38,15,0,186,8,5,10,193,44,29,262,61,25,9,0,100,4,0,3,105,25,14,136,46,17,5,0,71,0,0,0,69,18,4,93,33,11,8,0,52,0,3,3,51,19,8,80,29,15,0,0,47,0,0,0,48,14,3,68
801011003,173,6,0,5,173,12,12,199,129,20,3,0,152,0,0,3,152,13,7,171,96,11,0,0,104,4,0,4,106,9,0,114,67,7,0,0,82,8,0,8,85,17,12,106,41,18,4,0,65,4,0,4,63,37,0,107,17,11,3,0,35,0,0,0,36,65,4,99,12,10,0,0,22,0,0,0,22,81,10,105,4,3,0,0,8,0,0,3,14,147,14,170,1479,653,70,57,2261,64,72,137,2399,684,105,3192,30,95,15,3,141,3,21,28,168,93,78,339,172,246,40,5,457,3,25,29,490,190,197,873,270,68,21,3,363,8,7,14,371,59,53,488,123,32,15,0,171,4,0,6,175,42,21,240,85,27,12,0,128,0,5,3,134,19,12,168,49,32,5,0,85,0,0,0,89,17,5,109,70,20,3,4,96,3,0,5,102,13,5,121,76,21,9,0,100,3,0,7,105,20,3,132
801011004,85,8,0,8,88,11,4,104,67,7,9,0,81,10,0,10,90,7,4,106,50,8,5,3,72,0,0,0,73,14,0,86,38,6,0,0,45,0,0,0,48,17,3,61,19,4,0,0,24,0,0,0,30,32,0,58,14,8,0,0,23,0,0,0,23,40,0,65,4,9,6,0,10,0,0,0,10,35,6,48,0,3,0,0,4,0,0,0,4,60,5,67,570,152,32,19,773,24,11,41,814,293,53,1158,9,26,4,3,32,0,7,7,39,33,8,86,34,31,3,0,70,5,0,5,78,20,10,98,47,26,6,0,86,0,3,3,94,26,11,128,57,39,15,0,108,0,0,0,112,35,7,160,65,26,11,0,105,0,5,4,105,29,18,151,41,28,5,0,71,0,0,0,72,25,3,97,56,12,0,0,69,0,0,0,71,12,9,94,41,21,0,0,71,0,0,5,77,28,10,105
801011005,97,5,0,5,99,5,4,110,88,19,0,0,107,0,0,0,109,6,6,120,76,16,3,0,94,3,0,3,99,8,0,108,29,15,7,0,53,0,0,0,53,28,4,79,22,13,0,0,34,0,0,0,34,30,6,75,6,0,0,0,6,0,0,0,7,41,0,50,0,3,0,0,4,0,0,0,4,56,0,66,4,7,0,0,8,0,0,0,8,114,7,130,499,179,35,6,715,26,12,39,754,335,40,1128,7,28,0,0,35,0,4,3,43,19,3,63,36,28,6,0,62,0,0,4,72,18,0,86,44,27,0,0,67,0,0,0,71,17,8,90,65,17,5,0,98,0,0,0,103,18,3,125,49,54,11,0,115,0,0,0,116,22,3,134,75,29,5,0,107,0,3,4,110,13,0,118,42,30,3,0,85,0,0,5,83,6,0,89,44,31,0,5,76,4,0,3,77,11,0,95
801011006,279,0,0,0,278,17,6,300,206,28,7,7,240,0,0,0,245,14,8,271,197,28,11,0,239,8,0,8,244,10,9,269,137,15,5,0,162,5,0,5,170,29,4,204,72,18,4,0,95,0,0,0,97,57,4,159,28,9,0,0,31,0,3,3,39,63,0,100,4,3,0,0,9,0,0,0,11,78,3,97,0,0,0,0,0,0,0,0,0,100,4,108,1539,363,75,24,2003,48,42,87,2087,559,85,2730,28,74,5,0,109,0,12,15,129,95,6,224,104,54,9,0,160,0,6,9,172,33,6,210,180,55,28,0,261,4,8,11,274,46,4,325,185,89,26,3,303,4,0,4,304,74,10,388,171,106,20,5,299,0,8,4,306,63,14,381,159,77,17,0,250,0,0,6,259,44,5,305,133,47,8,0,190,0,4,6,198,29,3,228,104,41,12,0,156,4,0,4,158,30,5,193
801011007,175,0,0,4,177,8,6,191,155,25,5,0,187,4,0,5,193,14,6,211,119,22,4,0,146,0,0,0,147,17,3,169,85,11,8,4,108,9,0,9,115,40,6,156,44,19,6,0,72,0,0,0,75,51,0,129,32,24,3,0,59,0,0,0,64,80,3,142,8,10,0,0,15,0,0,0,15,124,0,140,0,3,0,0,5,0,0,0,3,104,0,109,1123,336,50,18,1530,41,30,67,1600,575,55,2232,27,67,5,4,99,6,9,16,110,63,0,174,79,60,9,3,150,0,0,6,158,22,7,184,117,29,17,0,169,0,0,0,173,27,0,200,94,46,19,0,155,0,0,6,163,31,6,199,90,82,10,4,189,3,3,3,195,37,3,232,99,56,13,5,175,4,0,7,179,33,4,212,88,44,12,4,151,0,0,0,148,23,5,176,106,48,13,0,162,0,0,0,162,31,4,204
801011008,131,0,0,0,132,17,6,156,96,16,0,0,118,0,0,0,121,18,8,147,80,14,4,0,96,4,4,5,102,20,4,126,86,12,3,0,102,5,3,6,108,25,0,143,61,21,5,0,83,4,0,4,93,80,4,174,14,15,4,0,30,0,0,0,30,102,3,140,4,5,0,0,7,0,0,0,7,87,0,95,0,3,3,0,9,0,0,0,9,137,5,147,868,284,34,23,1206,40,12,56,1260,599,63,1919,12,85,0,0,96,0,10,10,103,71,3,178,62,71,16,0,143,6,3,11,155,32,4,195,108,29,10,0,145,6,4,13,152,32,3,196,76,39,14,0,130,3,0,8,131,39,7,174,59,54,8,0,130,0,4,9,128,46,9,180,75,52,11,0,137,3,5,7,145,28,3,178,126,50,5,0,181,4,0,4,184,27,0,212,96,59,16,0,172,4,3,3,180,30,3,211
801011009,120,0,3,7,124,6,0,133,98,16,7,3,119,3,0,3,125,9,3,136,83,13,3,5,98,0,0,0,100,6,3,106,48,10,4,0,65,4,0,6,69,20,5,96,39,18,7,0,63,0,0,0,67,40,0,109,18,6,0,0,25,0,0,0,32,45,0,76,3,3,0,0,7,0,0,0,7,80,5,88,3,3,0,0,5,0,0,0,5,92,5,101,755,189,33,14,986,19,30,48,1036,382,47,1465,7,48,3,0,63,0,4,4,62,34,14,110,48,32,4,0,84,0,0,0,84,15,0,104,62,19,5,4,91,0,0,0,91,9,10,111,50,29,9,0,90,0,0,4,95,21,9,118,56,41,12,0,105,0,3,3,113,25,6,143,63,38,4,0,104,0,3,3,111,15,6,126,45,42,4,3,96,5,0,4,95,7,8,115,73,31,0,0,111,3,0,3,111,19,14,146
801011010,83,0,0,0,78,4,5,88,58,7,0,0,66,0,0,0,69,3,0,74,56,5,4,0,63,0,0,0,67,0,0,66,36,11,3,0,48,0,0,0,50,13,0,65,23,3,3,0,29,3,0,3,32,22,0,55,21,3,0,0,21,0,0,0,21,49,0,69,0,10,0,0,11,0,0,0,11,73,3,86,0,3,0,0,3,0,0,0,3,56,0,60,408,120,20,9,559,10,12,22,584,281,17,878,8,26,0,6,38,0,3,3,43,29,0,74,29,24,0,0,54,3,0,4,62,5,0,64,24,13,6,0,39,3,0,3,43,8,0,57,28,20,11,0,57,0,0,0,61,13,0,78,34,31,4,0,67,0,0,0,65,10,0,77,24,29,0,0,52,0,0,0,52,9,3,69,38,17,3,0,55,0,0,0,55,8,0,65,36,15,5,0,58,0,0,0,61,12,0,69
801011011,133,3,0,3,133,14,3,150,69,9,4,0,84,0,0,0,84,4,4,93,59,14,0,0,74,4,0,4,81,9,6,97,54,8,5,0,65,0,0,0,64,16,4,83,28,7,4,0,34,0,0,0,38,44,4,85,9,14,3,0,24,0,0,0,24,64,0,91,9,3,0,0,13,0,0,0,13,83,5,99,0,3,0,0,5,0,0,0,5,88,4,98,638,175,27,10,848,23,8,33,883,393,41,1318,11,28,0,0,42,0,3,3,48,33,0,80,65,45,8,0,110,3,0,10,117,31,0,146,55,22,7,0,87,7,0,4,89,19,0,111,62,37,14,0,113,0,4,0,117,24,0,136,53,28,4,0,89,0,0,3,89,34,3,125,66,28,3,0,95,0,0,0,101,8,0,107,54,32,4,0,83,0,0,3,90,14,0,104,73,28,9,4,107,0,0,0,107,17,3,130
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,80,0,0,0,80,4,5,91,78,14,5,3,99,3,0,4,100,15,0,121,64,11,4,0,78,0,0,0,76,11,4,93,46,8,0,0,63,0,0,0,57,18,0,79,28,10,0,0,35,0,0,5,44,30,0,75,15,10,0,0,24,0,0,0,28,43,0,72,0,10,0,0,9,0,0,0,9,81,3,92,0,13,0,0,10,0,0,0,10,134,6,149,505,220,22,9,757,21,17,36,789,402,46,1242,7,33,8,3,48,0,3,4,55,31,4,84,35,29,0,4,63,0,3,4,70,14,4,86,54,12,7,0,68,0,4,3,70,13,6,91,33,22,3,0,61,5,0,5,65,13,5,84,35,26,8,6,75,0,0,0,75,18,0,91,49,24,4,5,86,0,0,0,86,11,0,100,52,21,4,0,74,0,0,4,75,10,0,93,52,32,0,0,78,0,0,0,82,14,5,98
801011014,110,0,0,0,110,11,8,117,85,14,4,0,109,3,0,3,109,12,7,128,69,14,4,0,86,0,0,5,91,14,0,104,52,16,4,0,76,0,0,0,76,25,0,96,25,10,3,0,42,4,0,4,42,31,5,75,12,4,0,0,20,0,0,0,20,31,0,57,0,0,0,0,3,0,0,0,6,60,0,69,0,0,0,0,5,0,0,0,5,126,0,135,621,184,36,11,855,19,20,37,893,394,40,1320,10,37,6,0,50,0,9,9,58,44,3,104,30,15,0,0,48,4,3,4,54,16,0,72,69,27,8,0,107,0,6,6,106,21,4,124,37,33,14,0,83,0,6,5,93,21,0,115,57,43,13,0,112,4,0,10,123,28,0,147,44,32,4,0,80,3,3,3,83,15,0,107,56,21,4,0,83,0,0,0,83,14,3,95,51,17,6,0,75,0,0,0,75,12,4,85
801011015,183,3,5,4,186,12,6,199,124,21,4,0,150,0,3,3,151,12,6,171,101,14,8,0,121,8,4,12,132,22,11,155,56,22,3,0,84,0,0,6,83,31,0,121,39,12,0,0,55,0,0,0,54,39,0,90,6,17,0,0,31,0,0,0,31,68,0,106,9,6,0,0,13,0,0,0,17,104,4,128,0,0,0,0,0,0,0,0,0,169,9,180,1082,289,51,16,1439,36,41,75,1515,574,67,2162,16,51,5,4,77,0,10,9,88,40,10,143,80,33,3,0,121,6,0,6,120,26,10,157,109,28,18,0,151,3,0,3,158,37,4,196,101,60,17,0,179,3,5,9,192,43,13,247,98,51,17,0,158,4,0,3,163,36,4,207,64,46,12,0,118,0,0,0,121,27,0,150,64,31,8,0,100,0,0,4,101,20,9,129,64,26,6,0,101,0,0,0,101,21,0,113
801011016,251,0,0,0,250,11,6,268,169,35,6,3,209,0,0,0,214,22,11,236,154,23,6,8,196,5,0,6,195,24,7,228,112,35,5,0,155,0,3,5,160,47,3,207,62,17,9,0,92,4,0,4,91,95,6,196,29,26,0,5,57,0,0,0,68,171,11,246,16,13,3,0,31,0,0,0,31,183,9,220,6,9,0,0,15,0,0,0,13,232,11,254,1409,497,65,33,2003,41,52,96,2093,1000,113,3203,23,81,10,0,114,0,14,12,125,86,9,217,127,105,8,7,247,9,7,10,251,65,6,327,118,55,18,0,194,0,6,3,198,33,8,238,102,81,24,0,203,0,0,3,207,36,8,248,72,81,19,10,189,0,4,4,192,32,5,230,93,90,5,4,198,0,6,4,203,32,4,234,122,81,10,4,219,0,0,3,221,36,6,258,167,72,4,6,249,8,0,8,252,39,10,296
801011017,119,0,0,0,119,8,12,133,97,16,10,0,120,3,0,3,127,14,7,145,82,19,0,0,101,0,0,0,104,13,0,118,47,10,0,0,67,0,0,0,61,11,7,86,26,13,0,0,40,0,0,3,45,39,3,86,14,17,0,0,32,0,0,0,33,51,0,77,0,3,0,0,10,0,0,0,10,84,0,85,0,9,0,0,9,0,0,0,9,94,0,102,684,212,34,8,939,24,12,41,973,396,61,1436,10,41,7,0,58,0,9,8,69,32,8,107,58,26,0,0,84,0,0,7,92,26,0,122,66,25,7,0,98,0,0,0,95,20,0,121,50,37,16,0,106,0,0,7,113,24,0,132,56,58,14,0,123,3,4,3,128,26,6,157,49,45,3,0,93,3,0,4,95,15,3,114,77,22,0,7,104,0,0,0,108,17,0,125,63,31,3,4,103,0,0,0,103,20,8,123
801011018,82,0,0,0,79,0,8,90,37,7,0,0,43,0,0,0,51,3,3,52,28,3,0,0,25,0,0,0,25,0,0,28,15,3,0,0,22,0,0,0,21,6,0,25,8,0,0,0,8,0,0,0,6,11,0,16,0,0,0,0,6,0,0,0,4,5,0,13,0,0,0,0,0,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,8,0,3,692,237,31,22,979,12,16,32,1008,134,74,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,275,8,0,7,280,24,9,313,178,29,5,3,214,7,0,7,215,13,4,235,124,22,9,0,158,4,6,4,165,16,3,184,75,16,6,0,90,0,6,9,96,20,4,120,51,16,11,0,74,4,7,7,81,52,0,139,28,12,3,0,38,5,0,5,41,78,4,119,6,12,0,0,18,0,0,0,18,95,0,110,0,3,0,0,3,0,0,0,3,97,7,106,1431,371,74,21,1896,41,32,65,1963,537,72,2580,24,54,4,3,78,4,12,17,95,44,4,144,136,41,6,0,186,5,5,11,201,24,7,226,212,65,19,0,299,8,0,8,305,50,8,364,158,74,28,6,262,3,4,5,268,55,11,332,109,61,13,5,186,0,4,6,196,31,5,227,79,39,3,0,123,0,3,4,124,22,8,159,79,29,4,0,110,0,0,0,111,25,3,136,84,32,9,0,124,0,0,0,125,17,3,149
801011020,96,0,0,0,102,8,0,118,60,12,4,0,73,0,0,0,77,9,7,96,60,0,0,0,66,0,0,0,66,10,4,80,46,12,3,0,53,3,0,6,60,28,5,88,10,10,5,0,22,0,5,5,29,38,15,78,15,7,0,0,17,0,0,0,21,32,0,57,3,6,0,0,5,0,0,0,8,49,4,63,4,3,0,5,8,0,0,0,8,116,5,131,559,182,31,10,784,23,21,44,828,367,91,1288,8,25,0,0,36,0,8,9,47,23,3,75,44,35,3,0,83,3,0,6,89,32,9,125,67,13,5,0,91,0,3,3,86,24,6,123,36,23,7,0,69,0,0,5,68,20,8,92,31,33,3,0,67,0,0,0,66,22,0,90,51,30,3,0,92,0,0,0,92,14,3,109,43,13,0,0,63,0,3,3,65,16,0,79,35,17,8,0,58,0,5,4,68,19,0,90
801011021,70,0,0,0,74,0,3,83,60,11,0,0,69,0,0,0,69,6,0,74,71,9,0,0,86,0,0,0,89,4,4,93,58,10,0,0,74,3,0,6,76,23,6,107,31,13,4,0,43,5,0,5,44,36,0,81,17,6,3,0,29,0,0,0,29,63,0,93,8,6,0,0,16,0,0,0,16,61,0,79,0,4,0,0,6,0,0,0,7,76,0,86,533,137,22,11,701,23,20,36,739,329,33,1106,7,30,5,0,45,0,0,0,45,54,0,105,37,32,3,6,76,3,0,7,79,18,3,103,38,16,4,0,51,0,0,0,55,6,0,67,35,25,8,0,69,3,0,3,75,18,6,90,36,24,0,0,61,0,3,4,66,15,0,77,58,33,4,0,93,0,0,4,98,15,0,109,54,28,5,0,86,0,0,4,87,15,0,101,67,35,7,0,110,0,0,0,109,18,5,131
801011022,90,5,0,5,94,10,4,113,82,8,6,0,97,0,0,5,101,4,3,110,76,14,4,0,96,4,0,7,103,9,5,116,50,17,4,0,71,0,0,0,74,19,3,99,23,13,5,0,34,0,0,0,37,32,3,72,18,12,4,0,32,0,0,0,33,36,0,71,9,11,0,0,16,0,0,0,16,62,4,79,0,3,0,0,3,0,0,0,3,113,3,124,609,178,44,10,835,20,20,41,878,377,46,1296,11,33,4,0,50,0,0,3,51,39,4,97,44,34,6,4,84,0,3,3,90,17,0,102,54,22,7,0,89,0,0,0,91,13,0,109,45,27,13,0,88,6,0,5,90,11,0,110,49,42,7,0,101,0,3,3,107,26,3,135,47,41,0,0,83,5,0,5,87,22,6,103,57,22,0,4,75,0,0,0,75,7,10,94,66,18,4,0,91,0,0,0,95,24,5,124
801011023,81,3,0,5,84,6,5,100,46,8,0,3,55,0,0,5,62,3,0,66,48,13,3,0,62,0,0,3,66,14,0,81,24,8,0,0,35,0,0,0,35,13,4,53,25,14,3,0,32,0,0,0,36,23,5,64,0,4,0,0,9,0,0,0,9,34,0,43,7,0,0,0,5,0,0,0,5,31,10,53,0,0,0,0,7,0,0,0,7,167,29,201,480,177,23,17,700,19,11,34,733,360,95,1192,8,19,4,0,30,0,7,8,39,23,3,67,40,40,4,0,91,0,3,4,90,16,3,109,57,28,10,0,91,4,6,10,100,18,3,118,57,24,11,0,94,0,0,8,99,17,3,119,52,24,9,0,88,0,4,4,91,18,6,109,41,22,9,5,71,0,0,0,71,17,5,90,36,15,3,0,56,0,0,0,56,9,5,71,42,17,0,0,54,0,0,0,54,14,0,71
801011024,87,3,0,3,98,12,4,105,72,17,0,3,88,3,0,4,90,8,4,108,53,4,0,0,65,0,0,0,65,10,6,80,37,10,0,0,44,5,0,5,46,20,3,75,16,4,9,0,23,0,0,0,29,29,0,64,10,3,0,0,16,0,0,0,11,33,0,46,0,3,0,0,3,0,0,0,3,51,0,58,0,0,0,0,5,0,0,0,5,80,3,90,552,190,21,16,781,29,11,41,824,318,61,1196,12,31,0,0,41,5,4,6,44,34,5,92,49,26,4,3,82,0,0,0,83,18,8,112,59,24,7,3,90,0,0,0,94,14,3,108,55,29,16,0,102,6,0,3,99,22,0,121,43,32,4,3,82,0,0,0,82,20,0,99,45,30,5,0,81,0,3,3,80,21,7,108,50,16,4,0,72,0,0,0,71,19,4,92,34,22,0,0,58,0,0,0,58,19,0,73
801011025,92,5,0,5,92,6,0,100,72,9,0,0,86,0,0,0,87,11,7,102,50,3,3,0,53,4,0,4,59,3,0,62,40,8,0,0,48,3,0,3,54,8,4,64,20,3,3,0,27,0,0,5,28,22,0,53,9,10,0,0,18,0,0,0,20,30,0,52,10,4,0,0,15,0,0,0,15,55,4,76,0,0,0,0,4,0,0,0,4,73,0,74,476,134,31,7,647,20,17,35,686,280,35,998,6,36,0,4,44,5,3,5,57,34,0,92,31,26,3,6,61,3,0,8,69,8,4,78,43,12,8,0,66,0,0,3,69,17,3,87,42,22,11,0,74,0,0,0,74,19,0,96,35,35,0,0,70,0,0,0,73,14,7,99,42,29,3,0,69,0,0,0,74,11,0,86,49,21,8,0,80,0,0,0,77,10,9,91,33,20,4,0,57,0,0,0,59,7,0,71
801011026,78,0,0,0,77,5,0,88,67,14,0,0,78,4,0,4,84,4,0,91,87,10,3,0,104,0,0,0,104,8,3,115,54,11,0,0,64,0,0,0,63,12,0,76,30,15,0,0,42,0,0,0,45,28,5,74,17,5,0,0,18,0,0,0,18,35,4,52,0,7,0,0,10,0,0,0,12,50,6,64,0,4,0,0,7,0,0,0,7,136,5,146,495,211,21,9,730,12,15,28,759,348,30,1132,4,31,0,0,47,0,4,12,54,29,0,82,30,25,6,0,58,0,0,0,63,6,3,75,28,14,0,4,50,3,0,3,53,4,5,63,19,16,5,0,40,0,0,0,41,14,4,61,39,38,9,0,89,0,0,0,87,17,0,106,35,28,0,0,66,0,0,0,66,23,4,91,48,21,0,0,72,0,0,5,69,7,0,83,50,24,0,0,84,0,0,0,81,7,0,93
