SA2_CODE_2021,C11_1_74_CF_NC,C11_1_74_CF_Cu15DS_,C11_1_74_CF_CU15_NDS,C11_1_74_CF_NCU15_DS,C11_1_74_CF_NDCO,C11_1_74_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_Tot,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Tot,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_Tot,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_Tot,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_Tot,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_Tot,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_Tot,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_Tot,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_Tot,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_Tot,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_Tot,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_Tot,C11_950over_CF_NC,C11_950over_CF_Cu15DS_,C11_950over_CF_CU15_NDS,C11_950over_CF_NCU15_DS,C11_950over_CF_NDCO,C11_950over_Tot,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_Tot,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_Tot,C16_1_74_CF_NC,C16_1_74_CF_Cu15DS_,C16_1_74_CF_CU15_NDS,C16_1_74_CF_NCU15_DS,C16_1_74_CF_NDCO,C16_1_74_Tot,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_Tot,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_Tot,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_Tot,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_Tot,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_Tot,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_Tot,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_Tot,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_Tot,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_Tot,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_Tot,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_Tot,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_Tot,C16_950over_CF_NC,C16_950over_CF_Cu15DS_,C16_950over_CF_CU15_NDS,C16_950over_CF_NCU15_DS,C16_950over_CF_NDCO,C16_950over_Tot,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_Tot,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_Tot,C21_1_74_CF_NC,C21_1_74_CF_Cu15DS_,C21_1_74_CF_CU15_NDS,C21_1_74_CF_NCU15_DS,C21_1_74_CF_NDCO,C21_1_74_Tot,C21_75_99_CF_NC,C21_75_99_CF_Cu15DS_
801011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,4,4,0,3,0,0,6,19,0,9,0,0,27,12,0,8,0,0,20,0,0,9,0,0,12,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,34,3,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,11,5,0,5,0,0,16,5,0,18,0,0,30,0,0,3,0,0,11,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5,44,0,4,77,0,0,0,0,0,0,0,0
801011002,6,0,0,0,0,10,0,0,3,0,0,7,7,0,3,0,0,16,9,0,4,0,0,11,0,0,3,0,0,3,3,0,5,0,0,7,40,0,15,0,0,57,196,0,56,7,3,266,47,0,11,3,0,64,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,5,328,8,104,10,6,457,0,0,0,0,0,0,0,0,5,0,0,3,5,0,3,0,0,10,8,3,0,0,4,10,0,0,3,0,0,4,5,0,0,0,0,5,137,0,41,0,0,180,288,0,110,4,10,411,64,4,20,0,0,93,24,0,15,0,0,38,6,0,0,0,0,8,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,543,6,206,6,12,770,3,0,0,0,0,3,0,0
801011003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,9,0,0,8,9,0,17,0,0,23,23,0,25,4,0,50,135,0,31,0,0,172,74,0,36,3,3,113,12,0,15,0,0,34,0,0,4,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,3,14,0,3,0,0,17,267,12,144,7,3,438,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,15,0,6,0,0,31,122,0,51,0,3,177,150,0,43,0,0,197,61,0,31,10,0,104,24,0,16,5,0,42,4,0,0,0,0,7,7,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,0,7,0,5,0,0,15,397,7,161,17,10,594,0,0,0,0,0,0,0,0
801011004,3,0,0,0,0,3,0,0,3,0,0,3,4,0,9,0,3,18,7,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,0,5,6,0,13,0,0,19,27,4,42,4,7,80,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,9,70,5,15,155,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,4,9,0,6,0,3,15,0,0,0,0,0,3,0,0,4,0,0,4,3,0,4,0,0,15,31,0,23,3,7,60,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,50,0,61,7,9,127,0,0,0,0,0,0,0,0
801011005,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,4,0,0,0,0,5,4,0,5,0,0,7,3,0,0,0,0,5,4,0,4,0,0,8,42,4,37,5,0,87,13,0,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,78,8,64,5,3,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,8,0,0,0,0,0,0,4,0,0,0,0,5,10,0,10,0,0,18,38,0,19,3,3,68,16,0,15,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,76,0,46,5,8,131,0,0,0,0,0,0,0,0
801011006,5,0,0,0,0,5,0,0,0,0,0,0,0,6,3,0,0,5,3,3,4,3,0,15,6,3,9,0,0,15,4,5,8,0,0,18,8,0,8,0,0,11,28,4,42,8,4,73,38,7,30,6,0,83,0,0,7,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,23,113,15,15,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,3,0,16,0,0,0,0,0,7,6,3,6,0,0,17,9,0,6,0,0,11,34,6,36,0,0,80,25,5,45,6,7,90,5,5,10,0,4,20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,10,82,22,118,15,9,249,0,0,0,0,0,0,0,0
801011007,0,0,3,0,0,3,0,0,0,0,0,0,4,0,5,0,3,11,0,0,0,0,3,9,4,0,4,0,0,8,0,0,0,0,0,0,7,3,6,0,0,17,38,8,31,0,0,80,16,3,20,0,0,43,6,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,69,19,80,8,13,182,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,0,5,0,0,9,0,0,0,0,0,4,6,0,5,0,0,9,8,0,8,0,0,17,38,0,39,0,3,88,13,5,21,0,4,39,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,85,11,71,4,6,181,0,0,0,0,0,0,0,0
801011008,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,29,8,0,3,0,0,12,4,0,5,0,0,9,0,0,9,0,0,9,14,0,11,0,0,23,72,3,54,6,10,146,9,3,13,3,0,30,4,0,6,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,133,20,104,18,19,282,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,10,0,0,0,0,21,0,0,0,0,0,7,0,0,0,0,0,3,17,0,15,0,0,28,60,6,59,5,4,137,15,4,14,4,0,41,0,0,0,0,4,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,11,121,15,104,10,15,271,3,0,0,0,0,6,0,0
801011009,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,0,4,0,3,0,0,0,4,5,0,0,0,0,6,4,0,4,0,0,6,15,6,7,0,4,34,12,3,8,3,0,28,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,14,32,4,9,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,0,4,6,0,12,0,0,22,8,3,21,3,0,35,3,0,0,3,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,40,5,4,90,0,0,0,0,0,0,0,0
801011010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,11,0,4,9,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,18,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,4,0,0,15,6,0,0,0,0,5,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,9,0,4,36,0,0,0,0,0,0,0,0
801011011,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,10,0,0,5,0,0,7,23,0,19,0,6,47,18,0,15,0,5,34,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,7,49,4,43,5,12,116,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,6,0,3,0,0,11,17,0,22,0,3,38,14,0,21,3,0,35,7,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,54,5,5,119,0,0,0,0,0,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,18,3,17,0,4,36,18,0,12,0,0,38,13,0,6,0,0,16,0,4,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,60,10,42,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,16,0,21,0,0,40,14,4,14,0,0,37,0,0,6,0,0,15,0,3,5,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,58,0,5,119,0,0,0,0,0,0,0,0
801011014,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,0,7,0,0,16,23,3,22,0,5,57,9,3,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10,50,3,8,119,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,7,4,0,5,0,0,12,4,0,0,0,0,5,4,0,0,0,0,3,4,0,6,0,0,7,14,3,17,0,0,36,10,4,5,0,0,20,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,49,7,34,0,0,91,0,0,0,0,0,0,0,0
801011015,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,12,4,5,0,0,3,14,4,0,5,0,0,9,5,0,3,0,0,16,12,0,17,0,0,27,61,4,44,3,5,124,7,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,104,11,89,3,9,218,6,0,0,0,0,3,0,0,0,0,0,0,5,0,4,0,0,7,7,0,5,0,0,11,4,0,4,0,0,0,5,0,3,0,0,8,26,0,19,0,0,49,50,4,39,0,5,93,11,0,17,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,106,7,99,5,7,220,0,0,0,0,0,0,0,0
801011016,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,7,4,0,3,0,0,3,0,0,0,0,0,5,12,0,9,0,5,21,55,4,45,4,10,120,16,0,27,3,0,53,5,0,5,0,0,16,3,0,0,0,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,116,14,98,16,17,253,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,4,0,0,0,0,9,5,0,0,0,0,7,7,0,0,0,0,5,6,0,3,0,0,12,33,4,47,7,7,97,23,11,57,6,8,97,0,7,13,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,92,17,132,10,14,268,0,0,0,0,0,0,0,0
801011017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,27,5,37,4,0,72,7,0,10,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,8,61,5,5,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,3,0,0,0,0,3,3,0,0,0,0,8,8,0,0,0,0,6,20,0,33,5,3,58,7,3,15,0,0,28,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41,9,57,8,11,119,0,0,0,0,0,0,0,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0
801011019,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,3,0,3,0,0,4,0,3,3,0,0,8,0,0,7,0,0,13,53,6,37,0,4,101,7,0,13,3,0,25,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,11,64,13,3,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,4,0,4,15,3,0,3,0,0,6,0,0,3,0,0,6,11,0,4,0,0,17,77,4,76,0,0,163,16,0,26,0,8,47,3,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,7,119,9,129,7,16,275,0,0,0,0,0,0,0,0
801011020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,4,0,0,0,0,5,3,0,0,0,0,6,6,0,10,0,4,20,32,4,24,0,0,64,6,6,15,0,0,31,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,76,11,59,3,6,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,0,0,0,6,4,0,0,0,3,8,4,0,0,0,5,11,18,4,9,0,0,26,15,6,33,0,0,56,13,0,24,0,0,38,0,0,7,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,16,72,0,3,157,3,0,0,0,0,3,0,0
801011021,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,12,4,17,4,0,35,3,0,12,0,0,21,4,3,5,5,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,37,6,7,90,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,9,5,13,0,5,24,10,5,13,0,3,24,0,0,3,0,0,8,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,11,31,3,5,96,0,0,0,0,0,0,0,0
801011022,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,0,0,9,29,0,12,6,3,48,5,0,13,0,0,17,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,44,7,6,103,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,11,0,5,0,0,14,17,3,5,0,7,36,6,0,4,3,0,20,5,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,11,29,5,7,96,0,0,0,0,0,0,0,0
801011023,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,9,6,0,4,0,0,7,6,0,3,0,0,11,4,0,5,0,0,12,16,0,9,0,0,21,42,7,43,5,5,97,9,4,13,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,85,12,81,9,12,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,3,0,0,9,0,0,0,0,0,7,3,0,4,0,0,5,4,0,19,6,0,25,49,4,38,5,0,98,8,0,16,3,3,30,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,80,3,86,6,8,186,0,0,0,0,0,0,0,0
801011024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,0,4,3,0,3,0,0,10,11,0,10,0,0,26,34,3,30,3,0,68,7,0,7,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,62,9,63,4,10,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,4,5,0,0,0,0,7,3,0,3,0,0,7,18,0,11,0,0,29,32,4,34,4,3,74,0,3,5,0,5,18,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,4,68,9,12,153,0,0,0,0,0,0,0,0
801011025,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,3,0,0,0,0,5,3,0,0,0,0,6,4,5,0,0,0,6,0,0,3,0,0,6,12,0,13,0,0,24,8,0,9,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,4,29,8,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,0,0,5,0,0,3,0,0,0,13,0,9,0,0,26,6,0,14,0,0,18,3,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9,31,3,4,75,0,0,0,0,0,0,0,0
801011026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,7,6,0,5,0,0,17,11,0,5,0,0,13,5,0,6,0,0,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,28,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,0,5,4,0,15,10,0,15,0,0,21,4,0,8,0,0,16,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,30,8,0,62,0,0,0,0,0,0,0,0
