SA2_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
801011001,96,625,3,832,0,0,0,3,0,3,151,3,10,0,0,163,15,4,0,0,0,17,11,6,4,11,0,26,172,95,106,543,9,922,10,0,0,3,0,7,4,0,0,14,0,21,41,7,6,65,0,119,8,4,0,0,0,11,6,0,4,3,0,15,36,8,0,0,0,43,40,40,25,276,8,386,40,6,7,28,4,76,17,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,4,3,0,3,0,0,6,14,3,5,12,0,43,5,3,0,4,0,15,0,0,0,0,0,0,46,28,29,200,4,305,0,0,0,0,0,6,0,0,4,0,0,4,4,0,0,3,0,8,18,0,0,0,0,18,14,0,0,0,0,21,7,3,5,3,0,22,160,15,22,37,0,238,0,5,3,8,71,80,690,192,181,1232,90,2397,21,143,127,645
801011002,139,926,11,1274,0,0,0,11,0,12,1162,11,3,7,4,1186,7,6,3,3,0,23,26,13,5,20,0,59,280,168,135,885,16,1480,129,0,19,0,0,151,10,8,0,12,0,30,65,18,25,135,0,236,17,14,0,17,0,38,10,0,0,8,0,17,474,0,4,0,0,477,81,47,40,464,3,641,43,25,10,59,0,137,112,0,3,0,0,119,9,0,0,5,0,17,6,0,0,0,0,9,0,4,0,12,0,18,12,3,0,0,0,13,11,4,8,3,0,29,48,10,3,12,0,79,23,5,4,0,0,29,13,0,0,0,0,11,90,48,37,313,3,493,19,0,0,0,0,20,17,0,0,0,0,17,33,3,5,4,6,47,43,0,0,0,0,42,129,0,0,0,0,134,9,3,3,19,0,33,931,55,47,61,5,1102,33,0,6,41,545,628,3474,343,276,1973,590,6651,79,200,228,1172
801011003,206,1270,18,1715,0,0,0,12,0,8,1134,8,19,10,3,1179,28,0,4,9,0,43,32,7,11,36,0,84,307,164,161,1155,19,1797,131,0,9,0,0,140,22,6,0,16,0,38,56,10,20,159,0,254,25,9,5,25,0,59,10,6,0,4,0,13,292,5,0,0,3,300,82,51,56,506,3,696,52,26,10,98,0,197,119,0,0,0,0,120,18,0,0,3,0,24,16,0,0,0,0,18,3,0,5,7,0,18,4,9,0,0,0,8,25,4,8,0,0,43,39,9,4,21,0,71,25,6,3,8,0,33,8,0,0,0,0,12,80,39,48,385,10,562,22,0,0,6,0,30,22,4,0,0,0,25,28,0,0,8,0,45,69,0,3,0,0,70,101,0,4,0,0,110,14,0,0,33,0,57,772,65,71,50,9,961,19,10,0,21,487,544,3172,358,361,2565,538,6996,76,245,223,1463
801011004,103,857,20,1129,0,0,0,16,0,16,36,0,5,4,0,44,12,0,0,5,6,18,23,11,3,16,0,52,159,117,96,714,10,1103,63,0,13,0,0,85,7,0,0,4,0,14,41,20,10,86,0,149,13,4,0,4,0,17,9,0,0,0,0,9,15,0,0,0,0,16,30,19,17,291,0,359,46,10,8,21,0,87,3,0,0,0,0,9,14,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,7,12,0,0,0,0,12,6,3,6,0,0,13,9,0,4,12,0,29,6,3,4,5,0,16,0,0,0,0,0,0,38,24,22,179,0,266,10,0,0,0,0,13,0,0,0,0,0,0,12,0,0,3,0,20,5,0,0,0,0,5,40,0,0,0,0,40,3,4,0,7,0,15,252,25,26,36,5,335,24,5,0,10,172,211,767,227,193,1580,212,2979,38,122,100,813
801011005,107,671,8,935,0,0,0,7,0,5,99,3,4,9,0,121,18,0,0,4,0,27,22,15,3,15,0,55,207,154,79,675,14,1119,17,0,4,5,0,24,15,0,8,14,0,33,41,19,12,88,3,152,24,3,0,11,0,46,9,5,0,4,0,11,39,0,0,0,5,45,40,37,25,303,6,413,36,9,4,34,0,82,8,0,0,0,0,9,0,4,0,3,0,7,0,0,0,0,0,0,0,0,0,5,0,7,9,11,0,0,0,18,7,3,0,0,0,14,22,3,3,5,0,33,18,3,0,0,0,23,0,0,0,0,0,0,43,29,26,231,3,328,8,0,0,0,0,8,7,0,6,0,0,11,17,0,0,0,0,20,26,0,0,0,0,26,11,0,3,0,0,17,13,0,5,16,0,31,228,34,39,53,3,359,0,0,0,10,95,109,822,252,189,1424,126,2804,25,160,118,712
801011006,260,2139,17,2753,0,0,0,34,0,39,177,7,19,17,0,218,44,14,9,11,0,79,39,16,8,38,0,103,338,219,205,1700,18,2483,81,0,10,0,0,100,10,0,4,18,0,25,72,23,25,224,3,343,31,12,6,33,0,85,16,5,4,23,0,50,186,3,12,0,0,197,63,53,50,646,9,822,76,17,21,110,3,222,14,4,5,0,0,20,8,3,0,0,0,18,14,7,0,0,0,20,7,7,3,13,0,41,8,0,0,5,0,9,27,10,16,16,0,59,44,11,6,27,0,92,18,8,0,6,0,30,8,0,0,0,0,6,105,74,49,459,14,701,9,0,0,0,0,15,11,0,0,0,0,12,39,3,0,8,0,58,14,0,0,0,0,14,112,0,0,0,0,112,23,4,8,31,0,60,709,72,72,107,6,968,14,3,3,35,225,277,2045,497,447,3934,279,7199,82,283,276,2191
801011007,133,1454,15,1867,0,0,0,9,0,9,132,4,8,14,0,162,64,4,4,16,0,84,38,13,12,29,0,85,262,194,136,1308,23,1926,31,4,3,4,0,39,10,0,0,8,0,25,81,13,23,160,5,281,46,3,3,20,0,75,18,5,0,3,0,24,68,6,0,7,0,74,48,48,31,663,16,807,89,19,12,66,0,188,21,0,0,0,0,21,6,0,0,4,0,12,4,0,0,4,0,12,6,3,0,5,0,17,7,0,0,5,0,14,10,11,4,0,0,31,34,8,0,13,0,52,9,0,0,0,0,14,12,0,5,0,0,15,74,57,31,389,5,553,12,0,0,0,0,15,9,0,0,0,0,13,24,0,0,5,0,29,11,0,0,0,0,10,50,0,4,0,0,54,22,5,0,24,0,49,392,72,50,88,0,601,9,0,0,27,323,362,1348,383,270,2949,371,5329,44,230,189,1684
801011008,133,1094,6,1455,0,0,0,7,0,14,320,5,8,10,0,338,58,3,4,9,0,67,34,17,7,22,5,84,247,139,115,880,13,1391,70,0,6,0,0,84,16,3,0,11,0,34,52,17,10,97,0,178,25,4,10,10,0,44,17,0,0,12,0,30,159,3,3,5,0,168,46,45,44,402,0,531,83,25,14,49,4,169,16,0,0,0,0,16,13,0,0,0,0,11,18,0,0,0,0,21,6,0,0,0,0,14,10,0,4,0,0,15,12,4,3,0,0,20,27,7,0,6,0,41,14,0,0,0,0,16,4,0,0,0,0,5,53,47,24,291,3,415,15,0,0,5,0,23,7,0,0,0,0,7,26,0,0,0,0,31,25,0,0,0,0,25,232,3,7,0,0,238,12,3,0,12,0,28,532,59,34,51,7,679,13,0,0,16,192,224,1929,318,245,2051,223,4769,51,172,157,1064
801011009,99,965,6,1255,0,0,0,4,0,9,66,0,4,3,0,73,23,0,0,9,0,33,40,12,4,28,0,81,194,140,93,937,9,1377,15,0,5,0,0,19,6,0,0,12,0,16,47,14,9,83,0,164,16,4,0,15,0,34,10,3,0,3,0,14,44,0,0,8,0,52,49,29,26,403,3,511,44,10,10,52,6,120,6,0,0,0,0,4,8,4,0,0,0,5,14,0,0,0,0,15,3,0,0,0,0,11,8,7,0,0,0,13,4,0,0,4,0,15,16,8,4,11,0,38,10,0,0,0,0,8,12,0,0,0,0,12,45,57,27,244,0,368,9,5,0,3,0,19,17,0,5,0,0,25,3,0,8,0,0,14,0,0,4,0,0,6,18,0,0,0,0,21,12,3,4,10,0,34,190,41,18,51,0,303,6,3,0,18,108,136,784,292,181,1965,129,3355,25,163,116,1071
801011010,73,651,12,843,0,0,0,0,0,0,14,0,3,5,0,28,3,3,0,0,0,3,15,10,0,16,0,46,160,86,67,550,3,863,5,0,4,0,0,12,4,0,0,9,0,12,31,8,11,73,0,120,10,0,0,5,0,16,4,0,0,3,0,9,0,0,0,0,0,6,36,20,18,247,8,324,11,9,0,14,0,30,0,0,0,0,0,4,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,11,0,0,0,0,10,7,7,5,0,0,20,0,0,0,0,0,0,3,3,0,0,0,11,44,22,12,182,0,263,4,0,0,0,0,3,9,0,0,0,0,10,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,4,7,3,0,17,0,31,86,21,7,32,3,158,0,0,0,9,84,92,393,171,117,1232,107,2027,11,109,94,678
801011011,117,884,21,1168,0,0,0,9,0,16,126,0,14,8,0,154,34,4,0,9,0,51,33,12,6,22,0,64,194,109,110,730,19,1160,22,0,4,0,0,23,12,0,0,7,0,18,46,11,10,104,4,176,44,0,0,21,0,73,9,3,0,3,0,16,44,0,0,0,0,45,43,22,31,351,9,453,66,9,13,58,0,144,24,0,0,0,0,26,14,0,0,0,0,20,11,0,0,0,0,10,7,4,0,9,0,18,4,5,0,0,0,10,7,3,9,0,0,28,28,4,3,9,0,42,0,0,0,0,0,3,15,3,0,0,0,18,43,38,23,258,0,366,7,0,0,0,0,14,5,4,0,0,0,8,14,4,0,0,0,14,7,0,0,0,0,13,23,0,4,5,0,35,9,8,3,11,0,30,235,38,33,52,6,360,11,4,0,12,107,128,966,245,220,1734,156,3312,15,134,114,928
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0
801011013,92,694,9,951,0,0,0,5,0,5,97,5,13,12,0,124,18,0,0,6,0,23,20,7,7,3,0,37,182,104,75,710,4,1077,27,0,7,4,0,31,4,0,0,0,0,11,42,12,13,96,0,163,34,8,3,19,0,62,14,0,0,5,0,20,91,0,0,0,0,95,40,24,27,331,5,424,43,11,8,31,0,95,5,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,9,0,0,0,0,0,5,8,0,3,0,0,12,7,0,4,4,0,19,8,0,0,0,0,8,5,0,0,0,0,8,67,25,26,254,3,367,9,3,0,0,0,10,4,4,0,0,0,6,13,0,0,4,0,18,10,0,0,0,0,10,26,0,0,3,0,34,4,6,4,20,0,33,284,24,31,42,6,394,3,0,0,14,105,114,936,195,176,1520,121,2956,14,136,97,749
801011014,83,854,8,1140,0,0,0,0,0,0,104,0,0,5,0,108,14,3,3,9,0,28,32,6,3,12,0,51,174,134,85,704,10,1101,45,0,12,0,0,56,3,3,0,4,0,18,26,19,11,85,0,144,33,0,0,4,0,40,6,4,3,0,0,10,33,3,3,0,0,36,31,23,22,328,0,410,29,13,10,37,0,89,0,0,0,0,0,5,6,4,0,4,0,10,0,0,0,0,0,4,0,0,0,10,0,11,7,0,3,3,0,17,5,0,5,4,0,15,19,4,6,13,0,42,0,0,0,0,0,0,8,4,0,0,0,11,43,31,18,209,3,306,10,0,0,0,0,14,0,0,0,7,0,7,28,3,4,0,0,41,13,0,0,0,0,13,46,0,3,0,4,52,8,0,0,15,0,30,240,23,32,46,0,333,9,0,0,7,146,161,857,250,179,1625,166,3069,36,146,128,893
801011015,131,1261,11,1619,0,0,0,19,0,20,79,0,9,9,0,98,15,3,3,3,0,25,30,15,6,22,0,74,266,166,126,1139,12,1707,49,0,4,0,0,50,6,0,0,12,0,21,63,19,15,126,4,217,23,3,0,9,0,39,14,0,0,15,0,30,103,5,3,5,0,113,59,47,30,569,5,708,30,18,3,38,0,91,9,0,4,0,0,14,7,0,0,0,0,12,11,4,0,0,0,9,7,7,0,14,0,28,5,0,3,0,0,12,17,8,3,7,0,36,26,3,0,19,0,50,7,0,0,0,0,7,3,4,0,3,0,8,80,48,32,348,6,519,5,0,0,6,0,7,17,9,0,0,0,29,31,0,0,7,0,37,8,0,0,0,0,8,23,0,0,0,0,21,19,4,0,17,0,39,362,47,55,81,7,550,12,0,0,34,260,314,1201,351,246,2525,295,4623,55,214,149,1433
801011016,211,1735,36,2301,0,0,0,14,0,14,516,5,5,10,0,535,103,3,0,14,0,118,49,22,8,37,0,117,347,237,191,1447,22,2236,65,0,15,5,0,82,14,3,0,10,0,29,82,20,26,138,8,274,103,13,10,43,0,167,30,8,3,0,0,39,180,4,4,4,0,192,79,57,47,740,9,929,170,37,17,102,3,330,24,6,0,0,0,30,20,3,0,4,0,32,21,5,0,5,0,32,13,6,0,9,0,28,11,0,6,7,0,24,28,12,6,11,0,57,50,3,7,17,0,84,24,3,0,0,0,33,35,4,0,0,0,42,107,63,58,473,4,703,38,0,0,0,0,38,9,0,0,0,0,19,30,0,3,0,0,37,60,0,0,4,0,60,113,3,0,4,7,129,14,7,4,21,0,52,623,70,66,64,3,829,13,0,0,17,267,301,2616,508,407,3396,344,7270,82,330,252,1707
801011017,98,1149,8,1435,0,0,0,6,0,7,88,5,0,10,0,108,16,4,0,8,0,28,39,17,7,22,0,81,207,127,98,896,9,1342,28,4,4,0,0,38,10,0,0,9,0,26,25,25,11,96,0,162,22,5,3,20,0,46,4,0,0,3,0,14,43,3,0,4,5,53,45,36,24,361,0,467,48,18,4,48,0,120,3,0,0,0,0,3,10,0,0,5,0,12,3,0,0,0,0,3,6,0,5,5,0,21,6,0,0,0,0,12,9,7,0,0,0,28,19,8,7,11,0,44,12,0,0,5,0,22,0,0,0,0,0,6,61,36,22,263,0,375,5,0,0,0,0,5,11,0,0,0,0,12,18,0,4,0,0,27,3,0,0,4,0,6,34,0,0,0,0,34,13,0,0,5,0,28,270,21,30,35,3,373,10,3,0,14,163,189,898,276,182,2090,190,3637,27,205,115,1073
801011018,0,16,0,21,0,0,0,0,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,11,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,39,0,0,0,0,42,0,0,0,0,3,6,106,0,4,21,6,142,35,48,67,330
801011019,227,1775,21,2379,0,0,0,16,0,16,214,6,21,11,0,250,28,0,5,11,0,42,34,19,16,54,0,128,385,240,180,1525,17,2344,135,0,20,0,0,162,22,0,6,13,0,38,84,35,23,209,3,353,35,12,5,23,0,75,12,7,5,7,0,34,303,4,3,4,0,315,91,83,44,626,7,850,48,19,11,100,0,177,4,0,0,0,0,6,5,5,0,4,0,13,3,0,0,3,0,8,9,6,0,10,0,28,8,0,0,0,0,14,24,9,12,0,0,46,54,4,10,15,0,77,33,0,0,3,0,45,18,0,0,0,0,23,104,54,57,391,0,603,24,0,0,0,0,25,22,5,0,0,0,33,37,7,4,7,0,58,63,3,4,0,0,65,51,0,3,0,0,59,17,3,0,22,0,53,796,73,76,88,9,1039,33,0,3,19,184,232,2295,507,416,3350,234,6794,102,289,258,1868
801011020,77,608,13,846,0,0,0,10,0,10,157,11,4,3,0,176,13,7,8,4,0,24,20,4,0,14,0,34,171,106,67,531,10,892,14,0,8,0,0,18,17,3,0,7,0,29,30,17,6,67,0,119,11,6,0,15,0,28,15,0,0,0,0,16,85,8,0,0,0,95,34,42,25,270,9,375,40,12,5,40,0,98,18,0,4,0,0,20,3,0,0,0,0,5,7,0,0,0,0,5,12,0,0,0,0,11,7,0,0,0,0,7,9,0,0,0,0,13,12,0,0,0,0,20,13,3,0,10,0,20,0,0,0,0,0,0,36,20,12,183,3,254,6,3,0,3,0,9,6,0,0,0,0,10,11,0,0,0,0,14,16,0,0,0,0,18,66,0,0,0,0,68,8,6,0,7,0,23,294,27,26,21,12,378,9,0,0,12,112,129,980,222,136,1212,154,2703,36,142,90,698
801011021,71,598,10,808,0,0,3,16,0,17,151,3,11,5,4,169,61,0,3,10,0,78,15,14,8,13,0,41,129,70,58,541,5,802,29,0,0,0,0,30,4,3,0,6,0,18,20,11,6,57,0,97,40,6,3,17,0,62,6,0,0,6,0,18,47,0,0,0,0,52,29,26,19,245,3,322,87,19,5,69,0,182,12,0,0,0,0,12,17,0,0,9,0,32,10,0,0,0,0,8,3,0,0,6,0,11,10,0,0,0,0,9,14,0,3,3,0,22,28,5,3,6,0,33,9,0,0,0,0,8,9,0,0,0,0,10,29,20,25,197,0,277,19,3,0,0,0,19,7,5,0,0,0,11,9,0,0,3,0,15,26,0,0,0,0,23,62,0,0,0,0,58,13,0,3,6,0,27,255,20,28,21,3,324,10,0,0,12,137,165,1014,185,145,1242,159,2749,26,98,96,607
801011022,101,861,21,1149,0,0,0,10,0,10,81,0,4,0,0,93,19,6,0,6,0,33,14,6,4,16,4,51,189,144,79,733,5,1147,18,0,0,0,0,19,5,3,0,8,0,17,44,20,12,99,0,176,37,6,3,15,0,64,4,0,4,3,0,14,29,4,0,0,0,28,35,32,30,330,6,437,34,19,6,38,0,95,4,0,0,0,0,4,0,0,0,0,0,3,6,0,0,0,0,7,5,5,0,8,0,16,11,0,0,0,0,9,14,3,6,0,0,28,13,4,0,0,0,18,8,0,0,5,0,18,13,0,0,0,0,13,61,46,24,256,0,386,14,3,0,3,0,22,3,0,0,0,0,3,13,0,0,0,0,14,13,0,4,0,0,20,23,0,0,0,0,27,8,4,0,13,0,24,246,25,30,30,3,333,4,0,0,14,131,157,826,274,178,1703,166,3148,27,169,141,956
801011023,80,716,9,934,0,0,0,8,0,8,135,5,4,3,0,145,18,4,0,9,0,21,20,11,3,10,0,40,160,110,70,664,11,1014,46,0,4,0,0,46,16,0,0,4,0,21,51,15,9,75,3,155,16,0,0,6,0,29,4,0,0,0,0,11,99,0,0,0,0,104,38,26,15,305,0,388,50,4,5,26,0,83,7,0,0,0,0,12,0,0,0,0,0,4,9,0,0,0,0,8,5,0,0,0,0,9,0,0,0,0,0,0,0,10,3,0,0,16,19,6,0,3,0,25,14,0,0,3,0,15,7,4,0,0,0,4,44,15,23,198,0,281,8,5,0,0,0,9,0,0,5,0,0,5,12,0,0,0,0,16,18,5,0,0,0,24,44,0,8,0,0,51,11,0,5,11,0,26,329,18,22,24,6,394,13,0,0,18,158,199,1071,188,136,1438,181,3023,44,121,99,660
801011024,103,691,15,960,0,0,0,10,0,10,119,0,4,6,0,126,9,0,0,4,0,16,25,15,7,12,0,55,126,82,83,651,10,954,24,0,0,0,0,30,11,0,0,7,0,20,28,8,16,73,0,134,14,3,0,4,0,24,5,4,0,6,0,10,106,5,0,5,0,112,27,40,27,303,4,407,24,7,0,33,4,72,12,0,0,0,0,11,0,0,0,3,0,5,0,0,0,0,0,0,6,4,0,6,0,14,8,0,0,0,0,12,11,0,9,3,0,23,23,4,0,14,0,37,5,0,0,4,0,7,15,5,0,0,0,19,55,41,32,251,7,369,7,0,0,0,0,7,0,0,0,0,0,3,19,0,4,0,0,25,9,0,0,0,0,10,21,0,8,0,0,26,13,0,3,12,0,27,308,35,39,35,11,430,15,0,0,11,162,181,885,238,187,1424,187,2931,38,133,113,734
801011025,91,831,8,1059,0,0,0,13,0,13,53,9,5,9,0,73,13,0,0,4,0,16,17,10,7,24,0,51,145,108,73,614,6,954,8,0,0,0,0,10,8,0,0,8,0,15,33,21,6,53,0,114,22,3,0,6,0,30,7,0,0,0,0,7,15,0,3,5,0,20,43,19,25,294,3,380,25,9,3,20,0,61,5,0,0,0,0,5,0,0,0,6,0,4,0,0,0,0,0,3,6,6,0,4,0,11,5,3,4,0,0,8,6,3,0,4,0,13,13,0,0,11,0,26,17,0,0,3,0,20,7,4,0,0,0,14,45,24,29,204,0,297,11,3,0,6,0,12,3,0,0,0,0,6,12,3,3,0,0,19,5,0,0,0,0,5,21,0,0,0,0,26,9,4,4,17,0,35,171,30,28,54,7,293,6,0,0,17,105,125,584,213,156,1503,125,2584,19,145,90,809
801011026,87,703,3,893,0,0,0,0,0,0,116,9,6,3,0,133,14,3,3,0,0,24,17,3,0,7,0,28,201,84,94,591,12,980,8,0,3,0,0,9,3,0,4,6,0,15,29,8,6,61,0,106,42,8,0,3,0,60,0,0,0,0,0,0,53,0,0,0,0,57,45,26,26,340,0,450,58,10,3,50,0,122,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,7,0,12,5,0,0,3,0,4,9,3,0,3,0,17,10,0,0,9,0,21,17,0,0,0,0,22,0,0,0,0,0,0,64,18,31,236,3,346,0,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,8,6,0,0,0,0,9,12,0,6,0,0,24,4,0,0,9,0,15,164,31,26,46,0,262,8,0,0,7,72,87,740,170,168,1418,83,2575,21,97,81,741
