SA2_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
801011001,0,0,0,0,0,0,6,13,6,13,17,0,52,0,0,0,0,0,4,0,4,0,0,0,0,12,0,0,0,0,0,5,0,10,4,5,9,0,29,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,7,3,4,0,10,0,6,24,0,0,0,5,0,3,6,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,29,25,12,3,0,4,4,93,0,0,0,3,0,0,0,0,0,0,0,19,17,0,0,0,16,4,49,44,40,18,34,32,26,263,0,0,0,0,0,0,3,5,7,24,41,8,86,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,9,8,11,32,23,4,92,0,0,0,0,0,0,0,0,3,14,10,0,25,0,0,0,0,0
801011002,0,0,0,0,0,4,46,63,37,64,20,3,236,0,0,0,0,4,0,3,3,0,0,0,0,9,0,0,0,0,0,7,38,15,7,13,4,0,73,0,0,0,0,0,0,0,4,0,0,0,0,11,0,0,0,3,7,15,26,3,10,0,0,0,69,0,0,3,0,3,4,4,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,14,10,31,19,7,4,0,0,4,103,0,0,0,0,0,0,0,0,0,0,0,25,28,6,0,11,22,26,63,154,94,54,83,24,33,562,0,0,0,0,0,5,5,5,8,6,0,0,31,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,4,11,14,6,7,0,0,40,0,0,0,0,0,0,3,6,0,0,0,0,12,0,0,0,0,4
801011003,0,0,0,0,0,8,30,63,39,61,52,0,247,0,0,0,3,0,8,3,6,0,6,0,0,24,0,0,0,0,0,6,24,12,10,7,5,0,64,0,0,0,0,0,0,0,0,0,3,3,0,14,0,0,0,3,0,11,14,6,18,13,7,0,70,0,0,0,6,0,3,3,6,4,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,5,31,36,10,4,4,7,0,107,0,0,0,0,0,0,0,0,0,0,0,44,44,3,0,0,14,15,73,115,103,75,94,75,48,614,0,0,0,0,0,0,9,12,10,51,55,5,137,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,11,16,8,44,20,5,107,0,0,0,0,0,4,5,3,6,17,11,4,44,0,0,0,0,5
801011004,0,0,0,0,0,0,30,24,19,15,5,0,82,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,9,18,10,0,0,0,0,38,0,0,0,0,0,0,4,4,0,0,0,0,14,0,0,0,3,0,4,13,0,0,0,0,0,27,0,0,0,3,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,19,5,15,3,0,0,0,0,3,47,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,4,24,11,38,65,41,22,15,3,20,256,0,0,0,0,0,0,14,22,17,17,8,0,89,0,0,4,0,0,0,9,4,0,0,0,0,15,0,0,0,0,0,4,28,22,5,7,3,6,78,0,0,0,0,0,0,4,8,6,3,0,0,25,0,0,0,0,0
801011005,0,0,0,0,0,3,6,17,7,39,24,0,96,0,0,0,0,0,0,0,6,4,0,0,0,11,0,0,0,0,0,4,18,9,3,8,12,0,46,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,4,4,3,0,0,31,0,0,3,0,0,6,7,0,0,0,0,0,24,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5,17,22,14,3,4,3,3,4,83,0,0,0,0,0,3,0,0,0,0,0,22,29,5,0,8,9,28,42,59,42,16,59,38,29,333,0,0,0,0,0,0,5,9,7,21,24,5,68,0,0,0,0,0,0,3,9,0,9,4,0,25,0,0,0,0,0,0,14,10,7,31,12,6,82,0,0,0,0,0,0,0,0,0,7,8,0,22,0,0,0,0,0
801011006,0,0,0,0,0,5,40,66,43,90,25,0,269,0,0,0,0,0,3,0,3,3,0,0,0,14,0,0,0,0,5,7,24,29,0,11,3,0,80,0,0,0,0,0,0,7,13,4,8,3,0,29,0,0,0,0,0,9,17,7,9,9,0,0,53,0,0,0,0,0,3,8,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,9,3,0,4,34,16,30,13,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,26,29,6,0,3,39,22,54,110,127,57,119,30,32,603,0,0,0,0,0,3,37,73,61,100,47,28,359,0,0,0,0,0,7,4,11,7,4,0,0,32,0,0,0,3,3,11,67,70,50,65,20,10,295,0,0,0,0,0,4,12,23,12,30,10,5,93,0,0,0,0,0
801011007,0,0,0,0,0,5,19,50,32,51,29,0,188,0,0,0,0,0,12,3,4,0,0,0,0,19,0,0,0,0,0,5,11,9,9,13,7,0,52,0,0,0,0,0,0,3,0,5,3,0,0,18,0,0,0,0,3,12,19,5,15,8,0,0,66,0,0,0,5,3,5,10,9,5,3,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,29,18,31,28,3,0,0,0,0,105,0,0,0,4,0,0,0,0,0,0,0,35,36,6,0,3,29,20,73,97,80,58,86,35,37,527,0,0,0,0,0,9,17,36,25,66,40,20,199,0,0,0,0,0,0,5,3,5,8,0,0,20,0,0,3,0,0,12,45,34,30,75,17,13,218,0,0,0,0,0,4,6,12,12,23,6,4,65,0,0,0,0,5
801011008,0,0,0,0,0,3,16,32,13,55,11,0,136,0,0,0,4,3,5,0,5,0,0,0,0,12,0,0,0,0,0,0,17,11,6,7,4,0,52,0,0,0,0,0,0,4,4,0,3,0,0,13,0,0,0,0,4,17,21,4,0,5,0,0,62,0,0,0,5,3,12,4,3,0,0,0,0,27,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,9,38,8,35,24,6,3,0,0,4,128,0,0,0,0,0,0,0,0,0,0,0,25,24,4,0,6,48,15,77,89,67,22,76,19,29,469,0,0,0,0,0,5,16,26,23,52,36,22,177,0,0,0,0,0,5,3,0,0,4,4,9,23,0,0,0,0,0,15,19,21,39,57,20,12,175,0,0,0,0,0,3,7,9,5,9,6,0,37,0,0,0,0,9
801011009,0,0,0,0,0,0,14,20,20,35,19,0,106,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,7,12,3,7,0,0,42,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,9,20,7,8,6,0,0,45,0,0,0,0,3,6,6,0,0,0,0,0,21,0,0,0,0,0,0,5,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,23,14,18,23,9,4,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,4,36,21,40,79,52,38,59,22,19,361,0,0,0,0,0,3,9,16,12,50,40,5,140,0,0,0,0,0,0,4,3,0,3,0,0,18,0,0,0,0,0,6,27,29,20,47,13,6,145,0,0,0,0,0,0,0,5,8,7,7,4,31,0,0,0,0,0
801011010,0,0,0,0,0,0,0,15,7,18,4,0,50,0,0,0,0,0,4,6,0,0,4,0,0,14,0,0,0,0,0,0,4,6,3,7,3,0,31,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,5,4,4,7,3,0,0,21,0,0,0,3,0,0,6,4,6,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,7,4,23,9,0,0,3,0,0,54,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,11,9,33,38,35,22,42,12,9,214,0,0,0,0,0,0,4,8,20,23,18,3,79,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,13,20,23,32,8,5,99,0,0,0,0,0,0,4,0,8,9,0,0,16,0,0,0,0,0
801011011,0,0,0,0,0,5,11,24,16,27,11,0,92,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,6,17,7,3,7,0,0,37,0,0,0,0,0,0,8,0,0,0,0,0,15,0,0,0,0,0,6,11,0,6,6,0,0,43,0,0,0,0,0,3,8,3,3,0,0,0,22,0,0,0,0,0,0,4,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,12,13,12,18,4,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,24,27,0,5,3,20,21,37,71,42,29,53,19,22,319,0,0,0,0,0,0,8,19,16,41,35,13,132,0,0,0,0,0,3,3,4,3,4,0,3,21,0,0,0,0,0,8,11,18,13,53,8,5,112,0,0,0,0,0,0,3,5,0,9,4,7,41,0,0,0,0,0
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,0,0,0,0,0,10,17,12,25,25,0,83,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,10,8,5,7,6,0,36,0,0,0,0,0,0,5,0,7,0,0,0,9,0,0,0,0,3,6,7,0,16,0,0,0,35,0,0,0,3,0,3,7,8,4,4,4,0,32,0,0,0,0,0,6,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,0,9,10,42,43,16,3,11,4,0,140,0,0,0,0,0,0,0,0,0,0,0,18,18,3,0,0,16,14,53,80,57,45,48,34,21,375,0,0,0,0,0,0,0,11,6,27,42,17,94,0,0,0,0,0,0,0,0,3,4,6,0,13,0,0,0,0,0,0,11,7,18,34,14,3,86,0,0,0,0,0,0,0,3,0,5,7,0,19,0,0,0,0,3
801011014,0,0,0,0,0,3,14,27,12,18,13,0,87,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,5,9,11,5,3,0,0,34,0,0,0,0,0,0,3,6,0,0,0,0,8,0,0,0,0,4,13,8,3,9,3,0,0,33,0,0,0,4,4,5,6,4,5,0,0,0,23,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,16,28,16,5,0,0,0,5,98,0,0,0,0,3,0,0,0,0,0,0,16,19,0,0,7,38,18,54,50,57,31,29,13,23,328,0,0,0,0,0,0,11,17,16,27,12,9,87,0,0,0,0,0,0,0,4,0,0,0,0,13,0,0,0,0,0,10,25,21,27,23,0,10,113,0,0,0,0,0,0,8,4,14,11,0,5,36,0,0,0,0,4
801011015,0,0,0,0,0,0,20,48,26,28,11,0,146,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,8,17,20,11,13,0,0,68,0,0,0,0,0,0,3,5,6,5,0,0,20,0,0,0,5,6,11,21,4,7,0,0,0,49,0,0,0,0,0,9,5,0,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,32,18,46,29,4,0,0,0,0,131,0,0,0,4,0,3,0,0,0,0,0,39,44,5,0,5,43,25,93,97,88,56,53,18,45,517,0,0,0,0,0,5,9,25,23,33,9,7,108,0,0,0,0,0,0,5,8,0,0,0,0,17,0,0,0,0,0,9,37,39,21,23,7,4,146,0,0,0,0,0,3,12,12,8,7,0,5,49,0,0,0,0,0
801011016,0,0,0,0,0,5,24,36,31,46,35,0,186,0,0,0,0,0,4,8,3,5,5,0,0,34,0,0,0,0,0,11,27,14,9,15,3,0,85,0,0,0,0,0,4,8,4,3,7,0,0,25,0,0,0,0,4,17,27,8,16,13,0,0,85,0,0,4,9,4,12,21,9,3,3,0,0,59,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,5,0,12,7,0,9,36,17,56,39,6,5,0,5,5,190,0,0,0,0,0,0,0,0,0,0,0,37,42,7,0,14,47,32,110,166,81,68,102,51,45,729,4,0,0,0,0,9,24,36,26,76,72,27,268,0,0,0,0,3,3,8,10,6,8,3,0,46,0,0,0,4,0,8,38,52,45,84,27,18,270,0,0,0,0,0,0,4,14,8,22,5,10,67,0,0,0,0,4
801011017,0,0,0,0,0,3,10,28,14,34,15,0,112,0,0,0,0,0,6,3,4,0,0,0,0,7,0,0,0,0,0,6,13,8,6,9,0,0,40,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,8,15,3,3,0,0,0,36,0,0,0,0,3,10,12,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,23,11,36,19,0,5,0,0,3,97,0,0,0,0,0,0,0,0,0,0,0,19,19,3,0,0,22,22,59,71,44,35,50,19,24,363,0,0,0,0,0,3,17,33,10,33,16,5,120,0,0,0,0,0,0,0,0,4,0,0,6,17,0,0,0,0,0,5,28,24,25,33,4,12,129,0,0,0,0,0,0,4,12,3,14,3,4,38,0,0,0,0,0
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,0,0,0,0,0,4,44,98,36,67,25,0,277,0,0,0,0,0,3,3,4,3,0,0,0,15,0,0,0,0,0,3,25,21,11,9,3,0,78,0,0,0,0,0,0,8,4,0,3,0,0,18,0,0,0,0,0,9,21,7,18,0,0,0,64,0,0,0,0,0,12,7,0,0,5,0,0,23,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,23,10,34,17,0,0,3,0,0,103,0,0,0,0,0,0,0,0,0,0,0,48,48,3,0,6,27,22,76,129,141,69,84,28,50,636,0,0,0,0,0,4,20,49,26,43,21,13,182,0,0,0,0,0,0,4,3,9,5,0,0,26,0,0,0,0,0,6,65,50,29,30,12,8,201,0,0,0,0,0,3,12,15,9,11,0,0,53,0,0,0,0,0
801011020,0,0,0,0,0,4,3,17,14,23,13,0,69,0,0,0,0,0,6,0,0,0,3,0,0,7,0,0,0,0,0,0,9,4,8,4,0,0,30,0,0,0,0,0,0,3,0,0,4,0,0,12,0,0,0,0,0,5,13,6,3,0,0,0,32,0,0,0,0,0,4,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,3,13,11,18,11,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,6,17,22,41,45,33,27,32,18,18,253,0,0,0,0,0,0,3,10,7,24,20,10,67,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,14,12,10,19,9,0,72,0,0,0,0,0,0,3,0,0,5,0,0,15,0,0,0,3,0
801011021,0,0,0,0,0,4,8,4,15,26,20,0,78,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,0,0,3,7,9,6,8,4,0,38,0,0,0,0,0,0,0,0,0,3,7,0,12,0,0,0,0,0,6,6,10,8,4,0,0,37,0,0,0,0,4,0,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,13,11,11,12,9,0,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,3,18,15,40,39,39,33,42,26,26,286,0,0,0,0,0,0,11,8,13,29,38,7,114,0,0,0,0,0,3,0,0,0,3,0,0,9,0,0,0,0,0,5,21,17,19,26,7,6,104,0,0,0,0,0,5,0,6,0,7,0,6,21,0,0,0,0,0
801011022,0,0,0,0,0,0,12,17,8,30,11,3,77,0,0,0,0,0,0,3,4,0,0,0,0,15,0,0,0,0,0,3,14,9,4,4,11,0,44,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,9,8,5,0,0,29,0,0,0,0,0,8,9,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,11,27,34,3,7,6,0,4,127,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,4,29,19,58,75,38,27,53,23,31,341,0,0,0,0,0,0,9,7,17,45,39,9,126,0,0,0,0,0,0,0,6,3,4,3,0,13,0,0,0,0,0,0,24,25,16,38,7,6,109,0,0,0,0,0,0,0,3,9,8,5,3,34,0,0,0,0,0
801011023,0,0,0,0,0,0,13,14,13,15,3,0,68,0,0,0,0,0,0,5,0,3,0,0,0,14,0,0,0,0,0,9,3,13,0,6,0,0,30,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,3,3,5,0,3,0,0,0,26,0,0,0,3,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,35,16,6,0,0,3,3,108,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,35,26,63,56,36,22,25,6,15,284,0,0,0,0,0,0,3,16,11,8,8,6,58,0,0,0,0,0,0,0,3,0,4,0,0,13,0,0,0,0,0,3,20,15,10,16,5,0,74,0,0,0,0,0,4,4,5,5,6,3,0,23,0,0,0,0,0
801011024,0,0,0,0,0,0,13,18,9,24,10,3,78,0,0,0,0,0,3,0,6,0,0,0,0,10,0,0,0,0,0,6,14,0,6,9,0,0,35,0,0,0,0,0,0,4,0,3,5,0,0,12,0,0,0,0,0,6,8,7,8,4,0,0,28,0,0,4,0,0,4,3,5,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,21,10,29,16,0,0,0,0,3,79,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,4,23,10,53,61,43,22,41,11,14,285,0,0,0,0,0,3,4,7,12,18,12,7,67,0,0,0,0,0,0,6,6,0,0,0,0,16,0,0,0,0,0,5,13,15,16,19,5,7,76,0,0,0,0,0,0,10,0,4,9,0,5,31,0,0,0,0,0
801011025,0,0,0,0,0,0,13,20,12,17,4,0,69,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,3,7,6,4,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,9,3,0,9,4,0,0,28,0,0,3,0,0,4,11,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,7,21,19,3,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,16,19,0,0,8,18,12,38,65,35,24,34,5,19,258,0,0,0,0,0,0,6,13,18,28,25,9,103,0,0,0,0,0,0,4,5,0,3,0,0,11,0,0,0,0,0,0,16,20,14,24,12,3,89,0,0,0,0,0,0,0,0,4,10,9,3,23,0,0,0,0,0
801011026,0,0,0,0,0,0,4,11,5,16,13,0,47,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,9,5,0,11,4,0,33,0,0,0,0,0,0,6,3,0,0,0,0,13,0,0,0,0,0,3,5,0,6,3,5,0,21,0,0,0,0,0,4,9,6,4,0,0,0,21,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,30,35,6,0,4,0,0,103,0,0,0,0,0,0,0,0,0,0,0,25,29,0,0,4,15,9,39,66,33,20,43,27,25,281,0,0,0,0,0,4,0,5,0,30,56,9,103,0,0,0,0,0,0,3,0,0,3,0,0,12,0,0,0,0,0,0,7,9,14,51,22,8,111,0,0,0,0,0,0,0,0,0,6,3,0,20,0,0,0,0,0
