SA2_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
801011001,0,3,0,3,0,0,4,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,31,31,0,0,0,3,0,11,21,22,25,65,124,50,324,0,0,0,0,0,4,6,10,5,5,0,0,27,0,0,0,0,0,3,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,3,0,4,5,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,10,16,13,9,5,0,8,67,5,0,4,12,9,39,85,72,67,97,171,78,639,0,0,0,0,0,0,0,5,6,11,31,0,54,0,0,0,0,0,0,3
801011002,0,0,0,9,6,3,3,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,5,0,3,10,6,0,3,0,0,36,0,0,0,0,0,0,4,0,0,0,0,26,29,3,0,3,13,9,32,98,42,32,58,23,34,351,0,0,0,6,0,12,21,12,3,3,3,4,58,0,0,0,7,4,14,5,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,6,0,0,0,0,0,0,0,0,11,0,4,10,8,3,4,6,0,0,0,0,4,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,15,14,31,32,9,6,3,4,13,152,25,8,29,61,43,140,311,182,154,149,90,104,1294,0,0,0,0,0,0,43,118,99,100,71,7,435,0,0,0,3,4,28,45
801011003,0,3,0,8,0,0,0,3,0,0,21,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,9,5,4,30,0,0,0,0,0,0,0,0,0,0,0,26,27,4,0,0,4,8,18,52,50,44,95,152,52,470,0,0,0,0,0,5,14,23,6,4,5,5,62,0,0,0,5,0,7,7,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,5,0,0,0,0,0,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,9,23,25,20,9,10,5,10,112,21,5,3,28,38,114,218,183,154,204,255,126,1350,0,0,0,0,0,0,18,37,57,86,82,0,284,0,0,0,4,3,12,22
801011004,0,0,0,0,4,4,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,7,23,69,72,40,59,21,27,318,0,0,0,0,0,12,16,9,3,5,0,6,65,0,0,4,5,9,3,11,3,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,11,3,0,14,16,13,10,11,4,0,3,0,12,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,22,38,43,18,4,12,0,30,208,6,3,23,38,47,92,164,126,72,89,29,77,765,0,0,0,0,0,0,4,16,30,26,11,0,88,0,0,0,0,0,0,3
801011005,0,0,0,4,9,0,0,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,6,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,3,13,26,36,45,77,80,30,312,0,0,0,0,0,3,13,8,9,3,5,4,45,0,0,0,0,0,6,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,7,4,3,6,6,0,4,0,0,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,16,25,15,7,9,5,3,98,0,6,9,12,30,66,114,98,96,132,124,61,746,0,0,0,0,0,0,0,7,5,26,43,0,78,0,0,0,0,0,0,4
801011006,0,0,0,7,10,0,5,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,12,0,0,0,3,0,16,8,0,4,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,8,3,41,160,147,199,269,169,94,1100,0,0,0,4,0,11,47,19,13,11,6,15,128,0,0,0,8,8,19,11,3,0,0,0,5,47,0,0,0,4,0,4,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,18,20,0,10,10,6,0,0,0,14,88,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,33,10,40,68,29,14,9,6,40,285,20,0,23,57,38,139,345,257,296,360,213,190,1937,0,0,0,0,0,0,8,30,35,56,45,0,178,0,0,0,0,0,0,0
801011007,0,4,0,6,3,7,0,0,0,0,23,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,5,13,4,5,5,0,7,43,0,0,0,0,0,0,0,0,0,0,0,38,38,0,0,0,3,3,32,98,80,99,165,122,75,682,0,0,0,0,0,16,37,17,7,4,3,16,103,0,0,0,5,3,9,4,6,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,10,3,15,12,7,0,0,0,4,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,15,41,53,33,10,10,3,19,210,0,6,10,45,50,139,277,180,172,258,173,122,1442,0,0,0,0,0,0,12,18,27,40,47,0,136,0,0,0,0,0,6,12
801011008,0,5,0,8,10,9,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,9,10,6,5,7,0,5,52,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,5,11,6,32,102,77,71,118,107,60,582,0,0,0,0,4,12,26,23,4,6,3,12,83,0,4,4,11,0,12,9,8,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,8,0,5,14,21,11,10,5,3,4,0,0,11,81,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,20,39,18,38,47,33,8,4,3,27,240,10,11,31,66,59,129,239,183,123,182,153,125,1299,0,0,0,0,0,0,10,16,20,41,30,0,116,0,0,0,0,0,5,6
801011009,0,0,0,0,6,4,3,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,7,4,3,0,5,30,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,13,64,67,82,113,85,52,480,0,0,0,0,0,7,12,10,3,8,0,12,56,0,0,0,4,0,4,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,15,4,3,0,4,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,8,30,19,13,5,10,0,18,123,6,0,3,27,23,85,144,123,135,182,116,91,942,0,0,0,0,0,0,3,9,15,30,31,0,91,0,0,0,0,0,3,6
801011010,0,0,0,0,3,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,6,0,3,3,0,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,7,9,0,0,0,6,0,8,27,33,31,75,61,30,268,0,0,0,0,0,9,10,5,0,6,4,6,32,0,0,0,0,0,0,10,0,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,7,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,16,27,5,5,5,5,10,81,0,0,4,12,21,52,110,69,72,101,89,46,569,0,0,0,0,0,0,0,0,5,15,17,0,30,0,0,0,0,0,4,0
801011011,0,0,0,6,5,0,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,3,8,4,5,0,3,4,28,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,3,22,67,47,65,84,100,47,437,0,0,0,0,0,8,19,16,0,3,0,5,53,0,0,0,0,0,0,9,4,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,8,3,11,0,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,8,11,37,17,3,5,0,7,118,8,0,18,25,26,74,175,114,110,124,124,72,888,0,0,0,0,0,0,4,8,16,30,37,0,90,0,0,0,0,0,6,7
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,0,3,0,5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,20,19,3,0,0,4,0,16,33,25,42,79,124,37,371,0,0,0,0,0,0,16,12,0,6,4,4,52,0,0,0,8,0,3,4,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,0,6,4,5,4,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,10,12,31,15,5,6,0,9,106,3,0,10,23,29,73,139,86,80,124,170,62,801,0,0,0,0,0,0,4,8,4,11,22,0,60,0,0,0,0,0,6,9
801011014,0,0,0,3,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,4,3,9,6,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,19,0,0,0,3,12,23,73,47,53,89,39,36,376,0,0,0,0,5,7,19,13,3,8,4,8,54,0,0,0,0,4,7,5,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,3,8,3,10,10,4,3,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,15,15,24,27,21,9,6,4,10,132,11,3,7,31,57,90,160,108,88,128,66,61,809,0,0,0,0,0,0,3,10,20,42,29,0,97,0,0,0,3,0,0,0
801011015,0,0,3,3,9,0,0,0,0,0,24,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,10,5,0,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,6,5,37,97,75,70,101,46,44,484,0,0,0,0,5,12,30,17,8,3,4,10,88,0,0,4,6,8,16,11,0,0,0,0,6,45,0,0,0,0,0,3,3,0,0,0,0,0,8,0,0,0,7,0,3,0,0,0,0,0,0,13,0,0,8,20,14,9,8,6,0,4,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,33,19,43,58,17,12,4,4,17,227,3,8,15,59,47,171,255,169,125,154,67,95,1167,0,0,0,0,0,0,7,26,42,68,50,0,192,0,0,0,0,0,5,11
801011016,0,5,0,4,12,0,3,4,6,7,41,0,0,0,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,3,4,0,11,9,7,9,9,4,10,66,0,0,0,0,0,0,0,0,0,0,0,47,47,0,0,6,8,8,46,106,126,111,227,187,111,936,0,0,0,0,5,7,19,20,13,3,7,13,91,0,0,5,3,7,14,14,0,0,3,0,6,55,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,7,6,20,18,5,0,5,0,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,22,14,44,48,32,16,15,8,30,238,15,3,15,51,53,187,336,261,195,326,261,207,1910,0,0,0,0,0,0,10,16,31,51,44,0,147,0,0,0,0,0,5,5
801011017,0,5,0,3,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,3,0,3,4,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,33,36,0,0,0,8,3,18,72,71,57,105,52,60,456,0,0,0,0,0,6,18,6,6,4,0,0,52,0,0,0,9,8,8,7,0,0,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,12,9,14,6,8,0,0,0,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,24,7,31,33,12,15,3,0,7,154,0,0,14,43,36,110,187,137,115,149,81,102,974,0,0,0,0,0,0,3,6,16,30,39,0,92,0,0,0,0,0,0,0
801011018,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,3,9,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,5,8,4,0,9,3,0,34,0,0,0,0,0,0,7,23,25,51,31,0,134,0,0,0,0,0,0,13
801011019,0,0,0,10,9,9,0,0,6,0,28,0,0,0,0,0,4,4,4,0,0,0,0,12,0,0,0,0,0,0,6,0,0,3,0,0,16,3,0,0,3,6,4,10,8,4,6,0,0,58,0,0,0,0,0,0,0,0,0,0,0,26,28,0,0,0,10,18,56,166,192,168,185,98,74,963,0,0,0,0,4,17,51,18,10,10,0,18,129,0,0,0,3,7,18,24,8,4,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,4,0,0,0,0,0,11,0,0,3,21,7,11,14,5,3,0,0,6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,28,22,47,97,23,14,9,0,31,281,13,0,9,52,63,153,403,314,277,294,144,140,1871,0,0,0,0,0,0,10,31,50,75,53,0,217,0,0,0,0,0,0,6
801011020,0,0,0,0,0,0,0,3,4,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,3,6,4,3,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,5,3,17,32,39,45,70,55,25,293,0,0,0,6,0,6,14,11,0,4,0,9,45,0,0,0,5,6,4,6,0,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,3,3,7,12,3,0,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,7,11,9,18,33,19,3,4,0,17,128,3,4,11,25,30,60,113,88,67,105,87,57,655,0,0,0,0,0,0,6,8,20,24,36,0,98,0,0,0,0,0,5,4
801011021,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,3,0,0,3,7,0,0,24,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,6,5,5,8,32,40,52,74,97,44,356,0,0,0,0,0,4,9,8,0,7,3,9,37,0,0,0,4,0,0,6,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,7,3,5,5,0,0,3,4,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,13,3,14,22,16,0,6,6,15,105,3,7,6,32,23,65,100,86,85,125,142,88,765,0,0,0,0,0,0,0,8,6,26,30,0,70,0,0,0,0,0,0,0
801011022,0,0,0,3,0,6,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,5,7,7,4,9,0,4,31,0,0,0,0,0,0,0,0,0,0,0,15,15,3,0,0,0,10,17,48,56,59,82,80,34,379,0,0,0,0,0,9,9,12,0,3,0,0,40,0,0,5,3,5,9,0,0,3,0,0,0,32,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,3,12,0,3,6,0,0,0,0,7,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,25,3,19,25,15,4,6,3,11,121,0,0,19,33,26,88,144,111,101,136,109,69,844,0,0,0,0,0,0,4,15,9,20,31,0,70,0,0,0,0,0,0,6
801011023,0,0,0,8,9,4,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,10,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,7,0,19,53,43,56,47,33,21,278,0,0,0,0,0,9,9,5,3,3,0,4,34,0,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,11,6,10,7,0,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,18,4,29,23,6,8,6,0,5,110,8,3,7,29,20,103,129,97,100,78,50,45,683,0,0,0,0,0,0,3,10,13,27,20,0,73,0,0,0,3,0,3,0
801011024,0,0,0,0,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,10,3,3,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,3,3,8,15,64,39,58,74,39,36,325,0,0,0,0,0,6,17,11,0,0,0,7,43,0,0,0,3,0,3,11,6,0,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,11,9,4,10,5,0,5,0,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,10,20,40,15,0,6,0,13,136,8,0,14,25,34,88,156,90,89,111,51,62,729,0,0,0,0,0,0,4,11,14,25,22,0,81,0,0,0,0,0,7,4
801011025,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,3,0,0,0,4,21,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,13,43,43,38,82,54,32,315,0,0,0,3,5,9,13,8,0,0,0,5,42,0,0,0,3,3,3,5,6,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,8,5,3,7,0,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,12,20,28,13,6,0,0,17,113,0,0,10,21,37,69,145,89,71,110,78,65,700,0,0,0,0,0,0,0,7,7,19,20,0,60,0,0,0,0,0,0,0
801011026,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,24,24,0,0,0,0,3,7,23,18,36,78,149,49,370,0,0,0,0,0,0,3,6,0,5,3,3,29,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,4,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,14,8,3,5,4,3,55,3,0,5,9,18,38,91,59,70,120,199,79,704,0,0,0,0,0,0,0,0,5,7,32,0,46,0,0,0,0,0,0,0
