SA2_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
801011001,0,8,0,13,0,5,7,35,0,0,0,0,0,0,4,0,3,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,12,29,23,42,77,81,44,301,0,0,0,0,0,5,11,0,11,4,0,3,27,0,0,0,3,3,6,6,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,11,14,5,14,4,0,6,60,0,0,0,23,5,66,85,65,78,116,107,73,626,0,0,0,0,0,0,5,4,7,13
801011002,21,18,0,10,3,0,5,57,0,0,0,5,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,3,4,5,6,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,7,8,30,37,27,28,23,5,19,194,0,0,0,0,0,6,15,0,11,0,0,5,40,0,0,8,0,4,12,4,0,0,0,0,4,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,17,18,0,4,4,0,3,0,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,30,25,14,21,22,0,13,0,5,11,140,13,3,41,55,45,115,209,120,91,102,34,61,895,0,0,0,0,0,0,46,76,83,73
801011003,8,13,9,23,9,0,4,76,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,3,0,0,9,10,9,5,0,0,6,35,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,3,0,7,20,45,42,57,123,87,47,436,0,0,0,0,0,6,16,4,6,3,0,3,40,0,0,0,0,4,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,5,0,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,8,15,8,7,6,0,10,70,8,0,9,20,19,102,177,151,142,214,160,107,1121,0,0,0,0,0,4,25,49,59,75
801011004,18,23,7,3,5,0,7,63,0,0,0,0,3,3,0,6,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,5,3,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,3,9,11,48,85,59,39,42,17,32,342,0,0,0,5,3,16,15,16,6,0,0,14,73,0,0,0,6,9,12,0,0,0,0,0,10,39,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,10,0,4,18,19,7,13,9,3,0,0,0,10,79,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,26,27,25,50,27,17,8,0,0,28,212,0,6,28,64,46,136,175,120,66,59,21,84,802,0,0,0,0,0,0,17,25,20,17
801011005,8,16,5,18,11,3,0,57,0,0,0,3,3,4,7,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,4,3,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,6,5,16,44,39,37,78,53,35,312,0,0,0,0,4,7,25,5,13,4,0,4,59,0,0,5,5,3,3,7,0,3,0,0,0,32,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,3,3,4,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,20,36,9,13,8,0,7,127,4,0,16,25,36,81,142,84,70,144,94,72,771,0,0,0,0,0,0,4,14,13,24
801011006,27,69,19,36,14,3,4,184,0,0,0,0,0,4,6,3,0,0,0,0,17,0,0,0,0,0,6,6,4,0,0,0,3,12,0,0,0,0,0,0,0,3,0,4,0,0,6,4,0,0,4,5,4,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,48,52,0,0,4,9,10,58,205,204,171,219,79,111,1074,0,0,0,0,6,19,50,8,19,0,0,14,124,0,0,0,3,7,16,10,5,0,0,0,0,51,0,0,0,3,0,0,4,0,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,13,3,0,12,18,13,16,6,0,4,3,0,13,87,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,18,33,20,58,75,18,19,11,0,31,286,14,3,30,74,58,174,384,352,254,346,107,168,1963,0,0,0,0,0,0,15,31,44,60
801011007,13,46,16,26,18,3,7,128,0,0,0,0,0,5,6,0,0,4,0,4,19,0,0,0,0,0,0,4,0,6,0,0,3,18,0,0,0,0,0,0,3,6,5,5,3,6,14,0,0,6,6,0,3,5,0,3,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,35,41,0,0,5,6,8,44,132,105,104,180,69,92,747,0,0,0,4,4,16,35,9,16,8,0,10,106,0,0,6,7,11,3,10,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,17,9,4,12,11,0,0,0,0,13,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,18,33,53,13,17,11,0,23,227,5,0,36,60,47,149,276,201,178,277,108,149,1501,0,0,0,0,0,0,23,23,24,51
801011008,18,36,8,25,6,7,11,117,0,0,0,0,0,3,7,3,4,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,3,8,11,0,0,3,0,5,42,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,20,15,52,95,72,89,132,69,84,632,0,0,0,0,9,23,26,8,9,7,0,8,94,0,0,6,8,8,11,9,5,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0,3,15,0,0,20,21,7,14,6,0,0,3,0,4,78,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,29,31,20,53,39,19,11,10,0,22,245,7,4,40,96,53,182,226,156,122,217,89,140,1338,0,0,0,0,0,0,10,26,21,30
801011009,5,19,19,16,10,3,6,76,0,0,0,0,0,5,5,0,4,5,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,8,6,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,3,9,22,78,82,62,118,66,49,483,0,0,0,0,0,10,22,7,12,0,0,9,59,0,0,0,7,5,4,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,5,9,17,31,8,13,0,0,17,109,0,0,10,43,39,73,186,139,107,176,82,86,952,0,0,0,0,0,0,9,13,22,28
801011010,0,12,5,11,4,0,0,47,0,0,0,0,0,0,3,0,4,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,4,9,4,0,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,12,42,50,61,71,36,27,304,0,0,0,0,0,4,6,3,10,5,0,6,38,0,0,0,0,4,8,0,0,0,0,0,0,19,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,4,7,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,8,5,16,15,7,10,5,3,7,80,0,0,7,19,10,59,97,92,95,117,49,44,596,0,0,0,0,0,3,9,9,9,8
801011011,4,29,4,18,8,3,3,80,0,0,0,0,0,8,0,4,0,3,4,0,21,0,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,4,3,0,0,3,0,6,21,0,0,0,0,0,0,3,0,0,0,0,22,26,0,0,0,3,3,21,63,60,52,121,60,57,449,0,0,0,0,0,7,20,13,7,0,0,10,60,0,0,4,5,0,5,0,6,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,4,0,11,8,0,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,5,30,29,17,9,4,0,13,120,5,5,17,33,24,86,160,116,97,178,80,97,896,0,0,0,0,0,3,5,14,22,18
801011012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011013,14,12,3,8,11,4,0,57,0,0,0,0,0,3,6,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,8,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,4,6,6,25,34,24,39,79,75,43,325,0,0,0,0,0,3,14,3,15,0,0,4,39,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,5,9,19,7,16,3,0,10,89,8,6,9,20,30,88,132,88,98,131,110,70,789,0,0,0,0,0,0,0,9,6,11
801011014,8,23,5,13,4,0,4,58,0,0,0,0,0,4,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,7,7,8,9,3,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,4,3,12,33,78,57,68,59,18,46,389,0,0,0,0,5,10,18,6,3,7,0,6,59,0,0,0,10,6,10,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,5,13,9,0,0,0,0,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,11,34,35,9,7,7,0,16,140,0,0,20,60,50,126,169,113,109,96,34,81,858,0,0,0,0,0,0,12,12,25,29
801011015,20,47,9,19,6,4,7,106,0,0,0,4,5,3,6,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,5,4,0,6,0,0,8,0,0,0,3,4,0,5,4,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,20,19,5,0,5,5,6,34,127,101,79,79,24,42,503,0,0,3,0,6,23,32,11,8,4,0,16,104,0,0,0,9,3,12,6,3,0,0,0,4,49,0,0,0,3,0,5,5,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,18,16,15,15,8,0,0,0,0,12,85,0,0,0,0,0,0,0,0,0,0,0,3,5,6,0,23,34,23,62,50,16,8,4,0,32,255,5,0,31,82,57,190,274,202,145,130,45,123,1276,0,0,0,0,0,0,17,41,24,27
801011016,20,41,18,31,14,7,14,143,0,0,0,3,5,10,8,8,6,4,0,8,42,0,0,0,0,0,0,5,0,4,4,0,0,16,0,0,0,0,0,0,0,3,3,10,5,3,18,0,0,0,0,4,5,14,9,4,7,0,8,57,0,0,0,0,0,0,0,0,0,0,0,44,41,4,5,0,6,12,59,149,138,139,224,118,117,975,0,0,0,0,7,20,46,18,12,15,0,15,130,0,0,3,12,5,13,4,0,4,0,0,5,43,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,8,8,8,16,11,11,4,0,0,11,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,24,13,45,69,31,16,15,7,38,269,9,3,32,79,60,214,382,251,221,343,177,202,1979,0,0,0,0,0,3,18,29,22,43
801011017,15,28,0,13,4,0,4,76,0,0,0,4,0,0,5,0,4,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,5,3,7,3,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,20,14,0,0,0,9,8,34,90,80,68,91,35,50,450,0,0,0,3,3,13,32,8,7,0,4,9,83,0,0,0,6,5,9,7,3,0,0,0,4,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,15,0,11,10,0,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,16,30,43,12,7,3,4,25,180,4,0,13,52,41,125,213,137,116,143,54,106,999,0,0,0,0,0,0,8,23,24,23
801011018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801011019,26,63,4,21,10,0,4,135,0,0,4,0,7,3,4,0,4,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11,3,0,3,0,0,8,13,0,5,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,37,40,3,0,5,3,11,58,179,122,106,106,47,72,708,0,0,0,0,0,33,35,10,15,4,0,9,99,0,0,4,3,6,19,8,4,0,0,0,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4,7,9,3,0,0,0,3,55,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17,14,9,56,52,18,17,4,0,19,214,9,0,30,49,36,185,362,284,194,196,75,141,1556,0,0,0,0,0,0,29,57,61,81
801011020,5,14,0,23,4,0,0,58,0,0,0,0,0,4,5,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,11,6,24,44,28,36,52,40,32,279,0,0,0,0,6,9,17,6,7,4,0,6,38,0,0,3,8,0,8,4,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,13,4,4,10,3,0,0,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,7,22,32,6,16,0,0,13,131,0,0,21,44,32,79,123,72,79,92,56,64,660,0,0,0,0,0,0,0,10,9,20
801011021,13,13,5,15,12,3,4,67,0,0,0,0,0,3,3,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,4,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,0,31,39,0,0,0,3,3,24,55,43,57,89,60,57,389,0,0,0,0,0,5,12,7,7,6,0,11,48,0,0,0,4,3,10,4,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,4,7,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,11,10,15,20,11,11,10,0,14,109,3,4,15,32,32,83,123,95,98,140,80,97,791,0,0,0,0,0,0,0,7,7,24
801011022,9,23,7,10,4,0,7,59,0,0,6,0,3,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,3,6,0,0,3,0,3,25,0,0,0,0,0,0,0,0,0,0,0,19,24,3,0,5,4,5,19,65,47,57,100,64,49,409,0,0,0,0,0,3,17,5,12,4,0,6,47,0,3,0,3,9,7,4,7,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,5,9,4,0,0,0,12,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,9,12,19,27,13,14,3,0,23,133,3,6,16,36,32,89,168,99,95,155,85,104,891,0,0,0,0,0,0,11,14,20,25
801011023,17,18,0,9,3,0,0,52,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,4,0,3,4,3,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,6,4,3,31,55,43,44,35,20,32,286,0,0,0,0,0,12,11,7,4,4,0,0,47,0,0,5,0,4,5,5,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,12,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,13,29,27,8,4,3,0,5,106,0,0,13,46,43,129,139,89,64,74,29,59,680,0,0,0,0,0,0,8,18,25,19
801011024,9,21,7,9,6,0,3,55,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,8,8,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,7,8,21,55,41,48,49,26,45,311,0,0,0,0,0,7,14,8,8,0,0,9,52,0,0,0,3,3,7,10,0,0,0,0,0,27,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,7,3,3,17,12,4,4,12,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,16,14,25,37,11,12,0,0,8,139,0,3,20,47,36,99,154,91,79,93,36,71,739,0,0,0,0,0,0,6,15,15,21
801011025,7,22,8,15,7,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,3,0,18,56,48,50,73,47,36,343,0,0,0,0,3,6,10,3,7,0,0,4,40,0,0,0,0,10,5,7,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,9,8,0,4,3,0,0,0,0,5,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,13,18,21,8,11,3,0,12,107,4,0,20,32,27,81,137,90,81,112,57,68,707,0,0,0,0,0,0,5,13,13,18
801011026,3,14,3,28,9,7,3,74,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,9,4,0,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,21,27,0,0,0,0,0,12,32,27,57,112,90,47,374,0,0,0,0,0,0,5,0,13,3,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,12,10,11,3,0,4,51,0,0,9,22,13,64,103,64,92,153,115,72,703,0,0,0,0,0,0,0,6,5,14
